bom_id,product_id,part_id,qty_per_unit,bom_version,effective_date,is_optional
BOM-000066,HRV-01,FT-328,1,v2.0,2023-04-03,False
BOM-000067,HRV-01,EN-825,1,v1.0,2023-03-27,False
BOM-000068,HRV-01,FL-880,1,v2.1,2024-06-28,False
BOM-000069,HRV-01,CB-157,2,v2.1,2023-01-15,False
BOM-000070,HRV-01,BR-659,1,v3.0,2025-01-12,False
BOM-000071,HRV-01,FT-1190,2,v1.1,,False
BOM-000072,HRV-01,FL-990,1,v3.2,2025-06-04,True
BOM-000073,HRV-01,CB-183,3,v2.0,2024-11-24,False
BOM-000074,HRV-01,SC-1232,1,v2.2,2024-07-24,False
BOM-000075,HRV-01,HY-1153,2,v2.2,2024-05-13,False
BOM-000076,HRV-01,FT-107,2,v2.0,2023-11-07,False
BOM-000077,HRV-01,CB-639,2,v2.1,2023-08-29,True
BOM-000078,HRV-01,EN-1264,1,v1.2,2024-02-19,True
BOM-000079,HRV-01,FL-622,2,v1.0,2023-12-27,False
BOM-000080,HRV-01,EN-287,3,v3.1,2024-04-13,False
BOM-000081,HRV-01,CH-433,1,v3.0,2023-01-29,False
BOM-000082,HRV-01,CB-1178,2,v3.2,2024-08-06,False
BOM-000083,HRV-01,EN-928,2,v1.2,2024-11-08,False
BOM-000084,HRV-01,CH-430,1,v2.2,2025-03-07,False
BOM-000085,HRV-01,CB-205,1,v2.0,2024-06-19,False
BOM-000086,HRV-01,FL-1271,1,v1.2,2023-10-03,False
BOM-000087,HRV-01,FL-1311,1,v1.0,2025-05-27,False
BOM-000088,HRV-01,EC-1261,2,v1.0,,False
BOM-000089,HRV-01,CH-1134,3,v1.0,2023-02-11,False
BOM-000090,HRV-01,ST-669,1,v2.1,,False
BOM-000091,HRV-01,SC-974,6,,2023-03-20,True
BOM-000092,HRV-01,FL-1304,1,v3.0,2025-05-01,False
BOM-000093,HRV-01,CB-395,1,v3.1,2023-08-23,False
BOM-000094,HRV-01,BR-563,1,,2025-01-18,False
BOM-000095,HRV-01,BR-550,1,v1.0,2024-07-05,False
BOM-000096,HRV-01,CB-1185,1,v3.0,2024-10-25,False
BOM-000097,HRV-01,EN-485,2,,2024-09-26,True
BOM-000098,HRV-01,FL-863,6,v3.2,2023-06-07,False
BOM-000099,HRV-01,EN-160,1,v1.0,2024-09-09,False
BOM-000100,HRV-01,EN-814,1,v2.0,2024-11-29,False
BOM-000101,HRV-01,ST-1250,1,,2024-05-13,False
BOM-000102,HRV-01,EC-125,8,v1.0,2023-09-23,True
BOM-000103,HRV-01,ST-297,2,v2.0,2023-10-04,False
BOM-000104,HRV-01,SC-324,2,v3.0,2024-10-29,False
BOM-000105,HRV-01,EC-1152,1,v2.0,,False
BOM-000106,HRV-01,TR-660,2,v1.1,2023-07-12,False
BOM-000107,HRV-01,CB-995,1,v2.1,2024-02-08,False
BOM-000108,HRV-01,HY-712,1,v2.0,2023-10-04,False
BOM-000109,HRV-01,ST-1064,1,v3.2,2025-03-07,False
BOM-000110,HRV-01,HY-628,4,v3.0,2023-05-18,False
BOM-000111,HRV-01,EN-666,3,v1.1,2024-12-14,False
BOM-000112,HRV-01,BR-431,1,v1.2,2025-05-25,False
BOM-000113,HRV-01,SC-703,1,v2.2,2024-04-07,False
BOM-000114,HRV-01,TR-743,1,v3.1,2023-05-16,False
BOM-000115,HRV-01,CH-451,6,v1.2,2024-09-03,False
BOM-000116,HRV-01,EC-285,6,v2.1,2023-05-07,False
BOM-000117,HRV-01,EC-706,1,v2.1,2023-08-22,False
BOM-000118,HRV-01,FT-410,1,v2.0,2025-05-26,False
BOM-000119,HRV-01,ST-713,4,v3.0,2024-10-25,False
BOM-000120,HRV-01,ST-966,3,v2.1,2024-08-19,False
BOM-000121,HRV-01,EL-1127,1,v3.1,,False
BOM-000122,HRV-01,FT-1290,1,v2.1,2023-08-30,False
BOM-000123,HRV-01,CB-1246,1,v2.2,2023-05-04,False
BOM-000124,HRV-01,SC-1110,1,v1.1,2023-10-06,False
BOM-000125,HRV-01,SC-487,1,v2.0,2024-05-06,True
BOM-000126,HRV-01,EC-118,2,v3.2,2025-05-17,False
BOM-000127,HRV-01,FT-944,3,v3.0,2023-07-30,False
BOM-000128,HRV-01,SC-1036,1,v2.0,2024-09-29,False
BOM-000129,HRV-01,EC-1135,1,v2.1,2023-05-27,False
BOM-000130,HRV-01,FL-345,1,v1.2,2023-03-25,False
BOM-000131,HRV-01,BR-456,1,v3.1,2023-08-23,False
BOM-000132,HRV-01,EL-904,1,v2.1,2023-01-29,False
BOM-000133,HRV-01,SC-1177,1,v2.0,2023-12-13,False
BOM-000134,HRV-01,BR-866,1,v3.2,2024-01-07,False
BOM-000135,HRV-01,FT-927,1,v3.1,2024-07-09,False
BOM-000136,HRV-01,TR-413,1,v2.1,2023-05-23,False
BOM-000137,HRV-01,SC-1131,1,v2.1,2024-02-02,False
BOM-000138,HRV-01,EL-946,1,v2.1,2024-01-03,False
BOM-000139,HRV-01,FL-1064,1,v2.0,2024-08-07,False
BOM-000140,HRV-01,CH-477,1,v3.2,2023-10-27,False
BOM-000141,HRV-01,BR-1309,1,v2.1,,False
BOM-000142,HRV-01,BR-741,8,v1.1,2023-04-26,False
BOM-000143,HRV-01,EC-1123,2,v2.2,2024-04-04,False
BOM-000144,HRV-01,TR-544,1,v2.0,2023-05-29,False
BOM-000145,HRV-01,ST-1313,1,v1.0,2023-03-21,False
BOM-000146,HRV-01,TR-726,1,v3.1,2024-05-11,False
BOM-000147,HRV-01,CB-114,1,v3.2,2023-09-23,False
BOM-000148,HRV-01,EN-484,1,v1.0,2025-01-11,False
BOM-000149,HRV-01,EN-971,2,v3.0,2025-03-20,True
BOM-000150,HRV-01,EC-106,3,v1.2,,False
BOM-000151,HRV-01,ST-1317,1,v2.1,2023-05-27,False
BOM-000152,HRV-01,HY-1090,1,v1.0,2023-06-29,False
BOM-000153,HRV-01,ST-235,1,v3.0,2023-10-09,False
BOM-000154,HRV-01,EC-941,12,v3.1,,False
BOM-000155,HRV-01,CB-225,1,v1.0,2023-07-27,False
BOM-000156,HRV-01,EC-457,1,v1.2,2024-09-23,False
BOM-000157,HRV-01,ST-354,1,v2.2,2025-05-15,False
BOM-000158,HRV-01,SC-1158,2,v2.0,2024-01-17,False
BOM-000159,HRV-01,FL-940,3,v1.2,2023-05-31,False
BOM-000160,HRV-01,HY-989,1,v3.0,2023-09-11,False
BOM-000161,HRV-01,FT-486,2,v1.1,2024-06-06,False
BOM-000162,HRV-01,ST-288,1,v2.1,2023-03-11,False
BOM-000163,HRV-01,BR-1035,1,v1.0,2024-06-26,False
BOM-000164,HRV-01,CB-1006,1,v1.1,2024-05-11,False
BOM-000165,HRV-01,BR-979,1,v3.0,2025-03-24,False
BOM-000166,HRV-01,FT-1342,3,,2023-07-05,False
BOM-000167,HRV-01,EN-965,4,v1.0,2023-02-23,False
BOM-000168,HRV-01,EL-692,3,v2.0,2024-12-15,False
BOM-000169,HRV-01,SC-824,2,v3.1,2025-05-13,False
BOM-000170,HRV-01,EC-264,2,v1.0,,False
BOM-000171,HRV-01,FT-1199,1,v3.1,2024-02-07,False
BOM-000172,HRV-01,EC-769,1,v2.1,2023-01-17,False
BOM-000173,HRV-01,EL-1106,1,v1.0,2025-06-11,False
BOM-000174,HRV-01,ST-780,1,v2.2,2025-01-20,False
BOM-000175,HRV-01,FL-1289,1,v3.1,2023-12-17,True
BOM-000176,HRV-01,FT-1246,1,v3.2,2023-12-04,False
BOM-000177,HRV-01,EL-1093,1,v2.0,2024-11-04,False
BOM-000178,HRV-01,FL-1295,1,v1.2,2024-01-27,False
BOM-000179,HRV-01,EL-1125,12,v2.2,2023-08-13,False
BOM-000180,HRV-01,CB-1345,12,v1.1,2024-09-19,False
BOM-000181,HRV-01,BR-704,2,v1.2,2023-04-13,True
BOM-000182,HRV-01,CH-1295,3,v2.0,2024-12-22,False
BOM-000183,HRV-01,EC-600,1,v3.2,2023-04-23,False
BOM-000184,HRV-01,EN-376,1,v3.0,2023-10-17,False
BOM-000185,HRV-01,EN-989,1,,2024-09-11,False
BOM-000186,HRV-01,FT-601,1,v2.2,2024-06-05,False
BOM-000187,HRV-01,HY-1331,1,v1.2,2023-01-25,False
BOM-000188,HRV-01,TR-723,1,v2.0,2024-11-30,False
BOM-000189,HRV-01,ST-211,1,,2023-11-27,False
BOM-000190,HRV-01,CH-849,1,v2.2,2023-01-12,False
BOM-000191,HRV-01,FL-1119,4,v1.1,2024-02-21,False
BOM-000192,HRV-01,BR-237,2,v3.2,2024-10-27,False
BOM-000193,HRV-01,BR-112,2,v3.2,2024-04-05,False
BOM-000194,HRV-01,ST-318,3,v1.2,2025-01-02,False
BOM-000195,HRV-01,BR-678,1,v2.1,2025-01-11,True
BOM-000196,HRV-01,CB-1183,1,v1.2,2025-06-04,False
BOM-000197,HRV-01,BR-1013,1,v2.0,2024-04-08,False
BOM-000198,HRV-01,SC-368,1,v3.1,,False
BOM-000199,HRV-01,CB-489,1,v1.2,2024-11-30,True
BOM-000200,HRV-01,SC-657,1,v2.0,2024-03-06,True
BOM-000201,HRV-01,FL-994,4,v1.2,2023-01-16,True
BOM-000202,HRV-01,HY-232,1,v3.0,2025-06-11,True
BOM-000203,HRV-01,CB-1277,1,v2.2,2023-06-28,False
BOM-000204,HRV-01,CB-886,3,v1.0,2023-01-10,False
BOM-000205,HRV-01,BR-1152,1,v1.2,,False
BOM-000206,HRV-01,FT-876,1,v2.1,2024-11-29,True
BOM-000207,HRV-01,FL-570,1,v2.0,2023-02-12,False
BOM-000208,HRV-01,FT-134,1,v2.2,2023-09-15,False
BOM-000209,HRV-01,BR-720,1,v1.2,2023-10-19,False
BOM-000210,HRV-01,CH-283,1,v1.2,,False
BOM-000211,HRV-01,HY-913,3,v1.2,2023-04-22,False
BOM-000212,HRV-01,HY-111,4,v1.2,2025-03-21,False
BOM-000213,HRV-01,CB-708,1,v2.1,2023-11-27,False
BOM-000214,HRV-01,SC-282,1,v2.0,2023-09-09,False
BOM-000215,HRV-01,HY-1256,2,v2.0,2023-07-29,False
BOM-000216,HRV-01,HY-859,1,v2.2,2024-10-14,False
BOM-000217,HRV-01,CH-358,2,v2.2,2023-11-15,False
BOM-000218,HRV-01,TR-828,1,v3.0,2024-02-25,False
BOM-000219,HRV-01,EC-1129,4,v3.1,2024-07-12,True
BOM-000220,HRV-01,ST-798,2,v2.0,2023-04-14,False
BOM-000221,HRV-01,SC-108,1,v2.1,2023-05-27,False
BOM-000222,HRV-01,CH-479,4,v3.0,,False
BOM-000223,HRV-01,FT-985,3,v2.2,2025-06-12,False
BOM-000224,HRV-01,HY-1292,1,v2.1,2023-02-02,False
BOM-000225,HRV-01,SC-588,1,v3.2,2024-07-18,False
BOM-000226,HRV-01,EC-307,1,,2024-07-27,False
BOM-000227,HRV-01,HY-866,2,v3.1,2023-08-03,False
BOM-000228,HRV-01,CH-1319,2,v3.0,,False
BOM-000229,HRV-01,EN-923,1,v2.2,2024-09-01,False
BOM-000230,HRV-01,FL-750,3,v1.0,2024-06-15,False
BOM-000231,HRV-01,CH-352,8,v3.0,2024-12-20,False
BOM-000232,HRV-01,TR-1277,1,v3.2,2024-08-09,False
BOM-000233,HRV-01,HY-541,1,,2023-04-11,False
BOM-000234,HRV-01,FL-822,1,v3.2,2024-01-28,False
BOM-000235,HRV-01,HY-595,1,v2.0,2023-03-07,False
BOM-000236,HRV-01,FL-951,1,v3.1,2023-04-16,False
BOM-000237,HRV-01,CB-1264,2,v2.0,2024-10-21,False
BOM-000238,HRV-01,FT-1160,4,v3.1,2024-10-18,False
BOM-000239,HRV-01,EC-751,1,v2.2,2024-01-04,False
BOM-000240,HRV-01,BR-531,1,v1.2,2023-07-29,False
BOM-000241,HRV-01,EC-593,2,v3.1,2024-12-10,True
BOM-000242,HRV-01,CB-816,1,v2.1,2024-10-01,False
BOM-000243,HRV-01,ST-221,1,v3.1,2023-12-11,False
BOM-000244,HRV-01,BR-1246,2,v3.0,2023-05-23,True
BOM-000245,HRV-01,EC-311,3,v3.2,2024-12-31,False
BOM-000246,HRV-01,FL-828,1,v3.2,2024-07-05,False
BOM-000247,HRV-01,FL-100,1,v1.1,2025-01-13,False
BOM-000248,HRV-01,FL-1204,1,v2.1,2023-12-08,False
BOM-000249,HRV-01,SC-486,1,v1.0,2024-04-07,False
BOM-000250,HRV-01,FT-291,3,v3.2,2025-05-05,False
BOM-000251,HRV-01,TR-957,1,v1.0,2024-07-31,False
BOM-000252,HRV-01,EL-523,2,v1.1,2024-05-07,False
BOM-000253,HRV-01,BR-988,2,v2.1,2024-01-21,False
BOM-000254,HRV-01,CH-344,1,v3.1,2023-10-10,True
BOM-000255,HRV-01,HY-737,1,v3.1,2023-04-14,False
BOM-000256,HRV-01,CB-727,2,v3.2,2024-12-21,True
BOM-000257,HRV-01,ST-280,1,v3.1,2023-02-24,False
BOM-000258,HRV-01,SC-804,3,v2.2,2025-06-10,False
BOM-000259,HRV-01,TR-789,2,,,False
BOM-000260,HRV-01,SC-454,1,v2.1,2024-05-02,False
BOM-000261,HRV-01,ST-115,2,v3.1,2024-05-13,False
BOM-000262,HRV-01,CH-855,2,v3.1,2024-12-23,False
BOM-000263,HRV-01,EC-1133,4,v1.0,2025-05-29,False
BOM-000264,HRV-01,FT-458,2,v2.1,2023-04-15,False
BOM-000265,HRV-01,CH-173,2,v1.1,2025-03-13,False
BOM-000266,HRV-01,TR-890,1,v1.1,2024-08-30,False
BOM-000267,HRV-01,EN-238,1,v2.0,2025-02-16,False
BOM-000268,HRV-01,FT-678,1,v2.1,2023-12-18,False
BOM-000269,HRV-01,CH-1280,1,v3.2,2023-06-09,False
BOM-000270,HRV-01,HY-483,1,v3.0,2025-01-30,False
BOM-000271,HRV-01,FL-285,1,v1.2,2024-07-07,False
BOM-000272,HRV-01,SC-942,1,v3.0,2023-09-23,False
BOM-000273,HRV-01,EL-1312,12,v3.2,2023-07-28,False
BOM-000274,HRV-01,SC-429,1,v1.2,2023-03-01,False
BOM-000275,HRV-01,CB-324,1,v2.1,2024-07-04,False
BOM-000276,HRV-01,EC-950,2,v1.0,2024-08-09,False
BOM-000277,HRV-01,EN-642,1,v1.2,2024-04-11,False
BOM-000278,HRV-01,BR-978,1,v1.2,2023-10-02,False
BOM-000279,HRV-01,EC-719,3,v3.1,2023-11-21,False
BOM-000280,HRV-01,ST-1074,2,v3.2,2023-05-22,False
BOM-000281,HRV-01,EC-147,6,v3.1,2024-12-18,False
BOM-000282,HRV-01,ST-1010,1,v3.1,2024-08-11,True
BOM-000283,HRV-01,HY-931,1,v2.0,2023-04-11,False
BOM-000284,HRV-01,EL-863,1,,2024-12-03,False
BOM-000285,HRV-01,EL-841,1,v1.1,2023-11-08,False
BOM-000286,HRV-01,CB-370,2,v3.0,2024-07-31,False
BOM-000287,HRV-01,ST-266,4,v2.0,2023-03-29,False
BOM-000288,HRV-01,FT-689,1,v1.0,2024-10-28,False
BOM-000289,HRV-01,EN-1168,3,v3.2,,False
BOM-000290,HRV-01,EL-840,6,v2.2,2023-01-12,False
BOM-000291,HRV-01,HY-882,2,,2024-02-02,False
BOM-000292,HRV-01,FT-547,1,v2.2,2023-01-29,False
BOM-000293,HRV-01,EN-565,1,v2.0,2024-07-24,False
BOM-000294,HRV-01,EN-199,1,v2.1,2024-06-22,False
BOM-000295,HRV-01,CB-300,1,v2.2,2025-04-20,False
BOM-000296,HRV-01,BR-1166,2,v2.1,2025-04-26,False
BOM-000297,HRV-01,EN-127,1,v3.0,2023-02-20,False
BOM-000298,HRV-01,EC-433,1,v2.1,,False
BOM-000299,HRV-01,HY-406,1,v3.2,2023-02-24,False
BOM-000300,HRV-01,FL-564,1,v1.0,2025-02-23,False
BOM-000301,HRV-01,CH-498,1,v3.2,2025-02-22,False
BOM-000302,HRV-01,SC-1191,1,v1.0,2024-07-05,False
BOM-000303,HRV-01,EC-759,1,v1.2,2024-11-08,False
BOM-000304,HRV-01,HY-1025,1,v2.1,2024-08-31,False
BOM-000305,HRV-01,SC-440,1,v3.1,2024-12-17,False
BOM-000306,HRV-01,BR-464,2,v2.1,2024-07-14,False
BOM-000307,HRV-01,FL-171,1,v3.0,2025-04-15,False
BOM-000308,HRV-01,CB-1023,4,v1.0,2024-09-06,False
BOM-000309,HRV-01,CH-337,2,v1.2,2024-04-28,False
BOM-000310,HRV-01,HY-1070,1,v3.2,2024-03-31,False
BOM-000311,HRV-01,ST-348,3,v3.0,2023-12-19,False
BOM-000312,HRV-01,TR-415,2,v3.0,2024-03-09,False
BOM-000313,HRV-01,EC-834,6,v3.0,2024-03-13,False
BOM-000314,HRV-02,CH-1016,2,v3.1,2025-01-19,False
BOM-000315,HRV-02,HY-1299,1,,2024-04-09,False
BOM-000316,HRV-02,FL-1215,2,v2.1,2025-01-23,False
BOM-000317,HRV-02,HY-618,2,v3.1,2025-02-06,False
BOM-000318,HRV-02,CB-475,4,v3.2,2024-05-07,False
BOM-000319,HRV-02,SC-676,1,v3.0,2023-04-23,False
BOM-000320,HRV-02,SC-615,2,v1.0,2024-11-12,False
BOM-000321,HRV-02,SC-502,1,v1.0,2023-07-10,True
BOM-000322,HRV-02,FT-456,1,v3.0,2025-06-07,False
BOM-000323,HRV-02,ST-316,1,v1.0,2023-06-25,False
BOM-000324,HRV-02,BR-426,2,v2.0,2024-01-13,False
BOM-000325,HRV-02,TR-1343,1,v3.0,2025-01-31,False
BOM-000326,HRV-02,ST-1050,8,v1.1,2023-12-08,False
BOM-000327,HRV-02,BR-206,1,v1.2,2025-04-06,False
BOM-000328,HRV-02,EL-777,2,v1.2,2024-02-28,False
BOM-000329,HRV-02,EC-839,1,,2025-01-30,False
BOM-000330,HRV-02,CB-1193,2,v3.2,2024-07-08,False
BOM-000331,HRV-02,EC-1051,1,v3.2,2024-03-25,True
BOM-000332,HRV-02,HY-1269,1,v2.0,,False
BOM-000333,HRV-02,ST-1272,1,v3.1,2024-04-09,False
BOM-000334,HRV-02,EL-551,1,v1.2,2025-03-20,False
BOM-000335,HRV-02,CB-1048,1,v3.2,2024-09-28,False
BOM-000336,HRV-02,CB-1247,1,v2.1,2025-04-23,False
BOM-000337,HRV-02,BR-482,2,v1.1,2025-01-16,False
BOM-000338,HRV-02,BR-881,1,v3.2,2024-04-13,False
BOM-000339,HRV-02,CB-260,4,v1.1,2025-01-30,False
BOM-000340,HRV-02,HY-1162,1,v2.2,2023-01-09,False
BOM-000341,HRV-02,EC-1330,1,,2025-01-12,False
BOM-000342,HRV-02,TR-766,6,v2.2,2023-06-14,False
BOM-000343,HRV-02,CH-835,6,v3.2,2024-06-18,False
BOM-000344,HRV-02,CB-191,1,v1.2,2023-09-06,False
BOM-000345,HRV-02,EC-126,1,v2.2,,False
BOM-000346,HRV-02,SC-1343,1,v2.2,2024-09-10,False
BOM-000347,HRV-02,EC-199,1,v2.1,,False
BOM-000348,HRV-02,TR-480,4,v3.2,2023-10-27,True
BOM-000349,HRV-02,HY-587,8,v1.2,2024-09-12,False
BOM-000350,HRV-02,BR-1247,2,v1.0,2024-05-27,False
BOM-000351,HRV-02,CH-469,2,,2024-07-13,True
BOM-000352,HRV-02,ST-610,1,v3.2,2023-07-09,False
BOM-000353,HRV-02,FL-895,1,v3.2,2023-09-21,False
BOM-000354,HRV-02,CB-1183,2,v1.1,2024-09-05,False
BOM-000355,HRV-02,TR-302,1,v2.2,2023-04-30,False
BOM-000356,HRV-02,EC-667,3,v1.1,2024-09-18,False
BOM-000357,HRV-02,CH-443,1,v1.1,2025-02-07,False
BOM-000358,HRV-02,FT-1294,1,v3.0,2025-05-24,False
BOM-000359,HRV-02,EC-1302,4,v2.0,2025-05-29,False
BOM-000360,HRV-02,EL-154,1,v2.1,2024-10-07,False
BOM-000361,HRV-02,FT-858,1,v2.2,2023-09-10,False
BOM-000362,HRV-02,BR-420,1,v2.1,2025-01-21,False
BOM-000363,HRV-02,ST-688,2,v1.1,2023-08-11,False
BOM-000364,HRV-02,EN-1345,1,,2023-05-10,False
BOM-000365,HRV-02,EC-1310,1,v1.1,2024-10-05,False
BOM-000366,HRV-02,FT-1257,2,v2.2,2024-12-05,False
BOM-000367,HRV-02,EC-440,1,v2.1,2025-04-17,True
BOM-000368,HRV-02,FL-985,1,v2.0,2024-04-03,False
BOM-000369,HRV-02,FL-384,1,v3.0,2024-04-15,False
BOM-000370,HRV-02,FT-536,1,v3.1,,False
BOM-000371,HRV-02,BR-590,1,v3.0,2023-01-03,False
BOM-000372,HRV-02,EN-279,2,v1.2,2023-12-03,False
BOM-000373,HRV-02,EC-260,3,v2.0,2025-01-11,False
BOM-000374,HRV-02,TR-120,3,v2.2,2023-04-13,False
BOM-000375,HRV-02,HY-102,2,v3.1,2025-05-31,False
BOM-000376,HRV-02,BR-977,1,v1.0,2024-10-28,False
BOM-000377,HRV-02,HY-701,2,v3.1,,False
BOM-000378,HRV-02,BR-363,1,v2.1,2025-01-01,False
BOM-000379,HRV-02,FT-364,1,v2.0,2025-02-24,False
BOM-000380,HRV-02,CB-518,1,v3.2,2023-01-07,False
BOM-000381,HRV-02,ST-1204,1,v2.2,2025-02-13,False
BOM-000382,HRV-02,FT-924,2,v2.1,,False
BOM-000383,HRV-02,FL-732,2,v3.2,2025-04-28,True
BOM-000384,HRV-02,FT-1308,1,v1.2,2023-04-17,False
BOM-000385,HRV-02,EL-1337,1,v3.0,2023-12-24,False
BOM-000386,HRV-02,FL-189,6,v1.2,2024-11-07,True
BOM-000387,HRV-02,EN-1228,4,v2.0,2024-01-31,False
BOM-000388,HRV-02,EC-1047,2,v1.0,2025-05-03,False
BOM-000389,HRV-02,CB-819,1,v2.2,2024-06-20,False
BOM-000390,HRV-02,TR-770,1,v2.0,2024-02-29,False
BOM-000391,HRV-02,CB-726,2,v2.2,2024-11-21,False
BOM-000392,HRV-02,FL-1141,2,v1.0,2023-03-04,False
BOM-000393,HRV-02,CB-345,1,v1.0,2024-08-03,False
BOM-000394,HRV-02,EL-411,1,v2.0,2024-07-04,False
BOM-000395,HRV-02,FL-158,1,v1.2,2024-10-26,False
BOM-000396,HRV-02,ST-491,1,v2.2,2023-09-14,False
BOM-000397,HRV-02,FT-1048,1,v1.0,2024-06-20,True
BOM-000398,HRV-02,ST-426,1,v1.0,2023-03-28,False
BOM-000399,HRV-02,ST-1218,1,v2.1,2023-05-24,False
BOM-000400,HRV-02,FL-946,2,v1.2,2023-10-06,False
BOM-000401,HRV-02,FL-333,12,v2.1,2024-07-31,False
BOM-000402,HRV-02,FT-119,2,v1.0,2024-11-10,False
BOM-000403,HRV-02,SC-1218,2,v3.0,2024-04-25,False
BOM-000404,HRV-02,FL-354,1,v2.2,2025-02-07,False
BOM-000405,HRV-02,HY-1344,1,v2.2,2024-05-15,False
BOM-000406,HRV-02,BR-934,1,v3.2,2024-07-08,False
BOM-000407,HRV-02,FL-1074,2,v2.2,2023-08-23,False
BOM-000408,HRV-02,EC-360,1,v1.2,2024-08-22,True
BOM-000409,HRV-02,EC-928,2,v1.0,2023-01-14,False
BOM-000410,HRV-02,HY-837,1,v1.1,2024-11-21,True
BOM-000411,HRV-02,CH-493,2,v1.1,2025-04-16,False
BOM-000412,HRV-02,EL-1068,2,v3.0,2023-08-27,False
BOM-000413,HRV-02,EN-225,1,v2.2,2024-11-06,False
