capacity_id,supplier_id,part_id,period,capacity_units,committed_units,utilization_pct,capacity_notes
CAP-000102,SUP-13610,CH-113,2025-06,1211,1175.0,97.0,
CAP-000103,SUP-13610,CH-113,2025-07,1144,964.0,84.3,
CAP-000104,SUP-13610,CH-113,2025-08,1155,1121.0,97.1,
CAP-000105,SUP-13610,CH-113,2025-09,1127,667.0,59.2,
CAP-000106,SUP-13610,CH-113,2025-10,1120,641.0,57.2,
CAP-000107,SUP-13610,CH-113,2025-11,1241,1085.0,87.4,
CAP-000108,SUP-13610,CH-113,2025-12,1140,892.0,78.2,
CAP-000109,SUP-13610,CH-113,2026-01,1328,1103.0,83.1,
CAP-000110,SUP-13610,CH-113,2026-02,1297,791.0,,
CAP-000111,SUP-13610,CH-113,2026-03,1177,888.0,75.4,
CAP-000112,SUP-13610,CH-113,2026-04,1123,,60.9,
CAP-000113,SUP-02680,CB-1330,2024-01,198,155.0,78.3,
CAP-000114,SUP-02680,CB-1330,2024-02,197,141.0,71.6,
CAP-000115,SUP-02680,CB-1330,2024-03,201,174.0,86.6,
CAP-000116,SUP-02680,CB-1330,2024-04,202,129.0,63.9,
CAP-000117,SUP-02680,CB-1330,2024-05,196,187.0,,
CAP-000118,SUP-02680,CB-1330,2024-06,197,134.0,68.0,
CAP-000119,SUP-02680,CB-1330,2024-07,219,134.0,61.2,
CAP-000120,SUP-02680,CB-1330,2024-08,209,139.0,66.5,
CAP-000121,SUP-02680,CB-1330,2024-09,214,,100.0,
CAP-000122,SUP-02680,CB-1330,2024-10,212,189.0,89.2,
CAP-000123,SUP-02680,CB-1330,2024-11,205,186.0,90.7,
CAP-000124,SUP-02680,CB-1330,2024-12,228,182.0,,
CAP-000125,SUP-02680,CB-1330,2025-01,233,222.0,95.3,
CAP-000126,SUP-02680,CB-1330,2025-02,215,189.0,,
CAP-000127,SUP-02680,CB-1330,2025-03,207,199.0,96.1,
CAP-000128,SUP-02680,CB-1330,2025-04,233,216.0,92.7,
CAP-000129,SUP-02680,CB-1330,2025-05,230,170.0,73.9,
CAP-000130,SUP-02680,CB-1330,2025-06,239,167.0,69.9,
CAP-000131,SUP-02680,CB-1330,2025-07,240,132.0,55.0,
CAP-000132,SUP-02680,CB-1330,2025-08,230,178.0,77.4,
CAP-000133,SUP-02680,CB-1330,2025-09,241,228.0,94.6,
CAP-000134,SUP-02680,CB-1330,2025-10,238,197.0,82.8,
CAP-000135,SUP-02680,CB-1330,2025-11,247,219.0,88.7,
CAP-000136,SUP-02680,CB-1330,2025-12,230,188.0,81.7,
CAP-000137,SUP-02680,CB-1330,2026-01,236,237.0,100.0,
CAP-000138,SUP-02680,CB-1330,2026-02,255,253.0,99.2,
CAP-000139,SUP-02680,CB-1330,2026-03,251,141.0,56.2,
CAP-000140,SUP-02680,CB-1330,2026-04,241,241.0,100.0,
CAP-000141,SUP-12013,ST-1002,2024-01,598,619.0,100.0,
CAP-000142,SUP-12013,ST-1002,2024-02,579,,97.6,
CAP-000143,SUP-12013,ST-1002,2024-03,565,338.0,59.8,
CAP-000144,SUP-12013,ST-1002,2024-04,569,513.0,90.2,
CAP-000145,SUP-12013,ST-1002,2024-05,600,441.0,73.5,
CAP-000146,SUP-12013,ST-1002,2024-06,623,621.0,99.7,
CAP-000147,SUP-12013,ST-1002,2024-07,619,552.0,89.2,
CAP-000148,SUP-12013,ST-1002,2024-08,593,566.0,,
CAP-000149,SUP-12013,ST-1002,2024-09,627,561.0,89.5,
CAP-000150,SUP-12013,ST-1002,2024-10,584,331.0,56.7,
CAP-000151,SUP-12013,ST-1002,2024-11,606,406.0,67.0,
CAP-000152,SUP-12013,ST-1002,2024-12,605,570.0,94.2,
CAP-000153,SUP-12013,ST-1002,2025-01,600,402.0,67.0,
CAP-000154,SUP-12013,ST-1002,2025-02,642,461.0,71.8,
CAP-000155,SUP-12013,ST-1002,2025-03,601,,79.4,
CAP-000156,SUP-12013,ST-1002,2025-04,569,430.0,75.6,
CAP-000157,SUP-12013,ST-1002,2025-05,647,530.0,81.9,
CAP-000158,SUP-12013,ST-1002,2025-06,547,316.0,57.8,
CAP-000159,SUP-12013,ST-1002,2025-07,560,,85.4,
CAP-000160,SUP-12013,ST-1002,2025-08,596,597.0,100.0,
CAP-000161,SUP-12013,ST-1002,2025-09,547,558.0,100.0,
CAP-000162,SUP-12013,ST-1002,2025-10,577,561.0,97.2,
CAP-000163,SUP-12013,ST-1002,2025-11,620,384.0,61.9,
CAP-000164,SUP-12013,ST-1002,2025-12,635,469.0,73.9,
CAP-000165,SUP-12013,ST-1002,2026-01,548,520.0,94.9,
CAP-000166,SUP-12013,ST-1002,2026-02,579,415.0,71.7,
CAP-000167,SUP-12013,ST-1002,2026-03,547,461.0,84.3,
CAP-000168,SUP-12013,ST-1002,2026-04,571,453.0,79.3,
CAP-000169,SUP-03621,HY-244,2024-01,424,237.0,55.9,
CAP-000170,SUP-03621,HY-244,2024-02,401,229.0,57.1,
CAP-000171,SUP-03621,HY-244,2024-03,373,237.0,63.5,
CAP-000172,SUP-03621,HY-244,2024-04,412,413.0,100.0,
CAP-000173,SUP-03621,HY-244,2024-05,405,344.0,84.9,
CAP-000174,SUP-03621,HY-244,2024-06,403,420.0,100.0,
CAP-000175,SUP-03621,HY-244,2024-07,429,410.0,95.6,
CAP-000176,SUP-03621,HY-244,2024-08,382,318.0,83.2,
CAP-000177,SUP-03621,HY-244,2024-09,380,216.0,56.8,
CAP-000178,SUP-03621,HY-244,2024-10,378,282.0,74.6,
CAP-000179,SUP-03621,HY-244,2024-11,420,338.0,80.5,
CAP-000180,SUP-03621,HY-244,2024-12,430,411.0,95.6,
CAP-000181,SUP-03621,HY-244,2025-01,431,396.0,91.9,
CAP-000182,SUP-03621,HY-244,2025-02,421,304.0,72.2,
CAP-000183,SUP-03621,HY-244,2025-03,384,382.0,99.5,
CAP-000184,SUP-03621,HY-244,2025-04,421,381.0,90.5,
CAP-000185,SUP-03621,HY-244,2025-05,383,312.0,81.5,
CAP-000186,SUP-03621,HY-244,2025-06,401,342.0,85.3,
CAP-000187,SUP-03621,HY-244,2025-07,437,257.0,58.8,
CAP-000188,SUP-03621,HY-244,2025-08,405,402.0,99.3,
CAP-000189,SUP-03621,HY-244,2025-09,404,377.0,93.3,
CAP-000190,SUP-03621,HY-244,2025-10,359,202.0,56.3,
CAP-000191,SUP-03621,HY-244,2025-11,372,360.0,96.8,
CAP-000192,SUP-03621,HY-244,2025-12,410,403.0,98.3,
CAP-000193,SUP-03621,HY-244,2026-01,404,334.0,82.7,
CAP-000194,SUP-03621,HY-244,2026-02,403,276.0,68.5,
CAP-000195,SUP-03621,HY-244,2026-03,410,404.0,98.5,
CAP-000196,SUP-03621,HY-244,2026-04,423,340.0,80.4,
CAP-000197,SUP-11148,ST-1160,2024-01,197,145.0,73.6,
CAP-000198,SUP-11148,ST-1160,2024-02,188,173.0,92.0,
CAP-000199,SUP-11148,ST-1160,2024-03,200,193.0,96.5,
CAP-000200,SUP-11148,ST-1160,2024-04,199,121.0,60.8,
CAP-000201,SUP-11148,ST-1160,2024-05,192,129.0,67.2,
CAP-000202,SUP-11148,ST-1160,2024-06,200,197.0,98.5,
CAP-000203,SUP-11148,ST-1160,2024-07,204,171.0,83.8,
CAP-000204,SUP-11148,ST-1160,2024-08,179,134.0,74.9,
CAP-000205,SUP-11148,ST-1160,2024-09,204,155.0,76.0,
CAP-000206,SUP-11148,ST-1160,2024-10,203,122.0,60.1,
CAP-000207,SUP-11148,ST-1160,2024-11,205,154.0,75.1,
CAP-000208,SUP-11148,ST-1160,2024-12,179,131.0,73.2,
CAP-000209,SUP-11148,ST-1160,2025-01,202,198.0,98.0,
CAP-000210,SUP-11148,ST-1160,2025-02,204,162.0,,
CAP-000211,SUP-11148,ST-1160,2025-03,198,131.0,66.2,
CAP-000212,SUP-11148,ST-1160,2025-04,196,187.0,95.4,
CAP-000213,SUP-11148,ST-1160,2025-05,198,138.0,69.7,
CAP-000214,SUP-11148,ST-1160,2025-06,192,152.0,79.2,
CAP-000215,SUP-11148,ST-1160,2025-07,193,113.0,58.5,
CAP-000216,SUP-11148,ST-1160,2025-08,212,159.0,75.0,
CAP-000217,SUP-11148,ST-1160,2025-09,204,131.0,,
CAP-000218,SUP-11148,ST-1160,2025-10,193,123.0,63.7,
CAP-000219,SUP-11148,ST-1160,2025-11,185,165.0,89.2,
CAP-000220,SUP-11148,ST-1160,2025-12,217,224.0,100.0,
CAP-000221,SUP-11148,ST-1160,2026-01,183,,85.2,
CAP-000222,SUP-11148,ST-1160,2026-02,191,136.0,71.2,
CAP-000223,SUP-11148,ST-1160,2026-03,195,174.0,89.2,
CAP-000224,SUP-11148,ST-1160,2026-04,188,126.0,67.0,
CAP-000225,SUP-12735,BR-1184,2024-01,378,273.0,72.2,
CAP-000226,SUP-12735,BR-1184,2024-02,417,326.0,78.2,
CAP-000227,SUP-12735,BR-1184,2024-03,399,380.0,95.2,
CAP-000228,SUP-12735,BR-1184,2024-04,394,280.0,71.1,
CAP-000229,SUP-12735,BR-1184,2024-05,402,348.0,86.6,
CAP-000230,SUP-12735,BR-1184,2024-06,426,435.0,100.0,
CAP-000231,SUP-12735,BR-1184,2024-07,356,248.0,69.7,
CAP-000232,SUP-12735,BR-1184,2024-08,372,322.0,86.6,
CAP-000233,SUP-12735,BR-1184,2024-09,398,321.0,80.7,
CAP-000234,SUP-12735,BR-1184,2024-10,397,221.0,55.7,
CAP-000235,SUP-12735,BR-1184,2024-11,382,248.0,64.9,
CAP-000236,SUP-12735,BR-1184,2024-12,449,,97.6,
CAP-000237,SUP-12735,BR-1184,2025-01,399,284.0,71.2,
CAP-000238,SUP-12735,BR-1184,2025-02,402,419.0,100.0,
CAP-000239,SUP-12735,BR-1184,2025-03,373,324.0,86.9,
CAP-000240,SUP-12735,BR-1184,2025-04,396,371.0,93.7,
CAP-000241,SUP-12735,BR-1184,2025-05,396,313.0,79.0,
CAP-000242,SUP-12735,BR-1184,2025-06,394,400.0,100.0,
CAP-000243,SUP-12735,BR-1184,2025-07,414,376.0,90.8,
CAP-000244,SUP-12735,BR-1184,2025-08,411,,94.9,
CAP-000245,SUP-12735,BR-1184,2025-09,390,243.0,62.3,
CAP-000246,SUP-12735,BR-1184,2025-10,437,320.0,73.2,
CAP-000247,SUP-12735,BR-1184,2025-11,412,,99.3,
CAP-000248,SUP-12735,BR-1184,2025-12,371,252.0,,
CAP-000249,SUP-12735,BR-1184,2026-01,396,286.0,72.2,
CAP-000250,SUP-12735,BR-1184,2026-02,388,332.0,85.6,
CAP-000251,SUP-12735,BR-1184,2026-03,382,327.0,85.6,
CAP-000252,SUP-12735,BR-1184,2026-04,411,343.0,83.5,
CAP-000253,SUP-05441,SC-823,2024-01,394,288.0,73.1,
CAP-000254,SUP-05441,SC-823,2024-02,397,400.0,100.0,
CAP-000255,SUP-05441,SC-823,2024-03,406,248.0,61.1,
CAP-000256,SUP-05441,SC-823,2024-04,374,211.0,56.4,
CAP-000257,SUP-05441,SC-823,2024-05,366,252.0,68.9,
CAP-000258,SUP-05441,SC-823,2024-06,408,273.0,66.9,
CAP-000259,SUP-05441,SC-823,2024-07,375,,95.7,
CAP-000260,SUP-05441,SC-823,2024-08,425,377.0,88.7,
CAP-000261,SUP-05441,SC-823,2024-09,419,435.0,100.0,
CAP-000262,SUP-05441,SC-823,2024-10,386,359.0,93.0,
CAP-000263,SUP-05441,SC-823,2024-11,435,355.0,81.6,
CAP-000264,SUP-05441,SC-823,2024-12,404,396.0,98.0,
CAP-000265,SUP-05441,SC-823,2025-01,389,269.0,69.2,
CAP-000266,SUP-05441,SC-823,2025-02,354,212.0,59.9,
CAP-000267,SUP-05441,SC-823,2025-03,403,344.0,85.4,
CAP-000268,SUP-05441,SC-823,2025-04,363,342.0,94.2,
CAP-000269,SUP-05441,SC-823,2025-05,397,297.0,74.8,
CAP-000270,SUP-05441,SC-823,2025-06,392,243.0,62.0,
CAP-000271,SUP-05441,SC-823,2025-07,376,299.0,79.5,
CAP-000272,SUP-05441,SC-823,2025-08,405,251.0,62.0,
CAP-000273,SUP-05441,SC-823,2025-09,386,328.0,85.0,
CAP-000274,SUP-05441,SC-823,2025-10,402,333.0,82.8,
CAP-000275,SUP-05441,SC-823,2025-11,387,226.0,58.4,
CAP-000276,SUP-05441,SC-823,2025-12,419,414.0,98.8,
CAP-000277,SUP-05441,SC-823,2026-01,394,322.0,81.7,
CAP-000278,SUP-05441,SC-823,2026-02,397,222.0,,
CAP-000279,SUP-05441,SC-823,2026-03,384,370.0,96.4,
CAP-000280,SUP-05441,SC-823,2026-04,431,409.0,94.9,
CAP-000281,SUP-11961,BR-788,2024-01,406,344.0,84.7,
CAP-000282,SUP-11961,BR-788,2024-02,373,383.0,,
CAP-000283,SUP-11961,BR-788,2024-03,378,229.0,60.6,
CAP-000284,SUP-11961,BR-788,2024-04,370,204.0,,
CAP-000285,SUP-11961,BR-788,2024-05,371,272.0,73.3,
CAP-000286,SUP-11961,BR-788,2024-06,373,383.0,100.0,
CAP-000287,SUP-11961,BR-788,2024-07,404,281.0,69.6,
CAP-000288,SUP-11961,BR-788,2024-08,375,266.0,70.9,
CAP-000289,SUP-11961,BR-788,2024-09,412,351.0,,
CAP-000290,SUP-11961,BR-788,2024-10,391,400.0,100.0,
CAP-000291,SUP-11961,BR-788,2024-11,388,302.0,77.8,
CAP-000292,SUP-11961,BR-788,2024-12,428,239.0,55.8,
CAP-000293,SUP-11961,BR-788,2025-01,389,307.0,78.9,
CAP-000294,SUP-11961,BR-788,2025-02,390,291.0,74.6,
CAP-000295,SUP-11961,BR-788,2025-03,403,382.0,94.8,
CAP-000296,SUP-11961,BR-788,2025-04,406,393.0,96.8,
CAP-000297,SUP-11961,BR-788,2025-05,399,,58.9,
CAP-000298,SUP-11961,BR-788,2025-06,410,425.0,100.0,
CAP-000299,SUP-11961,BR-788,2025-07,420,269.0,64.0,
CAP-000300,SUP-11961,BR-788,2025-08,402,325.0,80.8,
CAP-000301,SUP-11961,BR-788,2025-09,353,324.0,91.8,
CAP-000302,SUP-11961,BR-788,2025-10,424,282.0,66.5,
CAP-000303,SUP-11961,BR-788,2025-11,392,252.0,64.3,
CAP-000304,SUP-11961,BR-788,2025-12,438,344.0,78.5,
CAP-000305,SUP-11961,BR-788,2026-01,393,304.0,77.4,
CAP-000306,SUP-11961,BR-788,2026-02,416,436.0,100.0,
CAP-000307,SUP-11961,BR-788,2026-03,392,402.0,100.0,
CAP-000308,SUP-11961,BR-788,2026-04,408,385.0,94.4,
CAP-000309,SUP-13977,BR-125,2024-01,806,545.0,67.6,
CAP-000310,SUP-13977,BR-125,2024-02,752,422.0,56.1,
CAP-000311,SUP-13977,BR-125,2024-03,822,631.0,,
CAP-000312,SUP-13977,BR-125,2024-04,778,683.0,87.8,
CAP-000313,SUP-13977,BR-125,2024-05,853,811.0,95.1,
CAP-000314,SUP-13977,BR-125,2024-06,823,634.0,77.0,
CAP-000315,SUP-13977,BR-125,2024-07,872,531.0,60.9,
CAP-000316,SUP-13977,BR-125,2024-08,839,558.0,66.5,
CAP-000317,SUP-13977,BR-125,2024-09,894,785.0,87.8,
CAP-000318,SUP-13977,BR-125,2024-10,846,512.0,60.5,
CAP-000319,SUP-13977,BR-125,2024-11,935,556.0,59.5,
CAP-000320,SUP-13977,BR-125,2024-12,861,602.0,69.9,
CAP-000321,SUP-13977,BR-125,2025-01,929,871.0,93.8,
CAP-000322,SUP-13977,BR-125,2025-02,884,586.0,66.3,
CAP-000323,SUP-13977,BR-125,2025-03,988,725.0,73.4,
CAP-000324,SUP-13977,BR-125,2025-04,944,808.0,85.6,
CAP-000325,SUP-13977,BR-125,2025-05,934,577.0,61.8,
CAP-000326,SUP-13977,BR-125,2025-06,936,980.0,100.0,
CAP-000327,SUP-13977,BR-125,2025-07,953,980.0,100.0,
CAP-000328,SUP-13977,BR-125,2025-08,970,,,
CAP-000329,SUP-13977,BR-125,2025-09,1005,978.0,97.3,
CAP-000330,SUP-13977,BR-125,2025-10,968,582.0,60.1,
CAP-000331,SUP-13977,BR-125,2025-11,935,558.0,59.7,
CAP-000332,SUP-13977,BR-125,2025-12,1015,785.0,77.3,
CAP-000333,SUP-13977,BR-125,2026-01,1057,852.0,80.6,
CAP-000334,SUP-13977,BR-125,2026-02,1018,770.0,75.6,
CAP-000335,SUP-13977,BR-125,2026-03,1015,618.0,60.9,
CAP-000336,SUP-13977,BR-125,2026-04,1005,903.0,89.9,
CAP-000337,SUP-07035,CB-338,2024-01,185,189.0,,
CAP-000338,SUP-07035,CB-338,2024-02,201,141.0,70.1,
CAP-000339,SUP-07035,CB-338,2024-03,205,185.0,90.2,
CAP-000340,SUP-07035,CB-338,2024-04,205,192.0,93.7,
CAP-000341,SUP-07035,CB-338,2024-05,183,143.0,78.1,
CAP-000342,SUP-07035,CB-338,2024-06,204,139.0,68.1,
CAP-000343,SUP-07035,CB-338,2024-07,201,175.0,87.1,
CAP-000344,SUP-07035,CB-338,2024-08,198,140.0,70.7,
CAP-000345,SUP-07035,CB-338,2024-09,182,142.0,,
CAP-000346,SUP-07035,CB-338,2024-10,206,145.0,70.4,
CAP-000347,SUP-07035,CB-338,2024-11,205,123.0,60.0,
CAP-000348,SUP-07035,CB-338,2024-12,207,197.0,95.2,
CAP-000349,SUP-07035,CB-338,2025-01,195,162.0,83.1,
CAP-000350,SUP-07035,CB-338,2025-02,210,148.0,70.5,
CAP-000351,SUP-07035,CB-338,2025-03,182,102.0,56.0,
CAP-000352,SUP-07035,CB-338,2025-04,207,207.0,100.0,
CAP-000353,SUP-07035,CB-338,2025-05,192,,83.3,
CAP-000354,SUP-07035,CB-338,2025-06,204,145.0,71.1,
CAP-000355,SUP-07035,CB-338,2025-07,199,196.0,98.5,
CAP-000356,SUP-07035,CB-338,2025-08,195,,99.5,
CAP-000357,SUP-07035,CB-338,2025-09,197,132.0,67.0,
CAP-000358,SUP-07035,CB-338,2025-10,202,158.0,78.2,
CAP-000359,SUP-07035,CB-338,2025-11,189,133.0,70.4,
CAP-000360,SUP-07035,CB-338,2025-12,194,,55.2,
CAP-000361,SUP-07035,CB-338,2026-01,202,153.0,75.7,
CAP-000362,SUP-07035,CB-338,2026-02,208,118.0,56.7,
CAP-000363,SUP-07035,CB-338,2026-03,184,146.0,79.3,
CAP-000364,SUP-07035,CB-338,2026-04,201,162.0,80.6,
CAP-000365,SUP-09395,FL-519,2024-01,857,875.0,100.0,
CAP-000366,SUP-09395,FL-519,2024-02,766,718.0,93.7,
CAP-000367,SUP-09395,FL-519,2024-03,811,723.0,89.1,
CAP-000368,SUP-09395,FL-519,2024-04,792,763.0,96.3,
CAP-000369,SUP-09395,FL-519,2024-05,790,598.0,75.7,
CAP-000370,SUP-09395,FL-519,2024-06,806,819.0,100.0,
CAP-000371,SUP-09395,FL-519,2024-07,856,573.0,66.9,
CAP-000372,SUP-09395,FL-519,2024-08,790,774.0,98.0,
CAP-000373,SUP-09395,FL-519,2024-09,778,619.0,79.6,
CAP-000374,SUP-09395,FL-519,2024-10,729,,59.8,
CAP-000375,SUP-09395,FL-519,2024-11,757,709.0,,
CAP-000376,SUP-09395,FL-519,2024-12,749,665.0,88.8,
CAP-000377,SUP-09395,FL-519,2025-01,729,555.0,76.1,
CAP-000378,SUP-09395,FL-519,2025-02,866,803.0,92.7,
CAP-000379,SUP-09395,FL-519,2025-03,818,474.0,57.9,
CAP-000380,SUP-09395,FL-519,2025-04,792,801.0,100.0,
CAP-000381,SUP-09395,FL-519,2025-05,816,463.0,56.7,
CAP-000382,SUP-09395,FL-519,2025-06,836,639.0,76.4,
CAP-000383,SUP-09395,FL-519,2025-07,768,774.0,100.0,
CAP-000384,SUP-09395,FL-519,2025-08,802,500.0,62.3,
CAP-000385,SUP-09395,FL-519,2025-09,812,697.0,85.8,
CAP-000386,SUP-09395,FL-519,2025-10,773,736.0,95.2,
CAP-000387,SUP-09395,FL-519,2025-11,842,647.0,76.8,
CAP-000388,SUP-09395,FL-519,2025-12,798,507.0,63.5,
CAP-000389,SUP-09395,FL-519,2026-01,797,665.0,83.4,
CAP-000390,SUP-09395,FL-519,2026-02,813,852.0,100.0,
CAP-000391,SUP-09395,FL-519,2026-03,784,652.0,83.2,
