quality_event_id,part_id,supplier_id,batch_id,event_date,event_type,severity,disposition_status,affected_qty
QE-0000029,EL-368,SUP-03242,BATCH-EL-368-20241004-5,2024-10-04,Deviation Approved,Medium,Closed,250
QE-0000030,EC-387,SUP-10337,BATCH-EC-387-20250907-6,2025-09-07,Hold,Medium,Under Investigation,250
QE-0000031,FT-387,SUP-04913,BATCH-FT-387-20260326-3,2026-03-26,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000032,CH-922,SUP-07976,BATCH-CH-922-20240619-1,2024-06-19,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000033,FL-341,SUP-13766,BATCH-FL-341-20240922-3,2024-09-22,Incoming Inspection Pass,Not Applicable,,0
QE-0000034,SC-1308,SUP-12617,BATCH-SC-1308-20250309-8,2025-03-09,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000035,EL-744,SUP-04603,BATCH-EL-744-20250726-2,2025-07-26,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000036,HY-728,SUP-00507,BATCH-HY-728-20250329-8,2025-03-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000037,HY-888,SUP-10949,BATCH-HY-888-20251027-4,2025-10-27,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000038,HY-1249,SUP-04346,BATCH-HY-1249-20240906-1,2024-09-06,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000039,FL-222,SUP-02786,BATCH-FL-222-20251128-5,2025-11-28,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000040,CH-588,SUP-06454,BATCH-CH-588-20240422-4,2024-04-22,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000041,EC-647,SUP-10571,BATCH-EC-647-20251107-6,2025-11-07,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000042,EL-366,SUP-04384,BATCH-EL-366-20250122-7,2025-01-22,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000043,CB-753,SUP-13542,BATCH-CB-753-20240713-8,2024-07-13,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000044,CH-1153,SUP-08466,BATCH-CH-1153-20240331-8,2024-03-31,Hold,Low,Closed,250
QE-0000045,EC-728,SUP-05124,BATCH-EC-728-20260522-5,2026-05-22,Defect,Low,Approved for Use,250
QE-0000046,EC-819,SUP-14715,BATCH-EC-819-20250208-5,2025-02-08,Defect,Medium,Under Investigation,25
QE-0000047,FL-1329,SUP-01340,BATCH-FL-1329-20260128-3,2026-01-28,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000048,FL-709,SUP-10739,BATCH-FL-709-20250328-4,2025-03-28,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000049,TR-456,SUP-05004,BATCH-TR-456-20251007-2,2025-10-07,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000050,EL-748,SUP-03788,BATCH-EL-748-20250731-2,2025-07-31,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000051,ST-407,SUP-04338,BATCH-ST-407-20250220-2,2025-02-20,Hold,High,Approved for Use,500
QE-0000052,BR-683,SUP-00778,BATCH-BR-683-20240604-6,2024-06-04,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000053,CB-872,SUP-08707,BATCH-CB-872-20250519-7,2025-05-19,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000054,CH-1053,SUP-02936,BATCH-CH-1053-20240909-3,2024-09-09,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000055,TR-398,SUP-04731,BATCH-TR-398-20260718-3,2026-07-18,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000056,FL-1060,SUP-06726,BATCH-FL-1060-20250224-2,2025-02-24,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000057,EL-649,SUP-14383,BATCH-EL-649-20260424-8,2026-04-24,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000058,EL-1036,SUP-12904,BATCH-EL-1036-20260206-2,2026-02-06,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000059,FL-1152,SUP-02186,BATCH-FL-1152-20250429-8,2025-04-29,Hold,Low,Approved for Use,100
QE-0000060,FL-931,SUP-11433,BATCH-FL-931-20250611-7,2025-06-11,Hold,Low,Closed,25
QE-0000061,HY-820,SUP-03451,BATCH-HY-820-20250729-4,2025-07-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000062,EN-504,SUP-10464,BATCH-EN-504-20241223-2,2024-12-23,Defect,High,Approved for Use,250
QE-0000063,CB-423,SUP-02928,BATCH-CB-423-20250708-5,2025-07-08,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000064,CH-408,SUP-11264,BATCH-CH-408-20251115-5,2025-11-15,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000065,ST-193,SUP-07783,BATCH-ST-193-20240401-4,2024-04-01,Hold,Low,Closed,100
QE-0000066,FL-996,SUP-04578,BATCH-FL-996-20260506-2,2026-05-06,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000067,EC-654,SUP-02956,BATCH-EC-654-20241109-1,2024-11-09,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000068,FT-139,SUP-02980,BATCH-FT-139-20250325-6,2025-03-25,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000069,EL-831,SUP-08282,BATCH-EL-831-20250620-7,2025-06-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000070,FL-1060,SUP-06726,BATCH-FL-1060-20251001-1,2025-10-01,Deviation Approved,Low,Under Investigation,25
QE-0000071,EL-127,SUP-14106,BATCH-EL-127-20240904-3,2024-09-04,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000072,TR-1304,SUP-09919,BATCH-TR-1304-20260331-6,2026-03-31,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000073,CH-1177,SUP-06814,BATCH-CH-1177-20240925-1,2024-09-25,Hold,Medium,Closed,25
QE-0000074,TR-1306,SUP-07233,BATCH-TR-1306-20240320-3,2024-03-20,Recall,Low,Under Investigation,500
QE-0000075,SC-801,SUP-14485,BATCH-SC-801-20250721-2,2025-07-21,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000076,CB-133,SUP-09248,BATCH-CB-133-20250809-6,2025-08-09,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000077,EL-296,SUP-01897,BATCH-EL-296-20250713-3,2025-07-13,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000078,BR-1284,SUP-04019,BATCH-BR-1284-20240822-3,2024-08-22,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000079,BR-837,SUP-10540,BATCH-BR-837-20250918-3,2025-09-18,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000080,FL-927,SUP-08089,BATCH-FL-927-20250104-4,2025-01-04,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000081,EN-1193,SUP-01020,BATCH-EN-1193-20260802-5,2026-08-02,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000082,SC-203,SUP-03542,BATCH-SC-203-20251220-5,2025-12-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000083,FL-489,SUP-06371,BATCH-FL-489-20250529-2,2025-05-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000084,CB-1269,SUP-08934,BATCH-CB-1269-20241223-5,2024-12-23,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000085,EN-1201,SUP-00664,BATCH-EN-1201-20250429-3,2025-04-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000086,EC-210,SUP-06009,BATCH-EC-210-20241026-5,2024-10-26,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000087,SC-181,SUP-02654,BATCH-SC-181-20260417-4,2026-04-17,Hold,Medium,Closed,0
QE-0000088,SC-1343,SUP-05990,BATCH-SC-1343-20260125-4,2026-01-25,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000089,ST-191,SUP-14010,BATCH-ST-191-20240112-7,2024-01-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000090,EC-201,SUP-10628,BATCH-EC-201-20250511-7,2025-05-11,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000091,ST-246,SUP-07379,BATCH-ST-246-20250329-4,2025-03-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000092,ST-801,SUP-13216,BATCH-ST-801-20260222-8,2026-02-22,Defect,Low,Scrapped,0
QE-0000093,HY-1085,SUP-14844,BATCH-HY-1085-20260618-2,2026-06-18,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000094,FT-511,SUP-10965,BATCH-FT-511-20250714-2,2025-07-14,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000095,EC-186,SUP-05610,BATCH-EC-186-20241116-3,2024-11-16,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000096,CH-774,SUP-12583,BATCH-CH-774-20260221-5,2026-02-21,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000097,BR-518,SUP-11193,BATCH-BR-518-20241227-4,2024-12-27,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000098,CB-444,SUP-13222,BATCH-CB-444-20240702-4,2024-07-02,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000099,FL-795,SUP-12717,BATCH-FL-795-20260203-3,2026-02-03,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000100,FT-789,SUP-12917,BATCH-FT-789-20240308-8,2024-03-08,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000101,TR-440,SUP-12211,BATCH-TR-440-20240812-1,2024-08-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000102,EL-504,SUP-14070,BATCH-EL-504-20250826-1,2025-08-26,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000103,CB-148,SUP-14717,BATCH-CB-148-20240917-7,2024-09-17,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000104,EN-1031,SUP-13066,BATCH-EN-1031-20250512-8,2025-05-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000105,CH-738,SUP-11244,BATCH-CH-738-20250507-3,2025-05-07,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000106,CB-601,SUP-13666,BATCH-CB-601-20260811-3,2026-08-11,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000107,BR-1005,SUP-04699,BATCH-BR-1005-20250115-2,2025-01-15,Hold,Low,Approved for Use,500
QE-0000108,EC-850,SUP-05194,BATCH-EC-850-20240211-6,2024-02-11,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000109,EN-1300,SUP-09796,BATCH-EN-1300-20241009-3,2024-10-09,Defect,Medium,Closed,50
QE-0000110,EL-1310,SUP-10546,BATCH-EL-1310-20260313-6,2026-03-13,Hold,Medium,Approved for Use,25
QE-0000111,SC-1119,SUP-00135,BATCH-SC-1119-20250708-4,2025-07-08,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000112,HY-704,SUP-07813,BATCH-HY-704-20241023-1,2024-10-23,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000113,FT-864,SUP-13904,BATCH-FT-864-20260408-7,2026-04-08,Hold,Medium,Under Investigation,100
QE-0000114,BR-1260,SUP-02299,BATCH-BR-1260-20240508-2,2024-05-08,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000115,EL-1246,SUP-06018,BATCH-EL-1246-20240629-3,2024-06-29,Deviation Approved,Low,Scrapped,25
QE-0000116,CB-684,SUP-07281,BATCH-CB-684-20240120-7,2024-01-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000117,CB-1259,SUP-11178,BATCH-CB-1259-20250119-3,2025-01-19,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000118,FL-1327,SUP-10286,BATCH-FL-1327-20240923-3,2024-09-23,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000119,EL-368,SUP-03242,BATCH-EL-368-20240919-1,2024-09-19,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000120,CH-930,SUP-02697,BATCH-CH-930-20260323-8,2026-03-23,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000121,EC-1283,SUP-06370,BATCH-EC-1283-20260514-1,2026-05-14,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000122,EL-1121,SUP-03218,BATCH-EL-1121-20241115-3,2024-11-15,Deviation Approved,Critical,Approved for Use,500
QE-0000123,EC-1081,SUP-14711,BATCH-EC-1081-20260820-8,2026-08-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000124,BR-546,SUP-02395,BATCH-BR-546-20250112-7,2025-01-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000125,FL-139,SUP-02563,BATCH-FL-139-20251001-8,2025-10-01,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000126,CH-382,SUP-14378,BATCH-CH-382-20240222-7,2024-02-22,Hold,Critical,Under Investigation,100
QE-0000127,EC-721,SUP-11368,BATCH-EC-721-20251123-7,2025-11-23,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000128,EL-184,SUP-04392,BATCH-EL-184-20250318-6,2025-03-18,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000129,ST-373,SUP-03686,BATCH-ST-373-20251106-1,2025-11-06,Hold,Medium,Closed,100
QE-0000130,CH-1074,SUP-01666,BATCH-CH-1074-20250722-5,2025-07-22,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000131,HY-447,SUP-12307,BATCH-HY-447-20240919-3,2024-09-19,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000132,FL-212,SUP-10583,BATCH-FL-212-20241125-8,2024-11-25,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000133,CB-768,SUP-10839,BATCH-CB-768-20250501-4,2025-05-01,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000134,SC-109,SUP-07291,BATCH-SC-109-20250302-8,2025-03-02,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000135,ST-1173,SUP-04610,BATCH-ST-1173-20260117-8,2026-01-17,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000136,FT-1069,SUP-10875,BATCH-FT-1069-20240605-7,2024-06-05,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000137,HY-1264,SUP-06001,BATCH-HY-1264-20240807-6,2024-08-07,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000138,FT-1270,SUP-09000,BATCH-FT-1270-20251202-6,2025-12-02,Incoming Inspection Pass,Not Applicable,,0
QE-0000139,EL-601,SUP-11525,BATCH-EL-601-20251012-1,2025-10-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000140,FT-501,SUP-09715,BATCH-FT-501-20251012-7,2025-10-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000141,BR-994,SUP-01333,BATCH-BR-994-20240120-6,2024-01-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000142,EN-985,SUP-00332,BATCH-EN-985-20250808-3,2025-08-08,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000143,ST-714,SUP-13841,BATCH-ST-714-20250205-3,2025-02-05,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000144,FL-1069,SUP-10342,BATCH-FL-1069-20260518-7,2026-05-18,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000145,FL-577,SUP-06518,BATCH-FL-577-20250505-3,2025-05-05,Defect,Medium,,500
QE-0000146,FT-515,SUP-01510,BATCH-FT-515-20241029-1,2024-10-29,Defect,High,Closed,10
QE-0000147,HY-839,SUP-12386,BATCH-HY-839-20240702-2,2024-07-02,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000148,HY-338,SUP-09532,BATCH-HY-338-20250316-7,2025-03-16,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000149,EL-572,SUP-14776,BATCH-EL-572-20250520-4,2025-05-20,Defect,High,Under Investigation,50
QE-0000150,FL-161,SUP-14899,BATCH-FL-161-20251110-8,2025-11-10,Hold,Medium,Approved for Use,0
QE-0000151,CB-960,SUP-13835,BATCH-CB-960-20240422-1,2024-04-22,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000152,FL-1151,SUP-11849,BATCH-FL-1151-20251009-4,2025-10-09,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000153,SC-1170,SUP-12709,BATCH-SC-1170-20250520-7,2025-05-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000154,FT-1181,SUP-02779,BATCH-FT-1181-20250313-1,2025-03-13,Hold,Low,Approved for Use,10
QE-0000155,ST-208,SUP-04635,BATCH-ST-208-20250824-3,2025-08-24,Hold,High,Closed,100
QE-0000156,CB-1264,SUP-13143,BATCH-CB-1264-20240513-5,2024-05-13,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000157,FL-660,SUP-08733,BATCH-FL-660-20260630-8,2026-06-30,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000158,TR-991,SUP-13927,BATCH-TR-991-20240329-8,2024-03-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000159,TR-1179,SUP-09484,BATCH-TR-1179-20250518-4,2025-05-18,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000160,TR-825,SUP-07331,BATCH-TR-825-20260401-1,2026-04-01,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000161,HY-392,SUP-00008,BATCH-HY-392-20260813-1,2026-08-13,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000162,FT-1263,SUP-10617,BATCH-FT-1263-20260711-7,2026-07-11,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000163,CB-687,SUP-11100,BATCH-CB-687-20240405-7,2024-04-05,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000164,ST-1118,SUP-03651,BATCH-ST-1118-20250612-2,2025-06-12,Incoming Inspection Pass,Not Applicable,,0
QE-0000165,EN-264,SUP-13691,BATCH-EN-264-20241007-5,2024-10-07,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000166,SC-1246,SUP-12682,BATCH-SC-1246-20250629-4,2025-06-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000167,HY-761,SUP-02116,BATCH-HY-761-20251106-2,2025-11-06,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000168,CB-1003,SUP-03652,BATCH-CB-1003-20240515-7,2024-05-15,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000169,CB-1342,SUP-10734,BATCH-CB-1342-20250112-4,2025-01-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000170,EN-634,SUP-12113,BATCH-EN-634-20260320-8,2026-03-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000171,TR-805,SUP-10695,BATCH-TR-805-20240712-1,2024-07-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000172,EL-1323,SUP-04037,BATCH-EL-1323-20241213-1,2024-12-13,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000173,EL-1298,SUP-08684,BATCH-EL-1298-20251002-1,2025-10-02,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000174,CH-219,SUP-06866,BATCH-CH-219-20260214-1,2026-02-14,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000175,EL-610,SUP-00295,BATCH-EL-610-20250803-5,2025-08-03,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000176,BR-576,SUP-00806,BATCH-BR-576-20260813-5,2026-08-13,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000177,FL-1076,SUP-12476,BATCH-FL-1076-20241008-7,2024-10-08,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000178,TR-441,SUP-04415,BATCH-TR-441-20250523-4,2025-05-23,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000179,BR-962,SUP-14324,BATCH-BR-962-20240226-2,2024-02-26,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000180,TR-1262,SUP-03456,BATCH-TR-1262-20241015-3,2024-10-15,Hold,High,Approved for Use,100
QE-0000181,ST-736,SUP-06397,BATCH-ST-736-20250219-8,2025-02-19,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000182,FT-826,SUP-13707,BATCH-FT-826-20250423-7,2025-04-23,Hold,High,Closed,100
QE-0000183,FT-1140,SUP-09214,BATCH-FT-1140-20260511-6,2026-05-11,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000184,FL-1301,SUP-04615,BATCH-FL-1301-20250418-7,2025-04-18,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000185,SC-156,SUP-13526,BATCH-SC-156-20241130-4,2024-11-30,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000186,ST-697,SUP-07630,BATCH-ST-697-20251003-4,2025-10-03,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000187,TR-1168,SUP-01718,BATCH-TR-1168-20240409-1,2024-04-09,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000188,ST-772,SUP-05970,BATCH-ST-772-20251220-7,2025-12-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000189,ST-708,SUP-04032,BATCH-ST-708-20240727-3,2024-07-27,Hold,Medium,,0
QE-0000190,EC-741,SUP-10001,BATCH-EC-741-20260331-3,2026-03-31,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000191,FT-211,SUP-11218,BATCH-FT-211-20240714-2,2024-07-14,Hold,Low,Closed,250
QE-0000192,EN-157,SUP-12245,BATCH-EN-157-20240526-2,2024-05-26,Deviation Approved,Low,Approved for Use,0
QE-0000193,CH-1244,SUP-10721,BATCH-CH-1244-20250129-1,2025-01-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000194,FT-111,SUP-06651,BATCH-FT-111-20250413-2,2025-04-13,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000195,CH-1193,SUP-02113,BATCH-CH-1193-20251111-7,2025-11-11,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000196,ST-482,SUP-10340,BATCH-ST-482-20251111-8,2025-11-11,Recall,Low,Under Investigation,250
QE-0000197,SC-134,SUP-11588,BATCH-SC-134-20250629-3,2025-06-29,Hold,Medium,,50
QE-0000198,SC-482,SUP-00780,BATCH-SC-482-20250202-2,2025-02-02,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000199,HY-480,SUP-01863,BATCH-HY-480-20241017-6,2024-10-17,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000200,EN-657,SUP-12509,BATCH-EN-657-20240417-2,2024-04-17,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000201,CB-873,SUP-13749,BATCH-CB-873-20241004-8,2024-10-04,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000202,HY-675,SUP-14436,BATCH-HY-675-20260207-5,2026-02-07,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000203,EN-1003,SUP-06070,BATCH-EN-1003-20250227-7,2025-02-27,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000204,BR-945,SUP-06766,BATCH-BR-945-20260716-1,2026-07-16,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000205,FL-495,SUP-07382,BATCH-FL-495-20250131-8,2025-01-31,Hold,Critical,Closed,100
QE-0000206,HY-184,SUP-06882,BATCH-HY-184-20251122-1,2025-11-22,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000207,CH-969,SUP-14584,BATCH-CH-969-20240512-6,2024-05-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000208,BR-1268,SUP-03345,BATCH-BR-1268-20240618-6,2024-06-18,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000209,CH-323,SUP-05179,BATCH-CH-323-20260614-6,2026-06-14,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000210,CH-332,SUP-09700,BATCH-CH-332-20240501-4,2024-05-01,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000211,SC-1195,SUP-06411,BATCH-SC-1195-20260614-2,2026-06-14,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000212,BR-427,SUP-10599,BATCH-BR-427-20251011-2,2025-10-11,Incoming Inspection Pass,Not Applicable,Closed,0
