shipment_id,po_id,lane_id,carrier,ship_date,eta_date,actual_arrival_date,shipment_qty,shipment_status
SHP-0000020,PO-0017364,LANE-015067,Continental Cargo,2024-07-08,2024-07-12,2024-07-10,500,Delivered
SHP-0000021,PO-0022304,LANE-004949,Atlas Intermodal,2026-07-15,2026-08-10,,50,In Transit
SHP-0000022,PO-0024397,LANE-000911,Meridian Logistics,2024-12-19,2025-01-02,2025-01-04,200,Delivered
SHP-0000023,PO-0016168,LANE-003385,Meridian Logistics,2024-01-25,2024-01-29,2024-01-30,300,Partial
SHP-0000024,PO-0024059,LANE-015485,TransGlobal Freight,2026-06-21,2026-06-23,2026-06-23,1200,Delivered
SHP-0000025,PO-0004894,LANE-006475,Continental Cargo,2024-03-28,2024-03-31,2024-03-30,200,Delivered
SHP-0000026,PO-0010651,LANE-001176,Atlas Intermodal,2024-12-12,2024-12-16,,300,In Transit
SHP-0000027,PO-0020693,LANE-011709,EuroFreight Express,2025-10-18,2025-10-20,,300,In Transit
SHP-0000028,PO-0023144,LANE-015558,EuroFreight Express,2025-05-28,2025-05-30,2025-05-29,100,Delivered
SHP-0000029,PO-0018387,LANE-013797,Atlas Intermodal,2026-05-23,2026-06-06,2026-06-09,50,Delivered
SHP-0000030,PO-0001618,LANE-015912,Ironhide Trucking,2026-07-19,2026-07-24,2026-07-26,200,Delivered
SHP-0000031,PO-0025157,LANE-011525,Meridian Logistics,2025-12-26,2026-01-28,2026-01-26,500,Delivered
SHP-0000032,PO-0005161,LANE-007875,Pacific Rim Shipping,2025-05-19,2025-05-21,2025-05-20,800,Delivered
SHP-0000033,PO-0017794,LANE-001398,,2024-11-08,2024-12-02,2024-12-03,800,Delivered
SHP-0000034,PO-0025484,LANE-015537,Meridian Logistics,2024-02-29,2024-04-05,2024-04-06,200,Delivered
SHP-0000035,PO-0016746,LANE-012312,Continental Cargo,2024-12-15,2024-12-17,2024-12-14,50,Delivered
SHP-0000036,PO-0010376,LANE-010088,Atlas Intermodal,2025-04-21,2025-04-25,2025-04-23,50,Delivered
SHP-0000037,PO-0016711,LANE-015998,EuroFreight Express,2025-08-21,2025-08-24,,50,In Transit
SHP-0000038,PO-0014035,LANE-000692,Ironhide Trucking,2025-01-15,2025-01-19,2025-01-20,300,Delivered
SHP-0000039,PO-0021516,LANE-006300,TransGlobal Freight,2024-11-07,2024-11-30,2024-11-28,50,Delivered
SHP-0000040,PO-0013080,LANE-007273,Atlas Intermodal,2024-02-17,2024-02-29,,300,In Transit
SHP-0000041,PO-0020730,LANE-013541,Continental Cargo,2024-04-05,2024-04-10,2024-04-13,100,Delivered
SHP-0000042,PO-0020827,LANE-006191,Ironhide Trucking,2026-01-28,2026-02-07,,300,Delayed
SHP-0000043,PO-0010799,LANE-009334,Atlas Intermodal,2024-02-26,2024-03-05,2024-03-03,800,Delivered
SHP-0000044,PO-0011151,LANE-004927,EuroFreight Express,2024-10-02,2024-10-14,2024-10-16,800,Delivered
SHP-0000045,PO-0001302,LANE-014237,BlueLine Transport,2026-07-06,2026-07-09,2026-07-11,200,Delivered
SHP-0000046,PO-0007719,LANE-004136,Continental Cargo,2025-01-09,2025-01-18,2025-01-16,1200,Delivered
SHP-0000047,PO-0001718,LANE-009945,,2025-05-22,2025-05-27,2025-05-25,300,Delivered
SHP-0000048,PO-0002082,LANE-006004,BlueLine Transport,2025-05-17,2025-05-19,,50,In Transit
SHP-0000049,PO-0022283,LANE-014565,TransGlobal Freight,2026-03-04,2026-03-17,2026-03-20,1200,Delivered
SHP-0000050,PO-0004539,LANE-001431,Meridian Logistics,2026-03-03,,2026-03-18,1200,Delivered
SHP-0000051,PO-0009162,LANE-004975,,2024-10-08,2024-10-12,,500,In Transit
SHP-0000052,PO-0019242,LANE-006286,Atlas Intermodal,2025-01-07,2025-01-21,2025-01-22,500,Delivered
SHP-0000053,PO-0003121,LANE-009289,Ironhide Trucking,2024-08-31,2024-10-04,,1200,Delayed
SHP-0000054,PO-0024981,LANE-006405,Ironhide Trucking,2025-11-17,2025-11-20,2025-11-23,50,Delivered
SHP-0000055,PO-0017673,LANE-003001,EuroFreight Express,2024-01-29,2024-02-29,,100,Delayed
SHP-0000056,PO-0014124,LANE-007364,Continental Cargo,2025-10-15,2025-10-27,2025-10-27,300,Delivered
SHP-0000057,PO-0026133,LANE-014455,EuroFreight Express,2025-07-02,2025-07-05,2025-07-05,1200,Partial
SHP-0000058,PO-0003042,LANE-004403,Continental Cargo,2024-12-30,2025-01-03,2024-12-31,300,Delivered
SHP-0000059,PO-0003191,LANE-004200,Pacific Rim Shipping,2024-05-09,2024-05-14,,200,In Transit
SHP-0000060,PO-0007707,LANE-010491,Meridian Logistics,2025-02-08,2025-02-13,,50,In Transit
SHP-0000061,PO-0026969,LANE-010858,Ironhide Trucking,2025-02-05,2025-03-11,2025-03-14,50,Delivered
SHP-0000062,PO-0024935,LANE-000740,Meridian Logistics,2024-08-05,2024-08-31,2024-09-02,300,Delivered
SHP-0000063,PO-0001292,LANE-013604,BlueLine Transport,2026-07-09,2026-07-12,2026-07-14,50,Delivered
SHP-0000064,PO-0005754,LANE-002562,Pacific Rim Shipping,2025-12-12,2025-12-24,2025-12-25,800,Delivered
SHP-0000065,PO-0023318,LANE-004002,Continental Cargo,2024-05-31,2024-06-03,,100,Delayed
SHP-0000066,PO-0018500,LANE-010358,TransGlobal Freight,2024-11-11,2024-11-23,2024-11-20,500,Delivered
SHP-0000067,PO-0021541,LANE-010166,BlueLine Transport,2024-03-04,,,200,In Transit
SHP-0000068,PO-0004423,LANE-015491,Meridian Logistics,2024-03-05,2024-03-09,2024-03-07,100,Delivered
SHP-0000069,PO-0013028,LANE-013522,Ironhide Trucking,2026-08-08,2026-09-09,2026-09-12,50,Delivered
SHP-0000070,PO-0017759,LANE-012844,Ironhide Trucking,2025-03-31,2025-04-02,2025-03-30,50,Delivered
SHP-0000071,PO-0007083,LANE-011426,Atlas Intermodal,2024-12-25,2025-01-05,2025-01-06,500,Delivered
SHP-0000072,PO-0000063,LANE-012131,Continental Cargo,2026-04-21,2026-04-23,2026-04-24,100,Delivered
SHP-0000073,PO-0010532,LANE-007823,,2025-10-08,2025-10-19,2025-10-20,800,Delivered
SHP-0000074,PO-0025880,LANE-004826,Meridian Logistics,2025-04-19,,2025-05-03,100,Delivered
SHP-0000075,PO-0023886,LANE-015408,Meridian Logistics,2025-04-05,2025-04-09,2025-04-12,200,Delivered
SHP-0000076,PO-0012761,LANE-005163,TransGlobal Freight,2025-06-20,2025-07-02,2025-07-04,1200,Delivered
SHP-0000077,PO-0000147,LANE-000686,Continental Cargo,2025-12-10,2025-12-16,2025-12-16,800,Delivered
SHP-0000078,PO-0016323,LANE-001012,TransGlobal Freight,2025-11-11,,2025-12-05,800,Delivered
SHP-0000079,PO-0010597,LANE-001087,Continental Cargo,2025-12-31,2026-01-31,2026-01-28,800,Delivered
SHP-0000080,PO-0000427,LANE-016294,Meridian Logistics,2026-08-14,2026-09-09,2026-09-07,800,Delivered
SHP-0000081,PO-0024358,LANE-010392,Continental Cargo,2025-12-31,2026-01-03,2026-01-01,100,Delivered
SHP-0000082,PO-0009991,LANE-001019,Ironhide Trucking,2024-04-16,2024-04-19,2024-04-18,1200,Delivered
SHP-0000083,PO-0005934,LANE-011326,Atlas Intermodal,2026-02-11,2026-02-16,2026-02-13,500,Delivered
SHP-0000084,PO-0025060,LANE-007616,Atlas Intermodal,2025-03-29,2025-04-01,2025-04-01,800,Delivered
SHP-0000085,PO-0001200,LANE-006861,Meridian Logistics,2026-08-26,2026-09-06,,300,In Transit
SHP-0000086,PO-0019189,LANE-012156,Continental Cargo,2025-02-10,2025-02-15,,200,Delayed
SHP-0000087,PO-0024304,LANE-011083,,2024-01-10,,,1200,Delayed
SHP-0000088,PO-0005946,LANE-012954,BlueLine Transport,2025-02-02,2025-02-08,2025-02-11,200,Delivered
SHP-0000089,PO-0014838,LANE-011405,Pacific Rim Shipping,2024-01-21,2024-01-22,2024-01-24,800,Delivered
SHP-0000090,PO-0006358,LANE-002988,Pacific Rim Shipping,2025-12-08,2025-12-19,,1200,Delayed
SHP-0000091,PO-0001825,LANE-015108,Meridian Logistics,2025-12-20,2026-01-12,2026-01-09,800,Delivered
SHP-0000092,PO-0004998,LANE-008256,Atlas Intermodal,2025-09-29,2025-10-21,2025-10-21,1200,Delivered
SHP-0000093,PO-0023743,LANE-014921,Pacific Rim Shipping,2024-06-28,2024-07-10,,500,In Transit
SHP-0000094,PO-0022498,LANE-003796,Meridian Logistics,2025-12-11,2025-12-15,,500,In Transit
SHP-0000095,PO-0006138,LANE-013117,Pacific Rim Shipping,2024-12-11,2025-01-09,2025-01-08,800,Delivered
SHP-0000096,PO-0008341,LANE-007899,Continental Cargo,2026-02-05,2026-02-20,,100,In Transit
SHP-0000097,PO-0024109,LANE-005016,Atlas Intermodal,2025-12-22,2026-01-02,2026-01-02,1200,Delivered
SHP-0000098,PO-0024650,LANE-010580,,2024-03-25,2024-04-06,,1200,Delayed
SHP-0000099,PO-0009998,LANE-007273,Atlas Intermodal,2024-01-06,2024-01-18,,100,Delayed
SHP-0000100,PO-0020073,LANE-013927,BlueLine Transport,2026-01-27,2026-01-31,2026-02-03,1200,Delivered
SHP-0000101,PO-0007699,LANE-001278,Atlas Intermodal,2026-06-14,2026-06-27,2026-06-29,100,Delivered
SHP-0000102,PO-0001865,LANE-004587,TransGlobal Freight,2025-06-07,2025-06-19,2025-06-17,800,Delivered
SHP-0000103,PO-0023976,LANE-004313,BlueLine Transport,2024-09-17,2024-09-21,,300,Delayed
SHP-0000104,PO-0002958,LANE-015152,Pacific Rim Shipping,2025-02-10,2025-02-20,2025-02-18,800,Delivered
SHP-0000105,PO-0015512,LANE-011626,Continental Cargo,2025-03-04,2025-03-05,2025-03-04,500,Delivered
SHP-0000106,PO-0013558,LANE-015098,Continental Cargo,2024-09-18,2024-10-09,2024-10-09,1200,Delivered
SHP-0000107,PO-0009561,LANE-016750,Pacific Rim Shipping,2025-05-31,2025-06-05,2025-06-03,200,Delivered
SHP-0000108,PO-0025611,LANE-013076,Continental Cargo,2025-07-19,2025-07-23,2025-07-25,200,Delivered
SHP-0000109,PO-0013681,LANE-015053,Pacific Rim Shipping,2024-02-15,2024-02-20,,800,In Transit
SHP-0000110,PO-0007641,LANE-013937,Atlas Intermodal,2024-09-07,2024-09-13,2024-09-12,1200,Delivered
SHP-0000111,PO-0022339,LANE-012951,TransGlobal Freight,2024-01-10,2024-01-14,,100,In Transit
SHP-0000112,PO-0026380,LANE-011039,Ironhide Trucking,2026-02-02,2026-02-13,2026-02-15,200,Delivered
SHP-0000113,PO-0020103,LANE-011674,EuroFreight Express,2026-04-21,2026-05-02,2026-05-01,300,Delivered
SHP-0000114,PO-0023465,LANE-016564,EuroFreight Express,2026-07-31,2026-08-02,2026-08-03,500,Delivered
SHP-0000115,PO-0021489,LANE-016196,EuroFreight Express,2026-07-21,2026-08-18,,200,Delayed
SHP-0000116,PO-0004962,LANE-011946,Continental Cargo,2025-02-25,2025-03-20,2025-03-24,100,Partial
SHP-0000117,PO-0024041,LANE-000481,Pacific Rim Shipping,2026-01-04,2026-01-14,,200,In Transit
SHP-0000118,PO-0012118,LANE-008389,Ironhide Trucking,2024-10-24,2024-10-27,2024-10-25,100,Delivered
SHP-0000119,PO-0021590,LANE-005953,Pacific Rim Shipping,2026-08-24,2026-09-07,2026-09-09,100,Delivered
SHP-0000120,PO-0014323,LANE-015674,Meridian Logistics,2024-09-22,2024-09-26,2024-09-28,100,Delivered
SHP-0000121,PO-0015384,LANE-010007,Meridian Logistics,2025-06-19,,2025-07-14,800,Delivered
SHP-0000122,PO-0021551,LANE-006983,Meridian Logistics,2024-02-10,2024-02-13,,100,Delayed
SHP-0000123,PO-0002628,LANE-010345,TransGlobal Freight,2026-04-03,2026-04-15,2026-04-13,300,Delivered
SHP-0000124,PO-0005136,LANE-000121,Ironhide Trucking,2025-05-30,2025-06-03,2025-06-03,500,Delivered
SHP-0000125,PO-0005553,LANE-009472,BlueLine Transport,2024-08-12,2024-08-15,2024-08-14,200,Delivered
SHP-0000126,PO-0015060,LANE-010602,EuroFreight Express,2024-04-01,2024-05-02,,100,In Transit
SHP-0000127,PO-0000595,LANE-010246,,2024-02-05,2024-02-08,2024-02-11,200,Delivered
SHP-0000128,PO-0002096,LANE-014639,Pacific Rim Shipping,2024-01-31,2024-02-05,2024-02-08,300,Partial
SHP-0000129,PO-0007443,LANE-009231,EuroFreight Express,2024-04-16,2024-05-15,2024-05-13,800,Delivered
SHP-0000130,PO-0020502,LANE-010374,Atlas Intermodal,2024-02-11,,2024-03-10,50,Delivered
SHP-0000131,PO-0010342,LANE-000137,EuroFreight Express,2024-08-08,2024-08-22,,200,In Transit
SHP-0000132,PO-0013139,LANE-012468,TransGlobal Freight,2025-10-14,2025-10-17,2025-10-19,100,Delivered
SHP-0000133,PO-0009768,LANE-000538,Ironhide Trucking,2024-03-13,2024-03-19,2024-03-19,100,Delivered
SHP-0000134,PO-0000236,LANE-001398,Pacific Rim Shipping,2024-12-27,2025-01-20,,100,Delayed
SHP-0000135,PO-0009787,LANE-000603,Pacific Rim Shipping,2025-08-31,2025-09-05,2025-09-02,50,Delivered
SHP-0000136,PO-0004302,LANE-014484,Ironhide Trucking,2024-01-27,2024-02-01,2024-02-02,800,Delivered
SHP-0000137,PO-0025587,LANE-013946,TransGlobal Freight,2026-02-24,2026-03-02,2026-03-02,500,Delivered
SHP-0000138,PO-0007807,LANE-003895,Continental Cargo,2024-11-27,2024-12-19,,500,In Transit
SHP-0000139,PO-0011087,LANE-013386,Meridian Logistics,2024-06-24,2024-06-28,2024-06-28,300,Delivered
SHP-0000140,PO-0025694,LANE-012300,Continental Cargo,2024-04-15,2024-04-18,2024-04-20,300,Delivered
SHP-0000141,PO-0002952,LANE-016556,Continental Cargo,2026-05-18,2026-05-20,2026-05-17,300,Delivered
SHP-0000142,PO-0008241,LANE-006698,Meridian Logistics,2025-01-20,2025-02-12,2025-02-14,500,Delivered
SHP-0000143,PO-0022546,LANE-016616,EuroFreight Express,2024-02-09,2024-03-06,,200,Delayed
SHP-0000144,PO-0010879,LANE-016361,Ironhide Trucking,2025-09-06,2025-09-18,,1200,In Transit
SHP-0000145,PO-0011436,LANE-011095,,2025-04-20,2025-04-24,2025-04-24,800,Delivered
SHP-0000146,PO-0016004,LANE-011397,BlueLine Transport,2026-04-18,2026-04-20,2026-04-23,200,Delivered
SHP-0000147,PO-0024974,LANE-014347,EuroFreight Express,2025-05-04,2025-05-16,2025-05-14,50,Delivered
SHP-0000148,PO-0025943,LANE-014694,Meridian Logistics,2026-03-31,,2026-04-27,100,Delivered
SHP-0000149,PO-0009428,LANE-014399,Meridian Logistics,2024-10-20,2024-10-25,2024-10-23,500,Delivered
SHP-0000150,PO-0021888,LANE-011637,Pacific Rim Shipping,2025-10-06,2025-10-08,2025-10-09,50,Delivered
SHP-0000151,PO-0025091,LANE-000569,EuroFreight Express,2024-05-30,2024-06-07,2024-06-08,1200,Delivered
SHP-0000152,PO-0003496,LANE-003096,Continental Cargo,2025-06-01,2025-06-25,2025-06-23,200,Delivered
SHP-0000153,PO-0000697,LANE-007840,Ironhide Trucking,2025-12-14,2026-01-11,2026-01-14,500,Delivered
SHP-0000154,PO-0011263,LANE-016533,Pacific Rim Shipping,2025-05-02,2025-05-29,,100,Delayed
SHP-0000155,PO-0014801,LANE-015940,Pacific Rim Shipping,2024-08-02,2024-08-14,2024-08-17,50,Delivered
SHP-0000156,PO-0017416,LANE-013010,Continental Cargo,2025-05-08,2025-05-13,2025-05-15,100,Delivered
SHP-0000157,PO-0012551,LANE-006619,EuroFreight Express,2026-02-05,2026-02-17,2026-02-18,300,Delivered
SHP-0000158,PO-0024189,LANE-011137,Meridian Logistics,2025-04-25,2025-05-23,,300,Lost
SHP-0000159,PO-0005637,LANE-001524,Ironhide Trucking,2025-04-27,2025-05-10,2025-05-11,1200,Delivered
SHP-0000160,PO-0025540,LANE-003205,,2025-06-19,2025-06-22,2025-06-21,200,Delivered
SHP-0000161,PO-0026488,LANE-000233,,2026-07-12,2026-07-23,2026-07-20,200,Delivered
SHP-0000162,PO-0001686,LANE-000132,EuroFreight Express,2025-10-09,2025-10-15,2025-10-16,200,Delivered
SHP-0000163,PO-0009521,LANE-015706,Continental Cargo,2024-09-07,2024-09-18,2024-09-17,500,Delivered
SHP-0000164,PO-0015535,LANE-015608,Meridian Logistics,2024-12-07,2024-12-19,2024-12-21,500,Delivered
SHP-0000165,PO-0000722,LANE-000167,Meridian Logistics,2026-05-11,2026-06-05,2026-06-07,500,Delivered
SHP-0000166,PO-0025188,LANE-013749,Pacific Rim Shipping,2025-02-17,2025-03-17,2025-03-14,1200,Delivered
SHP-0000167,PO-0009507,LANE-000714,,2025-07-28,2025-08-04,2025-08-04,1200,Delivered
SHP-0000168,PO-0026399,LANE-001421,Ironhide Trucking,2026-04-16,2026-04-20,2026-04-17,50,Delivered
SHP-0000169,PO-0012296,LANE-001870,Continental Cargo,2026-04-18,2026-04-30,2026-05-01,200,Delivered
SHP-0000170,PO-0024598,LANE-004058,,2025-02-23,2025-03-19,2025-03-20,300,Delivered
SHP-0000171,PO-0025725,LANE-011711,Meridian Logistics,2025-08-11,2025-08-13,2025-08-14,1200,Delivered
SHP-0000172,PO-0000653,LANE-010182,Continental Cargo,2025-01-02,2025-01-05,2025-01-05,300,Delivered
SHP-0000173,PO-0018422,LANE-004847,Meridian Logistics,2024-01-29,2024-02-19,2024-02-18,1200,Delivered
SHP-0000174,PO-0015147,LANE-008354,Meridian Logistics,2025-03-22,2025-04-19,2025-04-18,300,Delivered
SHP-0000175,PO-0026963,LANE-003194,EuroFreight Express,2024-04-20,2024-04-23,2024-04-20,1200,Delivered
SHP-0000176,PO-0019038,LANE-014232,BlueLine Transport,2025-05-30,2025-07-02,2025-07-03,50,Partial
SHP-0000177,PO-0001343,LANE-009949,Atlas Intermodal,2025-10-20,2025-10-25,2025-10-25,800,Delivered
SHP-0000178,PO-0007852,LANE-000445,Meridian Logistics,2024-10-08,2024-10-13,2024-10-12,200,Delivered
SHP-0000179,PO-0015225,LANE-000592,BlueLine Transport,2024-11-01,2024-12-03,2024-12-03,500,Delivered
SHP-0000180,PO-0012848,LANE-001824,Pacific Rim Shipping,2025-08-16,2025-09-12,,50,In Transit
SHP-0000181,PO-0026837,LANE-010838,Continental Cargo,2026-02-20,2026-03-04,2026-03-07,100,Delivered
SHP-0000182,PO-0018399,LANE-005064,BlueLine Transport,2024-10-02,2024-10-14,,200,In Transit
SHP-0000183,PO-0002102,LANE-016082,Pacific Rim Shipping,2025-04-03,2025-04-05,2025-04-06,800,Delivered
SHP-0000184,PO-0024463,LANE-015183,,2024-03-25,2024-03-30,2024-03-30,50,Delivered
SHP-0000185,PO-0006365,LANE-002533,BlueLine Transport,2024-05-30,2024-06-03,,50,In Transit
SHP-0000186,PO-0017386,LANE-006733,TransGlobal Freight,2024-01-26,2024-01-30,,200,Delayed
SHP-0000187,PO-0009587,LANE-003976,Continental Cargo,2026-05-09,2026-06-06,2026-06-06,1200,Delivered
SHP-0000188,PO-0017123,LANE-005934,Atlas Intermodal,2024-02-10,2024-02-15,,1200,Delayed
SHP-0000189,PO-0014892,LANE-013826,Continental Cargo,2025-10-06,2025-11-05,,500,Lost
SHP-0000190,PO-0006917,LANE-015680,Meridian Logistics,2025-09-29,2025-10-03,2025-10-02,300,Delivered
SHP-0000191,PO-0007218,LANE-006096,Continental Cargo,2025-07-31,2025-08-12,2025-08-15,200,Delivered
SHP-0000192,PO-0009421,LANE-004979,TransGlobal Freight,2024-10-09,2024-10-14,2024-10-12,1200,Delivered
SHP-0000193,PO-0022682,LANE-009318,EuroFreight Express,2025-10-29,2025-11-02,2025-10-30,300,Delivered
SHP-0000194,PO-0023406,LANE-010598,BlueLine Transport,2024-08-17,2024-09-20,,200,In Transit
SHP-0000195,PO-0007571,LANE-000622,EuroFreight Express,2026-04-14,2026-04-24,,200,Delayed
SHP-0000196,PO-0005441,LANE-014722,BlueLine Transport,2025-08-03,2025-08-07,2025-08-10,1200,Delivered
SHP-0000197,PO-0025829,LANE-002931,TransGlobal Freight,2025-04-06,2025-04-08,,1200,In Transit
SHP-0000198,PO-0024749,LANE-014459,Ironhide Trucking,2026-03-25,2026-03-27,,1200,Delayed
SHP-0000199,PO-0025868,LANE-010252,Atlas Intermodal,2024-04-23,2024-04-26,,500,In Transit
SHP-0000200,PO-0017203,LANE-009112,Meridian Logistics,2025-01-07,2025-01-12,2025-01-14,50,Delivered
SHP-0000201,PO-0020293,LANE-004714,Pacific Rim Shipping,2025-09-19,2025-09-24,2025-09-26,500,Delivered
SHP-0000202,PO-0012873,LANE-014277,Pacific Rim Shipping,2025-06-17,,2025-06-23,200,Delivered
SHP-0000203,PO-0003940,LANE-010040,EuroFreight Express,2024-02-08,2024-02-20,2024-02-19,800,Delivered
SHP-0000204,PO-0026585,LANE-009546,Atlas Intermodal,2024-06-21,2024-06-23,,300,Delayed
SHP-0000205,PO-0000172,LANE-007526,Pacific Rim Shipping,2025-01-01,2025-01-26,2025-01-27,50,Delivered
SHP-0000206,PO-0020966,LANE-005913,Continental Cargo,2024-05-05,2024-05-07,2024-05-06,50,Delivered
SHP-0000207,PO-0015615,LANE-016902,BlueLine Transport,2025-03-09,2025-03-14,2025-03-13,1200,Delivered
SHP-0000208,PO-0007382,LANE-002591,Ironhide Trucking,2026-01-08,2026-01-27,,100,Delayed
SHP-0000209,PO-0022926,LANE-008646,Continental Cargo,2024-12-07,2024-12-10,,500,In Transit
SHP-0000210,PO-0008030,LANE-016637,BlueLine Transport,2024-05-19,2024-05-22,2024-05-25,50,Delivered
SHP-0000211,PO-0026587,LANE-008824,TransGlobal Freight,2026-06-23,2026-07-13,2026-07-15,1200,Delivered
SHP-0000212,PO-0008051,LANE-001735,Atlas Intermodal,2026-03-27,2026-04-21,2026-04-18,300,Delivered
SHP-0000213,PO-0025755,LANE-003848,TransGlobal Freight,2024-09-08,2024-10-05,2024-10-08,800,Delivered
SHP-0000214,PO-0018945,LANE-008348,BlueLine Transport,2025-10-04,2025-10-30,2025-11-01,500,Delivered
SHP-0000215,PO-0024521,LANE-011103,Ironhide Trucking,2026-03-14,2026-03-19,2026-03-16,800,Delivered
SHP-0000216,PO-0009384,LANE-006789,BlueLine Transport,2026-06-27,2026-07-24,,300,Delayed
SHP-0000217,PO-0020182,LANE-004367,EuroFreight Express,2025-11-27,2025-12-27,2025-12-24,100,Delivered
SHP-0000218,PO-0021955,LANE-012051,TransGlobal Freight,2025-04-05,2025-04-07,2025-04-05,100,Delivered
SHP-0000219,PO-0005523,LANE-002162,Continental Cargo,2024-12-23,2024-12-24,2024-12-22,200,Delivered
SHP-0000220,PO-0021494,LANE-015333,Ironhide Trucking,2024-09-10,2024-09-12,2024-09-13,500,Delivered
SHP-0000221,PO-0011424,LANE-006202,TransGlobal Freight,2025-09-28,2025-10-12,2025-10-15,800,Delivered
SHP-0000222,PO-0022576,LANE-010410,Pacific Rim Shipping,2026-08-08,2026-08-11,2026-08-09,50,Delivered
SHP-0000223,PO-0011498,LANE-002774,EuroFreight Express,2025-12-20,2025-12-26,2025-12-29,200,Delivered
SHP-0000224,PO-0008155,LANE-013487,Pacific Rim Shipping,2026-02-12,2026-02-22,2026-02-24,200,Delivered
SHP-0000225,PO-0017323,LANE-006957,Continental Cargo,2025-10-29,,2025-12-02,50,Delivered
SHP-0000226,PO-0012787,LANE-011310,EuroFreight Express,2025-12-11,2025-12-15,2025-12-17,1200,Delivered
SHP-0000227,PO-0023601,LANE-001192,Continental Cargo,2024-07-15,2024-07-27,2024-07-26,200,Delivered
SHP-0000228,PO-0023769,LANE-001987,BlueLine Transport,2024-10-20,2024-10-24,,500,Delayed
SHP-0000229,PO-0008699,LANE-000625,TransGlobal Freight,2025-02-03,2025-02-14,2025-02-15,200,Delivered
SHP-0000230,PO-0011174,LANE-005223,,2024-08-28,2024-09-01,,200,Delayed
SHP-0000231,PO-0009614,LANE-007612,TransGlobal Freight,2026-05-09,2026-06-13,2026-06-10,800,Delivered
SHP-0000232,PO-0020026,LANE-013474,EuroFreight Express,2026-06-23,2026-06-28,2026-06-26,300,Delivered
SHP-0000233,PO-0007962,LANE-013333,EuroFreight Express,2025-08-14,2025-09-13,2025-09-11,50,Delivered
SHP-0000234,PO-0017485,LANE-010498,BlueLine Transport,2026-07-20,2026-08-02,2026-08-02,100,Delivered
SHP-0000235,PO-0003063,LANE-004014,Meridian Logistics,2024-10-19,2024-10-24,2024-10-22,50,Delivered
SHP-0000236,PO-0004991,LANE-009533,Meridian Logistics,2024-01-20,2024-01-22,,200,In Transit
SHP-0000237,PO-0022263,LANE-002603,Pacific Rim Shipping,2024-08-15,2024-08-16,,50,In Transit
SHP-0000238,PO-0018140,LANE-016834,Meridian Logistics,2025-10-10,2025-10-16,,500,In Transit
SHP-0000239,PO-0008825,LANE-015233,TransGlobal Freight,2026-06-19,2026-07-13,,1200,In Transit
SHP-0000240,PO-0016970,LANE-005072,Pacific Rim Shipping,2025-11-04,2025-11-15,2025-11-18,500,Delivered
SHP-0000241,PO-0018711,LANE-011312,Ironhide Trucking,2026-01-17,2026-01-22,2026-01-20,500,Delivered
SHP-0000242,PO-0025123,LANE-008510,Atlas Intermodal,2025-05-21,2025-06-02,2025-05-30,1200,Delivered
