substitution_id,original_part_id,substitute_part_id,compatibility_scope,approval_status,approval_date,limited_compatibility_flag,compatibility_notes
SUB-000039,HY-522,HY-797,Planter,Approved,2023-10-10,False,
SUB-000040,HY-522,HY-1015,Baler,Approved,2023-01-28,False,
SUB-000041,FL-739,FL-934,Harvester,Approved with Limited Compatibility,2024-02-24,True,
SUB-000042,FT-755,FT-1118,Combine,Approved,2024-10-22,False,
SUB-000043,TR-1010,TR-1325,Planter,Approved,2024-06-22,False,
SUB-000044,TR-1010,TR-932,All Platforms,Rejected,2025-03-22,False,
SUB-000045,TR-1010,TR-944,Planter,Rejected,2023-10-22,False,
SUB-000046,TR-1010,TR-1034,Combine,Approved with Limited Compatibility,2025-07-28,True,
SUB-000047,EC-924,EC-458,Planter,Approved with Limited Compatibility,2025-05-08,True,
SUB-000048,EC-924,EC-936,Tillage,Pending,2023-04-12,False,
SUB-000049,SC-257,SC-906,Tillage,Approved,2024-06-18,False,
SUB-000050,SC-257,SC-962,All Platforms,Approved,2024-03-30,False,
SUB-000051,SC-257,SC-398,Planter,Pending,2024-12-10,False,
SUB-000052,SC-257,SC-170,All Platforms,Approved with Limited Compatibility,2024-08-09,True,
SUB-000053,ST-902,ST-621,Planter,Approved,2025-01-15,False,
SUB-000054,SC-1028,SC-656,Baler,Rejected,2024-05-22,False,
SUB-000055,SC-1028,SC-804,Combine,Approved,2025-09-01,False,
SUB-000056,SC-1028,SC-538,Sprayer,Approved,2023-03-27,False,
SUB-000057,FL-362,FL-814,Tillage,Approved,2023-10-28,False,
SUB-000058,FL-362,FL-991,Sprayer,Pending,2024-02-13,False,
SUB-000059,FL-362,FL-872,Tillage,Approved with Limited Compatibility,2025-02-16,True,
SUB-000060,FL-362,FL-523,Tillage,Approved with Limited Compatibility,2025-04-17,True,
SUB-000061,CH-153,CH-947,Tractor,Approved,2025-02-17,False,
SUB-000062,CH-153,CH-730,Sprayer,Approved,2023-03-23,False,
SUB-000063,CH-153,CH-509,Sprayer,Approved,2024-02-05,False,
SUB-000064,EC-273,EC-918,Harvester,Approved,2024-12-17,False,
SUB-000065,EC-273,EC-1198,Harvester,Rejected,2023-12-08,False,
SUB-000066,EC-273,EC-382,Combine,Approved,2023-10-21,False,
SUB-000067,FL-971,FL-1176,Harvester,Approved,2023-12-06,False,
SUB-000068,FL-971,FL-840,Tractor,Approved,2023-04-29,False,
SUB-000069,EL-678,EL-873,Combine,Approved,2025-08-01,False,
SUB-000070,EL-678,EL-967,All Platforms,Approved with Limited Compatibility,2023-05-03,True,
SUB-000071,EL-678,EL-378,Baler,Approved,2025-06-04,False,
SUB-000072,FT-938,FT-615,Combine,Approved,2025-07-17,False,
SUB-000073,FT-938,FT-444,All Platforms,Approved,2024-08-21,False,
SUB-000074,FT-938,FT-344,Combine,Approved,2023-10-06,False,
SUB-000075,SC-909,SC-318,Planter,Rejected,2025-03-12,False,
SUB-000076,TR-1335,TR-859,Planter,Pending,2024-05-09,False,
SUB-000077,TR-1335,TR-557,All Platforms,Approved with Limited Compatibility,2024-09-16,True,
SUB-000078,ST-1038,ST-392,All Platforms,Approved with Limited Compatibility,2024-08-06,True,
SUB-000079,FL-1277,FL-860,All Platforms,Approved with Limited Compatibility,2024-01-14,True,
SUB-000080,FL-1277,FL-1056,Tractor,Approved,2023-12-16,False,
SUB-000081,FL-1277,FL-999,Harvester,Pending,2023-07-05,False,
SUB-000082,EL-955,EL-521,Tractor,Approved,2025-07-03,False,
SUB-000083,EL-955,EL-982,Combine,Rejected,2024-11-15,False,
SUB-000084,CH-719,CH-599,Tractor,Pending,2023-10-12,False,
SUB-000085,CH-719,CH-199,Sprayer,Approved with Limited Compatibility,2024-10-21,True,
SUB-000086,EC-471,EC-790,Harvester,Approved,2025-03-10,False,
SUB-000087,EC-471,EC-1060,Baler,Approved,2025-05-17,False,
SUB-000088,EC-471,EC-1017,Tillage,Approved with Limited Compatibility,2024-08-03,True,
SUB-000089,EN-217,EN-524,All Platforms,Approved with Limited Compatibility,2023-10-25,True,
SUB-000090,EN-217,EN-279,Sprayer,Approved,2024-07-26,False,
SUB-000091,FL-1212,FL-1173,Tractor,Approved with Limited Compatibility,2025-06-22,True,
SUB-000092,FL-1212,FL-1174,Harvester,Pending,2023-10-22,False,
SUB-000093,ST-255,ST-854,Planter,Approved,2023-01-22,False,
SUB-000094,ST-418,ST-235,Harvester,Pending,2024-05-03,False,
SUB-000095,ST-418,ST-800,Harvester,Approved,2025-04-21,False,
SUB-000096,EC-1202,EC-1302,Baler,Approved with Limited Compatibility,2024-09-28,True,
SUB-000097,EC-1202,EC-265,Tractor,Approved,2025-04-17,False,
SUB-000098,EC-1202,EC-1277,Planter,Approved,2023-12-04,False,
SUB-000099,EC-1202,EC-1128,Tractor,Rejected,2025-04-04,False,
SUB-000100,CB-848,CB-558,Sprayer,Approved with Limited Compatibility,2023-12-29,True,
SUB-000101,CB-848,CB-1316,All Platforms,Approved,2024-06-20,False,
SUB-000102,EL-269,EL-1120,Tillage,Approved,2024-02-08,False,
SUB-000103,BR-151,BR-586,Sprayer,Approved,2024-09-22,False,
SUB-000104,BR-151,BR-830,Baler,Approved,2025-07-27,False,
SUB-000105,BR-151,BR-767,Planter,Pending,2023-07-18,False,
SUB-000106,TR-614,TR-629,Tractor,Approved,2023-03-13,False,
SUB-000107,TR-614,TR-941,Tractor,Approved with Limited Compatibility,2024-10-25,True,
SUB-000108,CH-609,CH-475,Sprayer,Approved with Limited Compatibility,2024-04-15,True,
SUB-000109,CH-609,CH-708,Planter,Rejected,2023-08-03,False,
SUB-000110,EN-684,EN-1131,Sprayer,Approved,2023-09-15,False,
SUB-000111,EN-684,EN-288,Tillage,Approved,2024-05-21,False,
SUB-000112,SC-259,SC-970,Harvester,Approved,2023-10-01,False,
SUB-000113,SC-259,SC-416,Sprayer,Approved,2025-01-02,False,
SUB-000114,SC-259,SC-397,Harvester,Approved,2024-01-19,False,
SUB-000115,CB-1149,CB-901,Tractor,Rejected,2025-04-17,False,
SUB-000116,FL-718,FL-426,Harvester,Approved with Limited Compatibility,2023-04-06,True,
SUB-000117,CB-567,CB-200,Combine,Approved with Limited Compatibility,2024-05-18,True,
SUB-000118,HY-1196,HY-905,Planter,Approved,2023-11-30,False,
SUB-000119,HY-1196,HY-478,All Platforms,Approved with Limited Compatibility,2023-01-20,True,
SUB-000120,TR-568,TR-1151,Combine,Approved,2024-02-24,False,
SUB-000121,TR-568,TR-207,Tractor,Approved,2024-01-02,False,
SUB-000122,TR-568,TR-1010,Combine,Approved,2024-02-02,False,
SUB-000123,TR-568,TR-826,All Platforms,Approved with Limited Compatibility,2024-07-26,True,
SUB-000124,EN-536,EN-256,Planter,Approved,2025-07-07,False,
SUB-000125,EN-536,EN-220,Baler,Approved with Limited Compatibility,2025-05-19,True,
SUB-000126,EN-536,EN-845,Harvester,Rejected,2024-07-27,False,
SUB-000127,HY-487,HY-844,Combine,Approved with Limited Compatibility,2023-07-10,True,
SUB-000128,SC-486,SC-420,Tractor,Pending,2023-08-06,False,
SUB-000129,SC-486,SC-1050,Harvester,Approved,2025-05-09,False,
SUB-000130,CH-556,CH-506,Tillage,Approved,2024-07-28,False,
SUB-000131,CH-556,CH-168,Tractor,Pending,2024-04-24,False,
SUB-000132,FL-1009,FL-330,Tractor,Approved,2023-07-16,False,
SUB-000133,FT-363,FT-1053,Combine,Approved,2023-08-19,False,
SUB-000134,FT-363,FT-1184,Harvester,Approved,2025-04-07,False,
SUB-000135,FT-363,FT-1149,Baler,Approved with Limited Compatibility,2024-07-25,True,
SUB-000136,HY-538,HY-952,All Platforms,Approved,2024-11-28,False,
SUB-000137,BR-1328,BR-1011,Sprayer,Approved,2023-11-14,False,
SUB-000138,ST-970,ST-452,Harvester,Approved with Limited Compatibility,2024-06-29,True,
SUB-000139,ST-970,ST-615,Baler,Approved,2025-08-04,False,
SUB-000140,ST-970,ST-1041,Tractor,Rejected,2025-01-31,False,
SUB-000141,EL-486,EL-737,Sprayer,Rejected,2025-06-18,False,
SUB-000142,EL-486,EL-1262,Sprayer,Pending,2023-10-25,False,
SUB-000143,EL-486,EL-1317,Planter,Approved with Limited Compatibility,2023-02-10,True,
SUB-000144,BR-1204,BR-1104,Harvester,Approved,2023-12-23,False,
SUB-000145,BR-1204,BR-1158,Tillage,Approved,2023-11-11,False,
SUB-000146,BR-1204,BR-1236,Harvester,Approved,2024-03-14,False,
SUB-000147,BR-1204,BR-478,Sprayer,Approved with Limited Compatibility,2024-11-14,True,
SUB-000148,CB-948,CB-336,All Platforms,Approved with Limited Compatibility,2023-11-12,True,
SUB-000149,CB-1239,CB-627,Tillage,Pending,2024-11-09,False,
SUB-000150,CB-1239,CB-1047,Tractor,Approved with Limited Compatibility,2023-11-11,True,
SUB-000151,CB-1239,CB-482,Planter,Approved,2023-02-25,False,
SUB-000152,CB-1239,CB-1124,Baler,Approved,2025-06-30,False,
SUB-000153,EN-311,EN-508,Tillage,Approved,2023-03-08,False,
SUB-000154,EN-311,EN-890,Tillage,Approved with Limited Compatibility,2023-02-05,True,
SUB-000155,EN-311,EN-180,Sprayer,Approved,2025-08-09,False,
SUB-000156,EN-311,EN-1205,Harvester,Approved,2023-07-21,False,
SUB-000157,SC-447,SC-838,Tillage,Approved,2023-01-27,False,
SUB-000158,SC-447,SC-1160,Planter,Approved with Limited Compatibility,2023-06-15,True,
SUB-000159,SC-699,SC-189,Combine,Approved with Limited Compatibility,2023-02-18,True,
SUB-000160,FT-1087,FT-832,Combine,Rejected,2024-07-05,False,
SUB-000161,HY-659,HY-808,All Platforms,Approved with Limited Compatibility,2025-08-21,True,
SUB-000162,CB-1141,CB-754,All Platforms,Approved,2023-03-02,False,
SUB-000163,CB-1141,CB-389,Harvester,Pending,2025-04-02,False,
SUB-000164,EC-456,EC-594,Tractor,Approved,2025-02-22,False,
SUB-000165,EC-456,EC-1286,Planter,Approved,2023-03-03,False,
SUB-000166,FL-558,FL-499,Tillage,Approved,2024-01-17,False,
SUB-000167,FL-558,FL-813,Sprayer,Approved,2023-11-18,False,
SUB-000168,FL-558,FL-402,Tillage,Approved,2025-03-18,False,
SUB-000169,EL-1076,EL-971,Baler,Approved,2024-03-24,False,
SUB-000170,EL-1076,EL-1236,Baler,Pending,2023-07-23,False,
SUB-000171,EL-1076,EL-381,Tractor,Approved,2024-01-07,False,
SUB-000172,EC-956,EC-931,Combine,Approved with Limited Compatibility,2024-11-08,True,
SUB-000173,EC-956,EC-190,Tillage,Approved,2024-06-18,False,
SUB-000174,BR-561,BR-147,Tractor,Approved,2024-12-08,False,
SUB-000175,BR-561,BR-260,Planter,Pending,2024-02-29,False,
SUB-000176,BR-561,BR-857,Sprayer,Approved,2024-12-20,False,
SUB-000177,SC-1023,SC-587,Planter,Approved with Limited Compatibility,2023-10-11,True,
SUB-000178,SC-1023,SC-498,Combine,Approved,2024-04-10,False,
SUB-000179,SC-1023,SC-825,Harvester,Approved,2023-09-02,False,
SUB-000180,SC-1023,SC-953,Baler,Approved,2023-11-08,False,
SUB-000181,FL-679,FL-1162,Baler,Approved with Limited Compatibility,2024-12-18,True,
SUB-000182,FL-679,FL-566,Sprayer,Approved,2023-12-27,False,
SUB-000183,FL-679,FL-444,Combine,Approved,2024-09-08,False,
SUB-000184,FL-679,FL-466,Harvester,Approved,2023-11-18,False,
SUB-000185,TR-970,TR-808,Combine,Approved,2025-07-13,False,
SUB-000186,TR-722,TR-575,Combine,Pending,2023-03-03,False,
SUB-000187,TR-722,TR-865,Tillage,Approved with Limited Compatibility,2024-05-15,True,
SUB-000188,EC-563,EC-584,Planter,Pending,2023-05-23,False,
SUB-000189,CB-133,CB-733,Tractor,Approved,2023-07-18,False,
SUB-000190,BR-1220,BR-404,Baler,Rejected,2025-06-09,False,
SUB-000191,FT-1048,FT-1103,Planter,Pending,2023-07-22,False,
SUB-000192,FT-1048,FT-1008,All Platforms,Approved,2024-11-14,False,
SUB-000193,HY-1291,HY-373,Planter,Approved with Limited Compatibility,2024-10-12,True,
SUB-000194,EL-734,EL-1181,Combine,Approved,2024-02-10,False,
SUB-000195,TR-1020,TR-982,Combine,Approved,2025-08-06,False,
SUB-000196,TR-1020,TR-1030,Combine,Approved,2024-10-19,False,
SUB-000197,TR-1020,TR-1114,Sprayer,Approved,2024-05-13,False,
SUB-000198,TR-249,TR-1080,Harvester,Approved,2024-07-08,False,
SUB-000199,TR-249,TR-583,Tractor,Approved,2023-10-18,False,
SUB-000200,TR-249,TR-1250,All Platforms,Pending,2025-04-17,False,
SUB-000201,TR-249,TR-639,All Platforms,Approved with Limited Compatibility,2023-02-15,True,
SUB-000202,TR-719,TR-994,Planter,Pending,2024-04-26,False,
SUB-000203,SC-625,SC-1131,All Platforms,Approved,2025-09-14,False,
SUB-000204,BR-1234,BR-936,Combine,Rejected,2024-03-30,False,
SUB-000205,CH-1208,CH-977,Tillage,Approved,2023-08-16,False,
SUB-000206,CH-1208,CH-150,Combine,Approved,2025-08-18,False,
SUB-000207,BR-177,BR-1024,Planter,Approved,2023-11-08,False,
SUB-000208,BR-177,BR-1214,Sprayer,Approved,2024-12-27,False,
SUB-000209,BR-177,BR-150,Tillage,Pending,2023-03-22,False,
SUB-000210,SC-456,SC-1291,Harvester,Approved with Limited Compatibility,2023-12-09,True,
SUB-000211,SC-456,SC-860,Harvester,Rejected,2023-10-18,False,
SUB-000212,EC-707,EC-834,Planter,Approved,2024-01-10,False,
SUB-000213,EC-707,EC-173,Sprayer,Approved,2025-03-18,False,
SUB-000214,CH-523,CH-882,Harvester,Approved with Limited Compatibility,2023-08-15,True,
SUB-000215,CH-523,CH-249,Planter,Pending,2025-07-10,False,
SUB-000216,CH-523,CH-758,Tractor,Approved,2024-11-02,False,
SUB-000217,CH-1287,CH-975,Baler,Approved,2025-05-24,False,
SUB-000218,CH-1287,CH-605,Tillage,Approved,2023-05-17,False,
SUB-000219,SC-181,SC-1163,Tillage,Approved,2025-08-17,False,
SUB-000220,SC-181,SC-433,Harvester,Approved with Limited Compatibility,2025-09-19,True,
SUB-000221,SC-181,SC-198,All Platforms,Approved with Limited Compatibility,2024-12-03,True,
SUB-000222,EN-998,EN-1300,All Platforms,Approved with Limited Compatibility,2024-07-03,True,
SUB-000223,CH-724,CH-944,Combine,Approved,2025-09-10,False,
SUB-000224,CH-724,CH-193,Combine,Approved with Limited Compatibility,2023-01-21,True,
SUB-000225,CH-724,CH-757,Combine,Approved with Limited Compatibility,2023-02-07,True,
SUB-000226,BR-670,BR-487,Tractor,Approved,2025-05-05,False,
SUB-000227,HY-754,HY-468,Sprayer,Pending,2023-03-06,False,
SUB-000228,EN-563,EN-290,Combine,Rejected,2024-10-28,False,
SUB-000229,EN-563,EN-1180,Harvester,Approved with Limited Compatibility,2024-01-24,True,
SUB-000230,EN-563,EN-894,Tillage,Pending,2025-08-27,False,
SUB-000231,EN-563,EN-975,Harvester,Approved,2023-05-28,False,
SUB-000232,EN-548,EN-330,Baler,Approved,2025-05-09,False,
SUB-000233,EN-548,EN-1023,Sprayer,Rejected,2025-01-22,False,
SUB-000234,EN-548,EN-1157,Combine,Approved,2024-12-24,False,
SUB-000235,SC-572,SC-506,Baler,Approved,2024-10-29,False,
SUB-000236,SC-572,SC-683,All Platforms,Rejected,2023-10-06,False,
SUB-000237,EN-1202,EN-254,Tillage,Approved,2024-06-12,False,
SUB-000238,FT-695,FT-1174,Sprayer,Approved,2025-02-03,False,
SUB-000239,FT-695,FT-442,All Platforms,Approved,2025-02-08,False,
SUB-000240,TR-177,TR-950,Combine,Rejected,2024-10-13,False,
SUB-000241,TR-177,TR-354,Sprayer,Approved,2023-10-21,False,
SUB-000242,TR-177,TR-106,Combine,Approved with Limited Compatibility,2024-01-25,True,
SUB-000243,TR-177,TR-415,Tillage,Approved,2023-11-04,False,
SUB-000244,ST-1178,ST-1047,Baler,Approved with Limited Compatibility,2024-05-02,True,
SUB-000245,HY-1175,HY-207,Planter,Approved,2023-03-18,False,
SUB-000246,HY-1175,HY-787,Tractor,Approved,2025-01-24,False,
SUB-000247,SC-481,SC-547,Planter,Approved,2024-05-05,False,
SUB-000248,FL-267,FL-1285,Baler,Approved,2024-05-29,False,
SUB-000249,TR-283,TR-1266,Harvester,Approved,2025-04-26,False,
SUB-000250,TR-283,TR-1087,Sprayer,Pending,2024-07-28,False,
SUB-000251,EC-279,EC-423,Harvester,Approved,2023-03-30,False,
SUB-000252,CB-1313,CB-749,Combine,Pending,2024-03-09,False,
SUB-000253,CB-1313,CB-869,Tractor,Rejected,2023-12-19,False,
SUB-000254,CB-1313,CB-638,Tillage,Approved with Limited Compatibility,2025-02-17,True,
SUB-000255,ST-108,ST-305,All Platforms,Approved,2023-07-13,False,
SUB-000256,CB-1195,CB-762,Baler,Approved,2025-08-31,False,
SUB-000257,EN-1311,EN-653,Tractor,Pending,,False,
SUB-000258,EN-1311,EN-489,Combine,Approved with Limited Compatibility,2025-02-18,True,
SUB-000259,EN-1311,EN-640,Combine,Rejected,2024-12-23,False,
SUB-000260,EN-1311,EN-688,All Platforms,Approved,2025-09-23,False,
SUB-000261,ST-1231,ST-473,Baler,Pending,2023-09-06,False,
SUB-000262,ST-1231,ST-1171,Harvester,Pending,2024-08-02,False,
SUB-000263,ST-198,ST-1314,Baler,Approved,2023-05-13,False,
SUB-000264,ST-198,ST-668,Sprayer,Approved,2023-05-21,False,
SUB-000265,ST-198,ST-1152,Planter,Rejected,2025-06-07,False,
SUB-000266,ST-423,ST-807,Combine,Approved,,False,
SUB-000267,CB-649,CB-793,Tillage,Approved with Limited Compatibility,2024-10-18,True,
SUB-000268,CB-649,CB-692,Tractor,Approved,2024-08-20,False,
SUB-000269,CB-649,CB-300,Baler,Pending,2025-01-29,False,
SUB-000270,CB-649,CB-301,Tractor,Approved,2024-05-20,False,
SUB-000271,FT-1158,FT-1070,All Platforms,Approved,2023-08-07,False,
SUB-000272,FT-1158,FT-148,Harvester,Approved with Limited Compatibility,2024-04-30,True,
SUB-000273,FT-1158,FT-1298,Harvester,Approved,2024-06-17,False,
SUB-000274,FT-1158,FT-427,Tillage,Pending,2025-03-21,False,
SUB-000275,FL-1040,FL-841,Tractor,Approved,2024-10-14,False,
SUB-000276,FL-1040,FL-786,Combine,Pending,2023-02-25,False,
SUB-000277,FL-1040,FL-1133,Baler,Approved,2024-07-02,False,
SUB-000278,BR-494,BR-612,All Platforms,Approved,2025-02-16,False,
SUB-000279,BR-494,BR-291,Combine,Approved,2023-07-15,False,
SUB-000280,BR-494,BR-1022,Combine,Approved,2023-06-10,False,
SUB-000281,BR-494,BR-1286,Combine,Approved,2025-04-26,False,
SUB-000282,SC-135,SC-790,Tillage,Approved,2024-07-31,False,
SUB-000283,SC-135,SC-1046,Combine,Approved with Limited Compatibility,2023-01-11,True,
SUB-000284,SC-135,SC-193,Tractor,Pending,2024-06-24,False,
SUB-000285,SC-135,SC-431,All Platforms,Pending,2025-01-25,False,
SUB-000286,EC-1066,EC-1250,Tillage,Approved,2025-09-02,False,
SUB-000287,EC-1066,EC-435,Sprayer,Approved with Limited Compatibility,2023-04-23,True,
SUB-000288,EC-1066,EC-1341,Harvester,Approved with Limited Compatibility,2024-04-28,True,
SUB-000289,CH-274,CH-1062,Combine,Pending,2023-07-01,False,
SUB-000290,FT-861,FT-854,All Platforms,Approved,,False,
SUB-000291,HY-734,HY-111,All Platforms,Rejected,2024-10-02,False,
SUB-000292,HY-734,HY-551,Tillage,Rejected,2024-03-24,False,
SUB-000293,HY-734,HY-1338,All Platforms,Approved,2023-03-28,False,
SUB-000294,HY-734,HY-147,Planter,Approved,2024-04-29,False,
SUB-000295,EC-533,EC-1104,Tractor,Approved,2025-02-15,False,
SUB-000296,BR-147,BR-1044,Planter,Pending,2023-03-23,False,
SUB-000297,BR-147,BR-800,All Platforms,Approved,2023-09-01,False,
SUB-000298,EC-1262,EC-1041,Planter,Approved,2023-10-26,False,
SUB-000299,EC-1262,EC-351,Planter,Pending,2024-03-22,False,
SUB-000300,EC-1262,EC-843,Tillage,Approved,2023-10-16,False,
SUB-000301,EC-1262,EC-396,Planter,Pending,2023-12-01,False,
SUB-000302,CH-613,CH-317,Sprayer,Approved,2023-06-19,False,
SUB-000303,CH-613,CH-806,Sprayer,Approved,2025-04-21,False,
SUB-000304,CH-613,CH-1000,Harvester,Pending,2023-12-13,False,
SUB-000305,CH-613,CH-1063,Tractor,Approved with Limited Compatibility,2023-08-06,True,
SUB-000306,SC-1281,SC-1193,Combine,Approved,2024-07-25,False,
SUB-000307,CB-729,CB-604,Tractor,Approved,2023-08-17,False,
SUB-000308,CB-626,CB-1086,Sprayer,Approved,2024-07-07,False,
SUB-000309,FT-1276,FT-635,Sprayer,Approved with Limited Compatibility,2024-02-12,True,
SUB-000310,FT-1276,FT-1073,Combine,Approved,2024-12-01,False,
SUB-000311,FT-1276,FT-1167,Tractor,Pending,2023-06-20,False,
SUB-000312,TR-1063,TR-303,Tillage,Approved,2024-11-06,False,
SUB-000313,TR-1063,TR-221,Harvester,Rejected,2023-09-06,False,
SUB-000314,HY-1058,HY-777,Combine,Approved,2025-07-17,False,
SUB-000315,HY-1058,HY-447,Tractor,Approved with Limited Compatibility,2024-02-08,True,
SUB-000316,HY-1058,HY-975,Baler,Approved,2023-03-18,False,
SUB-000317,FT-980,FT-528,All Platforms,Approved with Limited Compatibility,2023-04-19,True,
SUB-000318,FL-1151,FL-797,Sprayer,Approved,2023-03-11,False,
SUB-000319,FL-1151,FL-1075,Harvester,Approved with Limited Compatibility,2024-12-15,True,
SUB-000320,SC-995,SC-259,Sprayer,Approved with Limited Compatibility,2025-07-19,True,
SUB-000321,SC-995,SC-618,Tillage,Pending,2023-10-29,False,
SUB-000322,SC-995,SC-302,Harvester,Approved,2024-07-24,False,
SUB-000323,FT-235,FT-1127,Sprayer,Approved,2024-09-03,False,
SUB-000324,FT-235,FT-132,Tractor,Rejected,2024-09-07,False,
SUB-000325,FT-235,FT-1132,Baler,Pending,2024-09-02,False,
SUB-000326,HY-783,HY-319,Tillage,Approved,2025-09-12,False,
SUB-000327,HY-783,HY-302,Planter,Approved,2024-11-03,False,
SUB-000328,EC-118,EC-851,Tillage,Rejected,2024-01-01,False,
SUB-000329,EN-916,EN-1227,Combine,Approved,,False,
SUB-000330,EN-916,EN-1216,Planter,Approved with Limited Compatibility,2025-05-07,True,
SUB-000331,HY-923,HY-1191,All Platforms,Approved,,False,
SUB-000332,TR-129,TR-1198,Combine,Pending,2025-01-29,False,
SUB-000333,TR-129,TR-1259,Combine,Approved,2025-08-02,False,
SUB-000334,EN-931,EN-1242,All Platforms,Approved,2023-10-31,False,
SUB-000335,SC-1009,SC-1069,Tillage,Approved,2025-01-13,False,
SUB-000336,SC-1009,SC-375,Tillage,Approved,2023-09-03,False,
SUB-000337,HY-1150,HY-957,Sprayer,Approved,2024-05-20,False,
SUB-000338,HY-1150,HY-888,Tractor,Approved with Limited Compatibility,2023-10-25,True,
SUB-000339,EN-388,EN-431,Combine,Approved,2024-11-01,False,
SUB-000340,EN-388,EN-1188,Tractor,Approved,2025-03-09,False,
SUB-000341,EN-388,EN-535,Tractor,Pending,2024-02-24,False,
SUB-000342,CB-574,CB-677,Tractor,Approved,2023-05-27,False,
SUB-000343,CB-574,CB-736,Combine,Approved,2024-12-07,False,
SUB-000344,EC-889,EC-352,Harvester,Approved with Limited Compatibility,2023-08-19,True,
SUB-000345,EC-430,EC-994,Planter,Approved,2023-10-09,False,
SUB-000346,EC-430,EC-1006,Combine,Approved,2023-04-05,False,
SUB-000347,EC-430,EC-208,All Platforms,Approved with Limited Compatibility,2023-12-04,True,
SUB-000348,TR-384,TR-405,Planter,Pending,2024-05-20,False,
SUB-000349,EL-809,EL-1058,Harvester,Approved,,False,
SUB-000350,CB-1304,CB-610,Planter,Approved,2025-03-09,False,
SUB-000351,EN-841,EN-1028,Tractor,Approved,2025-09-01,False,
SUB-000352,EN-841,EN-1208,Planter,Approved,,False,
SUB-000353,EN-841,EN-1135,All Platforms,Approved,2024-01-04,False,
SUB-000354,BR-414,BR-792,Harvester,Pending,2023-04-05,False,
SUB-000355,EC-636,EC-739,Harvester,Approved with Limited Compatibility,2023-07-06,True,
SUB-000356,EC-636,EC-405,Tillage,Approved,2024-08-10,False,
SUB-000357,EC-636,EC-939,All Platforms,Pending,2024-06-20,False,
SUB-000358,EC-636,EC-583,Tillage,Approved,2024-04-11,False,
SUB-000359,EN-264,EN-770,Harvester,Approved,2025-02-15,False,
SUB-000360,EN-264,EN-201,Harvester,Approved with Limited Compatibility,2024-08-31,True,
SUB-000361,EN-264,EN-1334,Baler,Approved with Limited Compatibility,2023-02-06,True,
