lane_id,origin_country,destination_plant_id,mode,period,avg_lead_time_days,risk_score,cost_index
LANE-010097,Turkey,P10,Truck,2026-09,6,Medium,1.44
LANE-002122,Germany,P5,Truck,2025-10,2,Low,
LANE-015987,Thailand,P12,Air,2026-03,3,Low,3.83
LANE-000155,United States,P3,Ocean,2025-01,21,Medium,
LANE-008310,South Korea,P11,Truck,2026-04,5,Low,1.44
LANE-006133,Brazil,P8,Ocean,2026-05,27,Low,0.85
LANE-011963,Canada,P9,Air,2026-05,3,Medium,
LANE-000766,United States,P11,Truck,2026-06,1,Medium,1.51
LANE-014903,Czech Republic,P11,Truck,2025-09,5,Medium,
LANE-015783,Thailand,P10,Rail,2025-09,11,High,1.16
LANE-004902,Poland,P5,Truck,2026-06,4,High,0.81
LANE-014139,Czech Republic,P1,Ocean,2026-03,27,Low,0.55
LANE-012177,Canada,P12,Rail,2025-11,12,Low,0.88
LANE-008429,South Korea,P12,Ocean,2025-03,28,Low,0.72
LANE-003501,China,P11,Truck,2025-03,5,Medium,1.58
LANE-002861,China,P3,Truck,2025-01,4,High,0.9
LANE-011559,Canada,P5,Truck,2025-09,4,High,1.19
LANE-004655,Poland,P2,Rail,2026-01,9,Low,1.08
LANE-005588,Brazil,P1,Air,2026-10,3,Medium,2.31
LANE-002943,China,P3,Air,2026-05,2,High,3.72
LANE-007133,Japan,P8,Ocean,2025-05,23,Low,0.75
LANE-014933,Czech Republic,P11,Rail,2026-05,9,Low,0.72
LANE-000831,United States,P12,Rail,2026-05,12,Low,0.69
LANE-006468,Brazil,P12,Ocean,2026-10,24,Low,0.67
LANE-015357,Thailand,P5,Rail,2025-01,13,Low,0.86
LANE-014748,Czech Republic,P9,Rail,2025-08,13,Low,1.26
LANE-011520,Canada,P4,Ocean,2026-02,27,Low,0.65
LANE-012243,France,P1,Truck,2025-11,4,Medium,0.97
LANE-001920,Germany,P2,Truck,2025-06,6,Low,1.48
LANE-015192,Thailand,P3,Truck,2025-12,3,Low,1.52
LANE-008532,Italy,P1,Ocean,2026-06,23,High,0.58
LANE-012497,France,P4,Rail,2025-01,8,Low,1.05
LANE-006378,Brazil,P11,Rail,2026-08,11,Low,0.82
LANE-012579,France,P5,Rail,2026-05,14,Medium,1.01
LANE-000362,United States,P6,Truck,2025-10,4,Low,0.94
LANE-003560,China,P11,Ocean,2026-06,27,Low,0.82
LANE-002327,Germany,P8,Truck,2026-05,4,Medium,0.93
LANE-015061,Thailand,P1,Truck,2026-01,5,Medium,1.09
LANE-001329,Mexico,P6,Air,2025-09,3,Low,3.29
LANE-002113,Germany,P5,Truck,2025-01,2,Low,1.38
LANE-000961,Mexico,P2,Truck,2026-03,5,High,0.82
LANE-014521,Czech Republic,P6,Ocean,2025-01,22,Medium,0.65
LANE-005177,Poland,P8,Ocean,2025-07,23,Low,0.66
LANE-007373,Japan,P11,Ocean,2025-03,32,Low,0.52
LANE-004213,India,P8,Rail,2025-11,12,Medium,0.94
LANE-001640,Mexico,P10,Ocean,2025-12,29,Low,0.51
LANE-002222,Germany,P6,Rail,2026-10,11,Low,0.84
LANE-009079,Italy,P8,Rail,2026-03,12,Medium,1.06
LANE-004719,Poland,P3,Truck,2025-11,5,Low,1.34
LANE-004619,Poland,P1,Ocean,2026-09,27,Medium,0.51
LANE-001788,Mexico,P12,Rail,2025-06,11,High,0.83
LANE-016097,United Kingdom,P2,Truck,2026-03,5,Low,1.1
LANE-011977,Canada,P10,Truck,2025-09,4,Medium,0.99
LANE-003155,China,P6,Rail,2025-09,13,Medium,0.8
LANE-007423,Japan,P12,Rail,2025-09,15,Medium,0.91
LANE-002051,Germany,P4,Truck,2025-05,3,Low,1.3
LANE-006464,Brazil,P12,Ocean,2026-06,31,Low,0.47
LANE-012313,France,P1,Air,2026-03,3,Medium,2.67
LANE-001124,Mexico,P4,Rail,2025-02,13,Low,1.06
LANE-003694,India,P1,Ocean,2026-08,30,Low,0.75
LANE-011834,Canada,P8,Rail,2026-08,14,Low,1.21
LANE-003886,India,P4,Rail,2026-02,14,Low,0.83
LANE-010964,Vietnam,P9,Rail,2025-08,11,Medium,0.88
LANE-002615,Germany,P11,Air,2026-07,2,Low,4.09
LANE-011948,Canada,P9,Air,2025-02,2,Medium,2.6
LANE-011521,Canada,P4,Ocean,2026-03,33,Low,0.53
LANE-003383,China,P9,Truck,2026-05,3,Low,1.03
LANE-000034,United States,P1,Rail,2025-12,10,Low,1.15
LANE-013836,Spain,P9,Ocean,2026-08,21,Medium,0.77
LANE-015595,Thailand,P8,Truck,2026-07,5,Low,0.9
LANE-008080,South Korea,P8,Ocean,2025-06,28,Low,0.86
LANE-016905,United Kingdom,P12,Truck,2025-09,3,High,1.17
LANE-010850,Vietnam,P7,Ocean,2025-04,25,Low,0.65
LANE-011454,Canada,P3,Air,2026-02,1,Low,3.21
LANE-009559,Turkey,P3,Truck,2025-11,3,Medium,1.42
LANE-007224,Japan,P9,Ocean,2025-08,36,Low,0.77
LANE-001039,Mexico,P3,Truck,2025-05,4,Low,0.94
LANE-007715,South Korea,P4,Truck,2026-03,5,Low,1.25
LANE-006643,Japan,P2,Ocean,2026-09,24,Low,0.66
LANE-001741,Mexico,P11,Air,2025-03,3,Low,2.28
LANE-005515,Brazil,P1,Truck,2026-03,4,Low,0.88
LANE-005226,Poland,P9,Truck,2025-12,4,Low,1.4
LANE-002996,China,P4,Ocean,2025-04,22,Low,0.64
LANE-011808,Canada,P8,Truck,2026-04,4,Medium,0.82
LANE-001149,Mexico,P4,Ocean,2025-05,27,Low,0.75
LANE-011898,Canada,P9,Truck,2026-06,4,Low,1.48
LANE-010145,Turkey,P10,Air,2025-03,3,Low,3.57
LANE-011323,Canada,P2,Truck,2026-03,5,Low,1.26
LANE-016297,United Kingdom,P4,Ocean,2026-05,19,Low,0.77
LANE-002882,China,P3,Truck,2026-10,5,High,1.58
LANE-006857,Japan,P5,Rail,2026-03,14,Low,1.15
LANE-011051,Vietnam,P10,Ocean,2025-07,27,Medium,0.7
LANE-000208,United States,P4,Truck,2025-10,6,Low,1.2
LANE-011337,Canada,P2,Rail,2025-07,11,Medium,1.24
LANE-009812,Turkey,P6,Truck,2026-10,6,Medium,1.18
LANE-005347,Poland,P11,Rail,2025-01,8,High,0.81
LANE-016601,United Kingdom,P8,Rail,2026-01,10,Medium,0.95
LANE-001276,Mexico,P6,Truck,2026-10,3,Low,1.15
LANE-002544,Germany,P11,Truck,2026-02,5,High,1.01
LANE-003888,India,P4,Rail,2026-04,8,Low,0.94
LANE-016306,United Kingdom,P4,Air,2025-04,3,Low,
LANE-016827,United Kingdom,P10,Air,2026-07,2,Low,
LANE-009032,Italy,P7,Air,2025-12,3,Medium,3.53
LANE-003088,China,P5,Ocean,2025-08,28,Medium,
LANE-009135,Italy,P9,Rail,2025-05,10,High,1.28
LANE-016850,United Kingdom,P11,Truck,2026-08,5,Medium,1.26
LANE-000036,United States,P1,Rail,2026-02,11,Low,1.25
LANE-001496,Mexico,P8,Air,2026-10,3,Low,2.45
LANE-016096,United Kingdom,P2,Truck,2026-02,5,Low,1.19
LANE-002619,Germany,P12,Truck,2025-01,4,High,1.17
LANE-012859,France,P9,Truck,2025-11,6,Low,
LANE-013855,Spain,P9,Air,2026-05,2,Low,2.85
LANE-000315,United States,P5,Rail,2025-07,11,Low,0.93
LANE-003854,India,P4,Truck,2025-04,4,Medium,1.57
LANE-014534,Czech Republic,P6,Ocean,2026-02,28,Medium,0.72
LANE-009191,Italy,P10,Truck,2026-05,5,Low,1.01
LANE-001158,Mexico,P4,Ocean,2026-02,25,Low,0.81
LANE-002713,China,P1,Truck,2025-07,4,Low,1.53
LANE-003293,China,P7,Air,2026-03,2,Low,3.34
LANE-006001,Brazil,P6,Air,2026-05,2,Low,2.4
LANE-008609,Italy,P2,Ocean,2025-07,24,Low,0.49
LANE-007947,South Korea,P6,Air,2025-05,3,Low,2.14
LANE-000639,United States,P9,Ocean,2025-01,35,Medium,0.51
LANE-005814,Brazil,P4,Ocean,2025-06,28,Medium,0.46
LANE-005490,Poland,P12,Air,2025-12,2,Low,2.8
LANE-014879,Czech Republic,P10,Air,2025-07,3,Low,3.33
LANE-002118,Germany,P5,Truck,2025-06,1,Low,1.35
LANE-006637,Japan,P2,Ocean,2026-03,29,Low,0.62
LANE-009825,Turkey,P6,Rail,2026-01,10,Low,1.11
LANE-006909,Japan,P6,Truck,2025-01,5,Low,1.12
LANE-003304,China,P8,Truck,2025-04,1,Low,1.52
LANE-000605,United States,P9,Truck,2025-11,5,Low,1.12
LANE-002092,Germany,P4,Ocean,2025-02,20,High,0.55
LANE-003251,China,P7,Rail,2026-05,11,Medium,0.67
LANE-003629,China,P12,Ocean,2026-09,25,Medium,0.74
LANE-005732,Brazil,P3,Ocean,2025-12,28,Medium,0.78
LANE-002563,Germany,P11,Rail,2025-11,9,High,1.11
LANE-015966,Thailand,P12,Ocean,2026-04,25,Medium,0.47
LANE-015977,Thailand,P12,Air,2025-05,3,Low,3.75
LANE-003542,China,P11,Rail,2026-10,11,Medium,1.26
LANE-006666,Japan,P3,Truck,2026-10,4,Low,0.91
LANE-008266,South Korea,P10,Ocean,2026-04,22,Low,0.46
LANE-006109,Brazil,P8,Rail,2026-03,10,Low,1.12
LANE-003574,China,P12,Truck,2025-10,5,High,
LANE-008850,Italy,P5,Air,2025-06,2,Low,2.61
LANE-011350,Canada,P2,Rail,2026-08,13,Medium,1.09
LANE-014386,Czech Republic,P4,Ocean,2026-08,33,High,0.87
LANE-005009,Poland,P6,Rail,2026-03,11,Medium,0.97
LANE-013194,Spain,P1,Ocean,2026-04,33,Low,0.48
LANE-014092,Czech Republic,P1,Truck,2025-12,6,Low,1.53
LANE-002705,Germany,P12,Air,2026-09,2,Low,2.27
LANE-008864,Italy,P5,Air,2026-08,2,Low,2.67
LANE-003290,China,P7,Air,2025-12,2,Low,2.35
LANE-012012,Canada,P10,Rail,2026-10,12,Low,0.9
LANE-015820,Thailand,P11,Truck,2025-02,4,High,1.28
LANE-016331,United Kingdom,P5,Truck,2025-07,5,Low,0.97
LANE-000458,United States,P7,Truck,2026-06,4,High,1.31
LANE-014362,Czech Republic,P4,Rail,2026-06,11,Medium,1.03
LANE-005092,Poland,P7,Ocean,2025-10,25,Low,0.74
LANE-010228,Turkey,P11,Ocean,2026-08,33,Low,0.47
LANE-013838,Spain,P9,Ocean,2026-10,34,Medium,0.77
LANE-002969,China,P4,Truck,2026-09,5,Low,0.82
LANE-012987,France,P10,Ocean,2025-07,21,Low,0.56
LANE-013723,Spain,P8,Rail,2026-05,9,Low,1.16
LANE-016246,United Kingdom,P4,Truck,2025-10,5,Medium,1.5
LANE-016249,United Kingdom,P4,Truck,2026-01,4,Medium,0.94
LANE-000031,United States,P1,Rail,2025-09,11,Low,0.93
LANE-002542,Germany,P11,Truck,2025-12,6,High,0.94
LANE-011827,Canada,P8,Rail,2026-01,11,Low,1.1
LANE-009017,Italy,P7,Ocean,2026-07,33,Medium,0.75
LANE-016328,United Kingdom,P5,Truck,2025-04,5,Low,1.04
LANE-000747,United States,P10,Ocean,2026-09,21,Medium,0.54
LANE-005227,Poland,P9,Truck,2026-01,6,Low,0.86
LANE-009905,Turkey,P7,Rail,2025-05,11,Low,0.79
LANE-014176,Czech Republic,P2,Truck,2025-08,5,Low,1.16
LANE-000571,United States,P8,Rail,2026-09,13,Low,1.14
LANE-009640,Turkey,P4,Truck,2025-04,5,Low,0.97
LANE-015096,Thailand,P1,Ocean,2025-04,27,High,0.47
LANE-008835,Italy,P5,Ocean,2026-01,35,High,0.83
LANE-014790,Czech Republic,P9,Air,2025-06,2,Medium,3.34
LANE-009121,Italy,P9,Truck,2026-01,5,Low,1.46
LANE-002649,Germany,P12,Rail,2025-09,12,Medium,1.14
LANE-014871,Czech Republic,P10,Ocean,2026-09,24,Medium,0.82
LANE-016525,United Kingdom,P7,Ocean,2025-03,22,High,0.52
LANE-007643,South Korea,P3,Truck,2025-09,4,Low,1.06
LANE-003971,India,P5,Ocean,2025-11,29,High,0.5
LANE-015003,Czech Republic,P12,Rail,2026-09,10,Medium,1.19
LANE-008528,Italy,P1,Ocean,2026-02,30,High,0.73
LANE-002518,Germany,P10,Ocean,2025-10,29,Low,0.7
LANE-012519,France,P4,Air,2025-01,1,High,3.25
LANE-003250,China,P7,Rail,2026-04,14,Medium,0.66
LANE-011924,Canada,P9,Rail,2026-10,11,Medium,0.88
LANE-016405,United Kingdom,P5,Air,2026-03,3,Low,3.03
LANE-000929,Mexico,P1,Ocean,2025-05,25,Medium,0.77
LANE-004343,India,P10,Rail,2025-09,12,Low,1.01
LANE-004849,Poland,P4,Ocean,2025-09,25,Medium,0.83
LANE-016341,United Kingdom,P5,Truck,2026-05,5,Low,1.11
LANE-015445,Thailand,P6,Ocean,2025-01,29,High,0.56
LANE-007434,Japan,P12,Rail,2026-08,8,Medium,1.11
LANE-001803,Mexico,P12,Rail,2026-09,10,High,0.94
LANE-007081,Japan,P7,Air,2026-07,3,Low,3.04
LANE-012511,France,P4,Rail,2026-03,8,Low,
LANE-008743,Italy,P4,Rail,2025-09,11,Low,1.14
LANE-013915,Spain,P10,Ocean,2025-11,23,Low,0.73
LANE-014885,Czech Republic,P10,Air,2026-01,3,Low,2.37
LANE-015099,Thailand,P1,Ocean,2025-07,20,High,0.68
LANE-000270,United States,P4,Air,2025-06,3,Low,
LANE-015846,Thailand,P11,Rail,2025-06,11,Low,1.12
LANE-001984,Germany,P3,Truck,2025-04,4,Medium,1.34
LANE-006730,Japan,P3,Air,2026-08,3,Low,3.62
LANE-003232,China,P7,Truck,2026-08,5,Low,1.21
LANE-000487,United States,P7,Ocean,2025-03,23,Medium,0.45
LANE-006967,Japan,P6,Ocean,2026-03,38,Low,0.52
LANE-005587,Brazil,P1,Air,2026-09,2,Medium,3.06
LANE-000072,United States,P2,Rail,2025-06,8,Low,0.86
LANE-000666,United States,P9,Air,2025-06,3,Low,3.04
LANE-009840,Turkey,P6,Ocean,2025-06,25,Low,0.54
LANE-010392,Vietnam,P1,Air,2025-08,3,Medium,2.78
LANE-003156,China,P6,Rail,2025-10,12,Medium,0.72
LANE-003240,China,P7,Rail,2025-06,12,Medium,1.03
LANE-004011,India,P6,Truck,2025-07,4,Low,0.99
LANE-007068,Japan,P7,Air,2025-06,3,Low,2.74
LANE-006717,Japan,P3,Air,2025-07,3,Low,3.27
LANE-013667,Spain,P7,Ocean,2025-05,28,High,0.49
LANE-011106,Vietnam,P11,Truck,2026-06,4,Low,1.39
LANE-016327,United Kingdom,P5,Truck,2025-03,5,Low,1.37
LANE-003877,India,P4,Rail,2025-05,12,Low,0.9
LANE-000970,Mexico,P2,Rail,2025-02,10,Low,0.89
LANE-011908,Canada,P9,Rail,2025-06,11,Medium,0.74
LANE-003388,China,P9,Truck,2026-10,5,Low,1.26
LANE-002773,China,P2,Truck,2025-01,4,Medium,1.04
LANE-013168,Spain,P1,Rail,2025-12,13,Medium,0.82
LANE-011035,Vietnam,P10,Rail,2026-01,11,Medium,1.05
LANE-006935,Japan,P6,Rail,2025-05,10,Medium,0.7
LANE-007181,Japan,P9,Truck,2025-09,4,High,1.08
LANE-010357,Vietnam,P1,Rail,2026-05,8,Low,1.08
LANE-004764,Poland,P3,Ocean,2025-12,33,Medium,0.6
LANE-009345,Italy,P12,Rail,2026-05,9,Low,0.95
LANE-011289,Canada,P1,Ocean,2025-03,28,Low,0.84
LANE-007956,South Korea,P6,Air,2026-02,2,Low,3.77
LANE-005635,Brazil,P2,Ocean,2025-03,23,Low,0.73
LANE-006517,Japan,P1,Rail,2025-05,15,Low,1.15
LANE-011835,Canada,P8,Rail,2026-09,11,Low,1.23
LANE-002049,Germany,P4,Truck,2025-03,4,Low,1.37
LANE-011391,Canada,P2,Air,2026-05,2,Low,2.24
LANE-009074,Italy,P8,Rail,2025-10,14,Medium,0.78
LANE-002435,Germany,P9,Rail,2026-03,12,Low,0.64
LANE-000192,United States,P3,Air,2026-04,3,Low,2.64
LANE-004997,Poland,P6,Rail,2025-03,9,Medium,0.86
LANE-013685,Spain,P8,Truck,2025-01,3,Medium,1.22
LANE-009554,Turkey,P3,Truck,2025-06,6,Medium,1.16
LANE-007647,South Korea,P3,Truck,2026-01,5,Low,1.23
LANE-014565,Czech Republic,P7,Rail,2025-01,13,Low,1.04
LANE-002575,Germany,P11,Ocean,2025-01,22,Low,0.73
LANE-007500,South Korea,P1,Truck,2026-08,5,Medium,1.26
LANE-009595,Turkey,P3,Ocean,2025-03,30,Low,0.87
LANE-007496,South Korea,P1,Truck,2026-04,6,Medium,1.54
LANE-009514,Turkey,P2,Ocean,2025-10,27,Medium,0.6
LANE-002693,Germany,P12,Air,2025-09,2,Low,2.32
LANE-003920,India,P5,Truck,2025-04,4,Medium,1.43
LANE-014881,Czech Republic,P10,Air,2025-09,2,Low,2.94
LANE-007466,Japan,P12,Air,2025-08,2,Medium,2.81
LANE-006667,Japan,P3,Rail,2025-01,9,Low,1.14
LANE-014412,Czech Republic,P5,Rail,2025-02,12,Low,1.2
LANE-012292,France,P1,Ocean,2026-04,34,Medium,0.48
LANE-016193,United Kingdom,P3,Ocean,2025-01,34,Low,0.76
LANE-012528,France,P4,Air,2025-10,1,High,2.28
LANE-007880,South Korea,P6,Truck,2025-04,5,High,0.82
LANE-001277,Mexico,P6,Rail,2025-01,9,Low,1.19
LANE-016923,United Kingdom,P12,Rail,2025-05,10,Medium,1.27
LANE-013051,France,P11,Ocean,2025-05,26,Medium,0.76
LANE-015419,Thailand,P6,Truck,2026-07,6,Low,1.5
LANE-003270,China,P7,Ocean,2026-02,25,Low,0.45
LANE-014309,Czech Republic,P3,Ocean,2025-09,24,Medium,0.8
LANE-014321,Czech Republic,P3,Ocean,2026-09,26,Medium,
LANE-010670,Vietnam,P5,Rail,2026-10,10,Low,0.8
LANE-012622,France,P6,Truck,2026-04,5,Medium,0.82
LANE-008821,Italy,P5,Rail,2026-09,14,Low,0.98
LANE-015442,Thailand,P6,Rail,2026-08,11,Low,1.1
LANE-016364,United Kingdom,P5,Rail,2026-06,9,Medium,1.0
LANE-004565,Poland,P1,Truck,2025-11,4,Medium,1.23
LANE-005840,Brazil,P5,Truck,2025-10,4,Low,1.26
LANE-011134,Vietnam,P11,Ocean,2025-02,26,Low,0.61
LANE-014486,Czech Republic,P6,Truck,2025-10,5,Low,1.09
LANE-002483,Germany,P10,Truck,2026-07,6,Medium,1.09
LANE-006977,Japan,P6,Air,2025-03,2,Medium,3.54
LANE-004465,India,P11,Ocean,2026-09,35,Low,0.73
LANE-008568,Italy,P2,Truck,2025-10,5,Low,0.86
LANE-015036,Czech Republic,P12,Air,2025-10,3,Low,3.9
LANE-014093,Czech Republic,P1,Truck,2026-01,5,Low,
LANE-016856,United Kingdom,P11,Rail,2025-04,13,Medium,
LANE-013111,France,P12,Rail,2026-09,11,Low,0.84
LANE-005539,Brazil,P1,Rail,2026-05,9,Medium,0.77
LANE-010419,Vietnam,P2,Truck,2026-01,5,Low,0.81
LANE-016071,United Kingdom,P1,Air,2025-11,3,Low,2.64
LANE-015059,Thailand,P1,Truck,2025-11,6,Medium,1.23
LANE-014298,Czech Republic,P3,Rail,2026-08,11,Medium,0.9
LANE-005310,Poland,P10,Rail,2025-08,8,Low,0.72
LANE-012704,France,P7,Rail,2025-10,12,Low,0.76
LANE-012525,France,P4,Air,2025-07,1,High,2.68
LANE-012215,Canada,P12,Air,2025-05,3,Medium,2.51
LANE-012674,France,P7,Truck,2025-02,4,Medium,1.49
LANE-003584,China,P12,Truck,2026-08,4,High,1.54
LANE-010776,Vietnam,P6,Ocean,2026-06,31,Low,0.73
LANE-014210,Czech Republic,P2,Rail,2026-08,10,Low,1.01
LANE-013037,France,P11,Rail,2026-01,10,Medium,0.68
LANE-005345,Poland,P11,Truck,2026-09,3,Low,0.85
LANE-006291,Brazil,P10,Rail,2026-09,12,Low,1.18
LANE-016641,United Kingdom,P8,Air,2025-09,3,Low,3.15
LANE-006856,Japan,P5,Rail,2026-02,12,Low,
LANE-011464,Canada,P4,Truck,2025-02,5,Low,1.23
LANE-016708,United Kingdom,P9,Ocean,2025-10,27,High,0.46
LANE-015590,Thailand,P8,Truck,2026-02,4,Low,0.89
LANE-009418,Turkey,P1,Ocean,2025-02,31,Low,0.56
LANE-012604,France,P5,Ocean,2026-08,28,Low,0.87
LANE-013347,Spain,P3,Ocean,2026-03,19,Low,
LANE-006478,Brazil,P12,Air,2025-10,3,Low,2.5
LANE-001478,Mexico,P8,Air,2025-04,3,Low,3.45
LANE-014226,Czech Republic,P2,Ocean,2026-02,38,Low,0.63
LANE-012110,Canada,P11,Ocean,2025-10,20,Low,0.69
LANE-006860,Japan,P5,Rail,2026-06,9,Low,1.03
LANE-000545,United States,P8,Truck,2026-05,5,High,1.43
LANE-000994,Mexico,P2,Ocean,2025-04,31,Medium,0.78
LANE-013249,Spain,P2,Ocean,2025-05,29,Medium,0.68
LANE-002680,Germany,P12,Ocean,2026-06,32,Low,0.8
LANE-008997,Italy,P7,Rail,2026-09,12,High,0.94
LANE-007774,South Korea,P4,Air,2025-08,3,Low,2.86
LANE-012792,France,P8,Rail,2025-10,10,Medium,1.22
LANE-012728,France,P7,Ocean,2025-12,32,Low,0.7
LANE-008822,Italy,P5,Rail,2026-10,9,Low,0.74
LANE-014473,Czech Republic,P5,Air,2026-07,2,Low,3.28
LANE-007742,South Korea,P4,Rail,2026-08,12,Low,0.92
LANE-011157,Vietnam,P11,Air,2025-03,3,Medium,2.33
LANE-003892,India,P4,Rail,2026-08,10,Low,1.01
LANE-012217,Canada,P12,Air,2025-07,2,Medium,2.29
LANE-003924,India,P5,Truck,2025-08,4,Medium,
LANE-014059,Spain,P12,Air,2025-01,3,Medium,2.26
LANE-007038,Japan,P7,Rail,2026-08,10,Low,0.76
LANE-008128,South Korea,P9,Truck,2025-10,4,Medium,1.3
LANE-008994,Italy,P7,Rail,2026-06,11,High,0.77
LANE-005209,Poland,P8,Air,2026-05,2,Medium,2.84
LANE-016596,United Kingdom,P8,Rail,2025-08,12,Medium,
LANE-016887,United Kingdom,P11,Ocean,2026-01,26,Low,0.75
LANE-006265,Brazil,P10,Truck,2026-05,4,Low,1.56
LANE-000617,United States,P9,Rail,2025-01,12,Low,1.19
LANE-014241,Czech Republic,P2,Air,2025-07,2,High,3.62
LANE-006489,Brazil,P12,Air,2026-09,2,Low,2.86
LANE-015334,Thailand,P4,Air,2026-10,3,Low,3.62
LANE-004260,India,P9,Truck,2026-02,2,Low,1.52
LANE-002526,Germany,P10,Ocean,2026-06,30,Low,0.66
LANE-015095,Thailand,P1,Ocean,2025-03,26,High,0.51
LANE-008547,Italy,P1,Air,2025-11,3,Low,3.85
LANE-002792,China,P2,Truck,2026-08,4,Medium,1.18
LANE-005183,Poland,P8,Ocean,2026-01,27,Low,0.52
LANE-010686,Vietnam,P5,Ocean,2026-04,23,Medium,0.51
LANE-011449,Canada,P3,Air,2025-09,1,Low,3.24
LANE-000542,United States,P8,Truck,2026-02,5,High,0.97
LANE-016703,United Kingdom,P9,Ocean,2025-05,32,High,0.53
LANE-016582,United Kingdom,P8,Truck,2026-04,5,Medium,1.15
LANE-008089,South Korea,P8,Ocean,2026-03,29,Low,0.49
LANE-013554,Spain,P6,Rail,2025-02,11,Low,0.93
LANE-012017,Canada,P10,Ocean,2025-05,30,Medium,0.48
LANE-002712,China,P1,Truck,2025-06,5,Low,1.04
LANE-006249,Brazil,P10,Truck,2025-01,7,Low,0.99
LANE-002436,Germany,P9,Rail,2026-04,10,Low,1.05
LANE-003614,China,P12,Ocean,2025-06,27,Medium,
LANE-005809,Brazil,P4,Ocean,2025-01,25,Medium,0.6
LANE-011715,Canada,P6,Air,2025-11,2,Low,3.3
LANE-010121,Turkey,P10,Ocean,2025-01,29,Medium,0.61
LANE-005727,Brazil,P3,Ocean,2025-07,27,Medium,0.83
LANE-012309,France,P1,Air,2025-11,3,Medium,3.39
LANE-015429,Thailand,P6,Rail,2025-07,13,Low,0.85
LANE-003127,China,P6,Truck,2025-03,5,Low,1.47
LANE-003587,China,P12,Rail,2025-01,13,Medium,0.87
