order_id,product_id,dealer_id,order_date,requested_qty,region,customer_segment,order_status
ORD-0000033,HRV-03,DLR-0031,2024-02-03,8,Asia-Pacific,Dealer Stock,Shipped
ORD-0000034,TIL-04,DLR-0885,2025-12-15,2,Asia-Pacific,Commercial Farm,Open
ORD-0000035,HRV-07,DLR-0036,2026-02-07,2,Africa/Middle East,Commercial Farm,Shipped
ORD-0000036,TRC-10,DLR-0771,2024-04-09,1,South America,Commercial Farm,Committed
ORD-0000037,TRC-09,,2026-04-18,4,North America,Dealer Stock,Committed
ORD-0000038,TIL-01,DLR-0555,2024-12-31,1,Europe,Dealer Stock,Committed
ORD-0000039,TRC-01,DLR-0208,2025-09-29,2,Europe,Export,Shipped
ORD-0000040,BAL-07,DLR-0666,2024-07-05,1,Europe,Government,Shipped
ORD-0000041,BAL-04,DLR-0073,2025-01-13,2,Europe,Commercial Farm,Shipped
ORD-0000042,TIL-07,DLR-0805,2024-12-05,4,Europe,Dealer Stock,Committed
ORD-0000043,TRC-04,DLR-0407,2025-02-03,20,South America,,Committed
ORD-0000044,PLN-04,DLR-0480,2024-11-08,1,North America,Dealer Stock,Open
ORD-0000045,CMB-05,DLR-0679,2026-07-28,4,North America,Dealer Stock,Committed
ORD-0000046,CMB-01,DLR-0375,2024-12-31,10,Africa/Middle East,Government,Open
ORD-0000047,BAL-10,DLR-0129,2024-10-14,1,North America,Dealer Stock,Shipped
ORD-0000048,CMB-03,DLR-0249,2024-10-10,3,Europe,Dealer Stock,Shipped
ORD-0000049,CMB-06,DLR-0102,2025-05-23,3,Europe,Commercial Farm,Open
ORD-0000050,TIL-09,DLR-0464,2024-10-21,1,Africa/Middle East,Dealer Stock,Shipped
ORD-0000051,HRV-06,DLR-0634,2026-01-15,20,North America,Commercial Farm,Shipped
ORD-0000052,SPR-01,DLR-0507,2025-03-25,1,North America,Dealer Stock,Committed
ORD-0000053,TIL-10,DLR-0874,2026-05-01,2,Europe,Commercial Farm,Open
ORD-0000054,PLN-05,DLR-0440,2025-07-22,1,Europe,Government,Shipped
ORD-0000055,CMB-09,DLR-0627,2024-06-17,1,Europe,Commercial Farm,Shipped
ORD-0000056,SPR-09,DLR-0044,2025-09-03,1,Africa/Middle East,Commercial Farm,Committed
ORD-0000057,PLN-03,DLR-0868,2024-09-15,1,North America,Commercial Farm,Cancelled
ORD-0000058,CMB-08,,2026-01-23,1,Asia-Pacific,Commercial Farm,Shipped
ORD-0000059,TIL-02,DLR-0748,2026-03-24,1,North America,Dealer Stock,Open
ORD-0000060,CMB-01,DLR-0530,2025-09-19,1,Europe,Commercial Farm,Shipped
ORD-0000061,TRC-04,DLR-0286,2024-11-16,1,Asia-Pacific,Export,Committed
ORD-0000062,TRC-10,DLR-0232,2026-05-23,3,Europe,Dealer Stock,Open
ORD-0000063,TRC-06,DLR-0432,2025-04-06,8,North America,Dealer Stock,Shipped
ORD-0000064,TIL-06,DLR-0884,2024-04-15,5,North America,Government,Open
ORD-0000065,TRC-08,DLR-0513,2025-03-06,10,Asia-Pacific,Dealer Stock,Open
ORD-0000066,BAL-07,DLR-0350,2026-01-28,1,South America,Dealer Stock,Open
ORD-0000067,HRV-10,DLR-0549,2024-03-21,1,North America,Export,Shipped
ORD-0000068,CMB-04,DLR-0602,2025-02-25,3,Europe,Commercial Farm,Committed
ORD-0000069,PLN-06,DLR-0267,2026-05-11,1,Europe,Commercial Farm,Committed
ORD-0000070,TIL-02,DLR-0408,2025-06-08,2,South America,Commercial Farm,Open
ORD-0000071,TRC-07,DLR-0870,2024-06-21,4,South America,Commercial Farm,Committed
ORD-0000072,PLN-04,DLR-0026,2025-09-07,2,Europe,Commercial Farm,Cancelled
ORD-0000073,TIL-03,DLR-0340,2024-02-15,4,North America,Commercial Farm,Shipped
ORD-0000074,TIL-04,DLR-0558,2026-01-11,2,South America,Commercial Farm,Shipped
ORD-0000075,HRV-08,DLR-0800,2025-02-12,8,Europe,Export,Committed
ORD-0000076,HRV-09,DLR-0284,2026-06-18,5,Africa/Middle East,Dealer Stock,Committed
ORD-0000077,BAL-09,DLR-0747,2024-08-22,1,Europe,Commercial Farm,Open
ORD-0000078,CMB-10,DLR-0128,2024-02-09,8,North America,Commercial Farm,Shipped
ORD-0000079,PLN-02,DLR-0698,2025-01-24,5,Asia-Pacific,Dealer Stock,Shipped
ORD-0000080,HRV-09,DLR-0310,2025-06-30,4,Africa/Middle East,Commercial Farm,Shipped
ORD-0000081,HRV-09,DLR-0803,2025-09-16,8,Asia-Pacific,Dealer Stock,Committed
ORD-0000082,SPR-07,DLR-0485,2026-07-06,5,Africa/Middle East,Commercial Farm,Shipped
ORD-0000083,BAL-06,DLR-0263,2024-03-19,2,North America,Commercial Farm,Shipped
ORD-0000084,TIL-02,DLR-0765,2025-02-06,5,Asia-Pacific,Commercial Farm,Committed
ORD-0000085,TRC-04,DLR-0237,2024-01-17,15,North America,Commercial Farm,Shipped
ORD-0000086,HRV-03,DLR-0461,2024-08-05,3,Asia-Pacific,Export,Committed
ORD-0000087,TIL-03,DLR-0185,2024-04-30,3,South America,Commercial Farm,Committed
ORD-0000088,BAL-06,DLR-0008,2025-03-28,1,South America,Dealer Stock,Shipped
ORD-0000089,CMB-02,DLR-0358,2024-07-15,1,Europe,Commercial Farm,Shipped
ORD-0000090,PLN-07,DLR-0250,2025-01-19,3,South America,Commercial Farm,Shipped
ORD-0000091,HRV-02,DLR-0094,2024-03-08,1,North America,Government,Committed
ORD-0000092,SPR-06,DLR-0696,2025-02-18,1,Europe,Commercial Farm,Shipped
ORD-0000093,TRC-06,DLR-0400,2024-05-21,4,North America,Commercial Farm,Cancelled
ORD-0000094,SPR-06,DLR-0412,2025-04-10,1,North America,Government,Open
ORD-0000095,BAL-09,DLR-0682,2025-08-02,1,North America,Commercial Farm,Shipped
ORD-0000096,CMB-06,DLR-0287,2025-05-03,1,North America,Dealer Stock,Open
ORD-0000097,TRC-08,,2025-05-22,20,North America,Dealer Stock,Open
ORD-0000098,SPR-07,,2025-01-10,8,Europe,Dealer Stock,Committed
ORD-0000099,CMB-09,DLR-0205,2024-10-19,4,North America,Commercial Farm,Shipped
ORD-0000100,HRV-10,DLR-0620,2024-03-13,4,South America,Commercial Farm,Committed
ORD-0000101,SPR-04,DLR-0411,2025-11-16,5,South America,Commercial Farm,Shipped
ORD-0000102,TIL-06,DLR-0455,2026-02-22,2,Asia-Pacific,Dealer Stock,Shipped
ORD-0000103,CMB-03,DLR-0130,2024-11-09,3,Europe,Dealer Stock,Shipped
ORD-0000104,TIL-02,DLR-0293,2024-04-11,1,Asia-Pacific,Dealer Stock,Committed
ORD-0000105,TRC-08,DLR-0103,2025-12-15,2,Africa/Middle East,Government,Shipped
ORD-0000106,SPR-07,DLR-0564,2025-07-28,4,North America,Export,Committed
ORD-0000107,SPR-08,DLR-0660,2025-04-11,2,Europe,Dealer Stock,Shipped
ORD-0000108,TIL-02,DLR-0776,2025-02-07,8,Europe,Export,Committed
ORD-0000109,CMB-10,DLR-0126,2025-09-06,5,North America,Commercial Farm,Open
ORD-0000110,CMB-10,DLR-0064,2026-03-19,1,Asia-Pacific,Dealer Stock,Shipped
ORD-0000111,BAL-10,DLR-0418,2024-04-20,3,Europe,Commercial Farm,Cancelled
ORD-0000112,HRV-06,DLR-0643,2024-01-17,2,Europe,Dealer Stock,Shipped
ORD-0000113,PLN-01,DLR-0293,2025-12-22,5,Europe,,Committed
ORD-0000114,BAL-10,DLR-0135,2024-09-20,2,South America,Export,Shipped
ORD-0000115,SPR-07,DLR-0127,2025-02-16,1,Europe,Commercial Farm,Committed
ORD-0000116,BAL-06,DLR-0740,2026-03-25,1,Europe,Commercial Farm,Open
ORD-0000117,TIL-07,DLR-0822,2026-07-19,3,Africa/Middle East,Export,Shipped
ORD-0000118,HRV-10,DLR-0122,2024-02-03,2,South America,Export,Committed
ORD-0000119,SPR-05,DLR-0024,2025-01-11,3,Europe,Export,Open
ORD-0000120,HRV-08,DLR-0753,2025-11-06,15,Asia-Pacific,Government,Shipped
ORD-0000121,TIL-01,DLR-0141,2024-03-03,8,Asia-Pacific,Commercial Farm,Shipped
ORD-0000122,CMB-02,DLR-0402,2025-09-11,2,North America,Commercial Farm,Shipped
ORD-0000123,SPR-02,DLR-0473,2025-12-23,10,Africa/Middle East,Government,Open
ORD-0000124,PLN-03,DLR-0864,2024-03-07,4,North America,,Shipped
ORD-0000125,PLN-02,DLR-0566,2026-03-30,8,South America,Export,Committed
ORD-0000126,SPR-03,DLR-0735,2025-02-09,1,Europe,Commercial Farm,Shipped
ORD-0000127,BAL-08,DLR-0093,2024-06-01,1,South America,Commercial Farm,Shipped
ORD-0000128,TIL-01,DLR-0467,2025-04-15,1,North America,Commercial Farm,Committed
ORD-0000129,TRC-01,,2025-01-29,3,North America,Commercial Farm,Committed
ORD-0000130,PLN-06,DLR-0660,2024-07-18,1,South America,Dealer Stock,Committed
ORD-0000131,SPR-03,DLR-0100,2026-06-04,2,North America,,Shipped
ORD-0000132,PLN-03,DLR-0492,2024-02-10,8,North America,Dealer Stock,Shipped
ORD-0000133,CMB-07,DLR-0637,2025-08-06,4,Europe,Dealer Stock,Committed
ORD-0000134,TIL-10,DLR-0054,2024-05-21,2,North America,Dealer Stock,Shipped
ORD-0000135,BAL-07,DLR-0009,2026-04-16,1,Europe,Government,Shipped
ORD-0000136,HRV-01,DLR-0012,2025-01-21,10,Asia-Pacific,Commercial Farm,Shipped
ORD-0000137,CMB-09,DLR-0713,2025-06-17,3,Europe,Commercial Farm,Shipped
ORD-0000138,SPR-08,DLR-0046,2025-01-09,15,Europe,Dealer Stock,Committed
ORD-0000139,BAL-05,DLR-0718,2026-08-03,5,North America,Commercial Farm,Committed
ORD-0000140,TIL-02,DLR-0463,2025-04-08,3,North America,,Open
ORD-0000141,BAL-08,DLR-0492,2025-11-10,1,Europe,Dealer Stock,Shipped
ORD-0000142,TIL-08,DLR-0199,2024-08-04,4,South America,,Open
ORD-0000143,CMB-05,DLR-0589,2024-07-21,4,Africa/Middle East,,Open
ORD-0000144,TIL-04,DLR-0615,2025-10-17,1,Europe,Dealer Stock,Committed
ORD-0000145,SPR-09,DLR-0585,2024-07-22,2,Europe,Commercial Farm,Shipped
ORD-0000146,HRV-01,DLR-0473,2025-10-22,8,North America,Commercial Farm,Shipped
ORD-0000147,SPR-04,DLR-0511,2025-09-25,1,North America,,Open
ORD-0000148,TIL-10,DLR-0052,2024-06-10,4,Asia-Pacific,Dealer Stock,Committed
ORD-0000149,TIL-07,DLR-0613,2024-02-22,1,North America,Commercial Farm,Shipped
ORD-0000150,CMB-04,DLR-0850,2025-07-12,3,Africa/Middle East,Commercial Farm,Open
ORD-0000151,HRV-02,DLR-0625,2026-04-01,2,North America,Commercial Farm,Committed
ORD-0000152,PLN-02,DLR-0443,2024-11-06,10,North America,Dealer Stock,Committed
ORD-0000153,CMB-06,DLR-0768,2025-12-08,1,Asia-Pacific,Commercial Farm,Shipped
ORD-0000154,HRV-08,DLR-0733,2024-09-20,1,Europe,Commercial Farm,Shipped
ORD-0000155,BAL-03,DLR-0036,2025-04-25,5,Europe,Commercial Farm,Committed
ORD-0000156,BAL-08,DLR-0020,2024-12-30,2,Europe,Dealer Stock,Open
ORD-0000157,BAL-10,DLR-0572,2024-07-14,1,Asia-Pacific,Commercial Farm,Shipped
ORD-0000158,TRC-06,DLR-0321,2024-09-24,4,Europe,Commercial Farm,Committed
ORD-0000159,PLN-05,DLR-0385,2024-10-03,10,Europe,Export,Committed
ORD-0000160,BAL-10,DLR-0333,2025-03-02,5,Asia-Pacific,Dealer Stock,Shipped
ORD-0000161,SPR-10,DLR-0868,2024-09-29,1,North America,Commercial Farm,Committed
ORD-0000162,HRV-07,DLR-0673,2026-08-22,1,Asia-Pacific,Commercial Farm,Shipped
ORD-0000163,HRV-04,DLR-0350,2024-08-29,3,Europe,Commercial Farm,Committed
ORD-0000164,BAL-02,DLR-0202,2025-09-09,2,North America,Dealer Stock,Shipped
ORD-0000165,CMB-07,,2025-07-07,2,Europe,Commercial Farm,Committed
ORD-0000166,CMB-03,DLR-0225,2025-12-21,1,Europe,Dealer Stock,Shipped
ORD-0000167,PLN-05,DLR-0202,2024-09-20,2,Europe,Government,Shipped
ORD-0000168,SPR-07,DLR-0080,2026-07-26,8,Europe,Commercial Farm,Shipped
ORD-0000169,SPR-02,DLR-0541,2024-11-16,3,North America,Commercial Farm,Open
ORD-0000170,SPR-06,DLR-0434,2026-01-31,1,Africa/Middle East,Commercial Farm,Shipped
ORD-0000171,TRC-02,DLR-0513,2025-07-04,2,North America,Dealer Stock,Committed
ORD-0000172,HRV-01,DLR-0860,2024-09-14,2,North America,Commercial Farm,Shipped
ORD-0000173,HRV-06,DLR-0715,2026-08-21,1,Europe,Commercial Farm,Shipped
ORD-0000174,SPR-05,DLR-0039,2026-01-08,3,Africa/Middle East,Commercial Farm,Committed
ORD-0000175,SPR-09,DLR-0255,2025-10-20,1,South America,,Open
ORD-0000176,SPR-06,DLR-0248,2026-01-08,1,North America,Dealer Stock,Shipped
ORD-0000177,TRC-07,DLR-0106,2025-01-12,1,North America,Dealer Stock,Committed
ORD-0000178,PLN-05,DLR-0375,2024-06-15,3,North America,Dealer Stock,Shipped
ORD-0000179,PLN-09,DLR-0664,2025-02-02,3,North America,Dealer Stock,Committed
ORD-0000180,TRC-05,DLR-0542,2024-02-09,5,Asia-Pacific,Dealer Stock,Committed
ORD-0000181,SPR-09,DLR-0117,2024-03-24,1,Europe,Commercial Farm,Committed
ORD-0000182,SPR-03,DLR-0794,2024-04-06,2,Europe,Government,Open
ORD-0000183,TIL-09,DLR-0551,2025-11-05,5,Asia-Pacific,Commercial Farm,Shipped
ORD-0000184,TIL-08,DLR-0689,2026-04-17,3,Asia-Pacific,Export,Committed
ORD-0000185,SPR-02,DLR-0353,2026-05-12,1,Europe,Commercial Farm,Committed
ORD-0000186,TIL-06,DLR-0453,2025-12-25,3,North America,Government,Shipped
ORD-0000187,TIL-07,DLR-0809,2026-07-07,2,Europe,Commercial Farm,Cancelled
ORD-0000188,HRV-10,DLR-0172,2025-07-24,5,North America,Commercial Farm,Committed
ORD-0000189,TRC-09,DLR-0439,2024-02-13,2,North America,Commercial Farm,Open
ORD-0000190,BAL-02,DLR-0758,2026-05-04,2,Europe,Government,Shipped
ORD-0000191,HRV-04,DLR-0044,2024-10-26,1,South America,Commercial Farm,Shipped
ORD-0000192,CMB-10,DLR-0703,2024-10-21,1,South America,Commercial Farm,Open
ORD-0000193,HRV-06,DLR-0216,2026-07-23,1,Europe,Commercial Farm,Committed
ORD-0000194,BAL-02,DLR-0569,2024-07-17,2,North America,Dealer Stock,Open
ORD-0000195,SPR-08,DLR-0268,2024-11-07,5,North America,Commercial Farm,Shipped
ORD-0000196,SPR-06,DLR-0283,2024-07-31,1,Asia-Pacific,Commercial Farm,Open
ORD-0000197,PLN-02,DLR-0677,2024-08-29,15,North America,Commercial Farm,Shipped
ORD-0000198,BAL-07,DLR-0065,2025-02-11,3,South America,Dealer Stock,Open
ORD-0000199,HRV-02,DLR-0085,2025-11-15,2,North America,Dealer Stock,Open
ORD-0000200,TIL-03,DLR-0407,2024-08-14,1,North America,Dealer Stock,Open
ORD-0000201,SPR-05,,2024-11-25,4,Europe,Commercial Farm,Shipped
ORD-0000202,BAL-09,DLR-0872,2026-05-12,5,Europe,Commercial Farm,Shipped
ORD-0000203,PLN-05,DLR-0789,2024-01-28,4,Asia-Pacific,Dealer Stock,Committed
ORD-0000204,SPR-04,DLR-0461,2024-08-20,8,North America,Dealer Stock,Shipped
ORD-0000205,TIL-06,DLR-0220,2025-03-11,2,North America,Commercial Farm,Committed
ORD-0000206,CMB-07,DLR-0369,2025-12-29,4,Europe,Dealer Stock,Shipped
ORD-0000207,TRC-06,DLR-0710,2024-11-17,5,Asia-Pacific,Dealer Stock,Committed
ORD-0000208,TRC-05,DLR-0864,2024-05-31,4,South America,,Committed
ORD-0000209,SPR-01,DLR-0343,2024-05-14,4,Asia-Pacific,Commercial Farm,Open
ORD-0000210,PLN-04,DLR-0246,2024-04-26,3,Asia-Pacific,Dealer Stock,Shipped
ORD-0000211,PLN-09,DLR-0110,2026-08-27,4,South America,Commercial Farm,Committed
ORD-0000212,SPR-08,DLR-0242,2024-05-09,3,Europe,Commercial Farm,Shipped
ORD-0000213,TRC-04,DLR-0277,2025-01-18,1,Africa/Middle East,Dealer Stock,Shipped
ORD-0000214,HRV-08,DLR-0553,2026-06-14,5,Asia-Pacific,Export,Committed
ORD-0000215,TRC-09,DLR-0500,2024-04-02,5,Asia-Pacific,Commercial Farm,Committed
ORD-0000216,CMB-09,DLR-0708,2025-09-14,2,South America,Dealer Stock,Cancelled
ORD-0000217,TRC-07,DLR-0004,2025-12-20,3,Europe,Commercial Farm,Open
ORD-0000218,BAL-10,DLR-0496,2024-10-30,10,Asia-Pacific,Commercial Farm,Shipped
ORD-0000219,SPR-03,DLR-0397,2024-04-21,5,North America,Commercial Farm,Committed
ORD-0000220,PLN-07,DLR-0585,2025-11-18,1,North America,Commercial Farm,Shipped
ORD-0000221,TRC-06,DLR-0514,2025-07-22,3,South America,Commercial Farm,Open
ORD-0000222,HRV-09,DLR-0824,2026-01-18,1,North America,Dealer Stock,Shipped
ORD-0000223,PLN-07,DLR-0393,2025-07-24,8,Europe,Commercial Farm,Open
ORD-0000224,BAL-01,DLR-0828,2026-02-14,2,Asia-Pacific,Commercial Farm,Shipped
ORD-0000225,HRV-09,DLR-0635,2024-10-25,1,North America,Commercial Farm,Shipped
ORD-0000226,PLN-07,DLR-0172,2025-07-11,1,South America,Commercial Farm,Open
ORD-0000227,PLN-01,DLR-0873,2024-01-26,3,Asia-Pacific,Export,Shipped
ORD-0000228,SPR-09,DLR-0810,2025-05-30,15,Europe,Export,Shipped
ORD-0000229,TIL-10,DLR-0639,2024-04-10,1,South America,Commercial Farm,Shipped
ORD-0000230,SPR-01,DLR-0874,2025-09-07,5,Asia-Pacific,Government,Shipped
ORD-0000231,TRC-07,DLR-0268,2024-03-31,1,Europe,Commercial Farm,Committed
ORD-0000232,TIL-08,DLR-0738,2024-05-01,2,Europe,Commercial Farm,Shipped
ORD-0000233,PLN-10,DLR-0628,2025-07-26,3,Asia-Pacific,Commercial Farm,Shipped
ORD-0000234,HRV-05,DLR-0612,2024-09-02,10,South America,Commercial Farm,Shipped
ORD-0000235,BAL-02,DLR-0623,2026-04-03,2,North America,Dealer Stock,Shipped
ORD-0000236,TRC-07,DLR-0104,2025-05-10,2,North America,Dealer Stock,Shipped
ORD-0000237,TRC-10,DLR-0522,2025-10-13,5,North America,Commercial Farm,Shipped
ORD-0000238,HRV-09,DLR-0371,2026-04-25,3,Asia-Pacific,Commercial Farm,Shipped
ORD-0000239,BAL-01,DLR-0507,2025-03-17,1,South America,Commercial Farm,Open
ORD-0000240,CMB-08,DLR-0005,2025-03-31,1,South America,Commercial Farm,Shipped
ORD-0000241,BAL-04,DLR-0043,2025-12-27,2,Europe,Dealer Stock,Committed
ORD-0000242,HRV-03,DLR-0334,2025-12-03,1,North America,Dealer Stock,Open
ORD-0000243,TIL-08,DLR-0444,2024-07-30,1,North America,Dealer Stock,Committed
ORD-0000244,CMB-08,DLR-0236,2025-09-05,10,South America,,Committed
ORD-0000245,TRC-01,DLR-0173,2025-09-14,1,North America,Commercial Farm,Cancelled
ORD-0000246,TRC-06,,2026-01-14,1,Europe,Commercial Farm,Shipped
ORD-0000247,TRC-01,DLR-0591,2025-04-07,5,North America,Dealer Stock,Committed
ORD-0000248,CMB-01,,2025-02-07,5,North America,,Open
ORD-0000249,SPR-10,DLR-0704,2025-06-16,1,North America,Commercial Farm,Committed
ORD-0000250,PLN-08,DLR-0749,2024-05-31,1,North America,Dealer Stock,Committed
ORD-0000251,SPR-10,DLR-0375,2026-05-30,1,South America,Commercial Farm,Committed
ORD-0000252,PLN-02,DLR-0168,2026-04-26,2,Asia-Pacific,Dealer Stock,Committed
ORD-0000253,TRC-03,DLR-0694,2024-12-22,3,North America,Commercial Farm,Committed
ORD-0000254,TRC-07,DLR-0356,2026-02-04,2,Europe,Commercial Farm,Open
ORD-0000255,TIL-09,DLR-0017,2026-04-09,1,North America,Dealer Stock,Shipped
ORD-0000256,PLN-05,DLR-0403,2025-11-23,3,Europe,Commercial Farm,Open
ORD-0000257,TRC-10,DLR-0190,2025-01-20,1,North America,Dealer Stock,Cancelled
ORD-0000258,HRV-07,DLR-0479,2025-02-14,20,Asia-Pacific,Commercial Farm,Cancelled
ORD-0000259,SPR-09,DLR-0498,2024-07-08,3,North America,Government,Open
ORD-0000260,SPR-09,DLR-0558,2026-03-16,2,South America,Dealer Stock,Committed
ORD-0000261,PLN-08,DLR-0449,2024-06-11,10,South America,Export,Open
ORD-0000262,HRV-07,DLR-0227,2024-08-30,2,Europe,Commercial Farm,Shipped
ORD-0000263,TRC-10,DLR-0375,2024-01-11,3,Asia-Pacific,Commercial Farm,Open
ORD-0000264,CMB-05,DLR-0456,2024-09-04,1,Asia-Pacific,Dealer Stock,Committed
ORD-0000265,PLN-10,DLR-0736,2024-05-15,2,Asia-Pacific,Commercial Farm,Open
ORD-0000266,CMB-02,DLR-0804,2026-03-09,1,Africa/Middle East,Commercial Farm,Open
ORD-0000267,TIL-08,DLR-0248,2025-05-03,1,Africa/Middle East,Commercial Farm,Shipped
ORD-0000268,TRC-03,DLR-0729,2024-12-06,5,Asia-Pacific,Commercial Farm,Committed
ORD-0000269,HRV-03,DLR-0617,2024-03-23,2,North America,Dealer Stock,Committed
ORD-0000270,BAL-07,DLR-0636,2024-02-14,1,South America,Commercial Farm,Shipped
ORD-0000271,BAL-01,DLR-0498,2024-09-10,2,Africa/Middle East,Commercial Farm,Shipped
ORD-0000272,TRC-06,DLR-0385,2024-06-23,1,Europe,Export,Committed
ORD-0000273,BAL-10,DLR-0725,2024-10-17,1,South America,Commercial Farm,Shipped
ORD-0000274,CMB-04,,2025-09-12,4,Africa/Middle East,Commercial Farm,Shipped
ORD-0000275,TRC-08,DLR-0015,2026-07-11,2,Europe,Dealer Stock,Committed
ORD-0000276,TIL-10,DLR-0124,2024-01-06,1,Europe,Government,Open
ORD-0000277,TRC-01,DLR-0677,2025-02-26,3,North America,Dealer Stock,Committed
ORD-0000278,CMB-04,DLR-0845,2025-03-26,3,Europe,Dealer Stock,Open
ORD-0000279,PLN-10,DLR-0075,2025-03-21,3,North America,Commercial Farm,Open
ORD-0000280,HRV-08,DLR-0884,2024-12-24,2,Europe,Commercial Farm,Committed
ORD-0000281,HRV-07,,2025-11-08,1,South America,Dealer Stock,Open
ORD-0000282,TRC-01,DLR-0714,2026-05-30,1,Asia-Pacific,Commercial Farm,Committed
ORD-0000283,TIL-10,DLR-0119,2024-07-04,4,Europe,Dealer Stock,Shipped
ORD-0000284,PLN-04,DLR-0127,2024-11-06,1,North America,Commercial Farm,Shipped
ORD-0000285,TRC-03,DLR-0013,2025-12-09,10,Europe,Export,Shipped
ORD-0000286,BAL-03,DLR-0410,2025-10-24,10,Asia-Pacific,Dealer Stock,Open
ORD-0000287,CMB-03,DLR-0277,2024-07-16,2,South America,Export,Committed
ORD-0000288,CMB-01,DLR-0708,2026-04-27,1,Africa/Middle East,Export,Shipped
ORD-0000289,TRC-02,DLR-0386,2024-07-03,1,Europe,Dealer Stock,Committed
ORD-0000290,BAL-09,DLR-0696,2024-09-18,3,South America,Export,Cancelled
ORD-0000291,PLN-08,DLR-0352,2024-10-30,2,North America,Commercial Farm,Committed
ORD-0000292,TIL-07,DLR-0365,2026-01-24,8,Europe,Export,Committed
ORD-0000293,SPR-08,DLR-0362,2026-01-26,3,North America,Commercial Farm,Committed
ORD-0000294,TRC-10,DLR-0009,2024-09-15,1,Europe,Government,Open
ORD-0000295,CMB-02,DLR-0120,2025-02-19,4,South America,Commercial Farm,Committed
ORD-0000296,HRV-02,DLR-0074,2026-03-24,1,Europe,Commercial Farm,Committed
ORD-0000297,TRC-01,,2026-04-11,1,Asia-Pacific,Export,Open
ORD-0000298,BAL-07,DLR-0510,2026-05-12,8,North America,Dealer Stock,Committed
ORD-0000299,TRC-05,DLR-0327,2026-07-13,1,North America,Dealer Stock,Shipped
ORD-0000300,HRV-09,DLR-0712,2026-01-29,2,South America,Commercial Farm,Committed
ORD-0000301,TRC-04,DLR-0203,2024-12-22,2,South America,Commercial Farm,Shipped
ORD-0000302,TIL-03,DLR-0217,2024-03-31,1,Europe,Commercial Farm,Shipped
ORD-0000303,TIL-10,DLR-0522,2025-06-16,2,North America,Commercial Farm,Committed
ORD-0000304,TIL-08,DLR-0573,2025-05-21,4,South America,Government,Cancelled
ORD-0000305,CMB-02,DLR-0035,2026-03-10,5,North America,Dealer Stock,Shipped
