forecast_id,product_id,period,region,forecast_qty,forecast_type,forecast_version,created_date,planner_id
FC-0000038,HRV-01,2025-08,North America,49,Baseline,v2,2025-06-19,PLN-035
FC-0000039,HRV-01,2025-09,North America,45,Baseline,v2,2025-08-10,PLN-022
FC-0000040,HRV-01,2025-09,North America,56,Uplift,v1,2025-07-30,
FC-0000041,HRV-01,2025-10,North America,42,Baseline,,2025-09-09,PLN-047
FC-0000042,HRV-01,2025-11,North America,41,Baseline,,2025-09-20,PLN-012
FC-0000043,HRV-01,2025-11,North America,31,Downside,v1,2025-10-08,PLN-017
FC-0000044,HRV-01,2025-12,North America,50,Baseline,v2,2025-10-04,PLN-006
FC-0000045,HRV-01,2026-01,North America,52,Baseline,v1,2025-11-09,PLN-046
FC-0000046,HRV-01,2026-01,North America,39,Downside,v3,2025-11-30,PLN-025
FC-0000047,HRV-01,2026-02,North America,43,Baseline,v2,2025-12-30,PLN-025
FC-0000048,HRV-01,2026-03,North America,53,Baseline,v1,2026-01-05,PLN-044
FC-0000049,HRV-01,2026-03,North America,71,Uplift,v1,2026-02-10,PLN-009
FC-0000050,HRV-01,2026-03,North America,34,Downside,,2026-02-16,PLN-004
FC-0000051,HRV-01,2026-04,North America,53,Baseline,v2,2026-02-24,PLN-040
FC-0000052,HRV-01,2026-05,North America,49,Baseline,v3,2026-03-25,PLN-055
FC-0000053,HRV-01,2026-06,North America,44,Baseline,v2,2026-04-21,PLN-047
FC-0000054,HRV-01,2026-06,North America,59,Uplift,v3,2026-04-24,PLN-050
FC-0000055,HRV-01,2026-07,North America,44,Baseline,v2,2026-05-09,
FC-0000056,HRV-01,2026-07,North America,57,Uplift,v2,2026-06-18,PLN-046
FC-0000057,HRV-01,2026-07,North America,37,Downside,v1,2026-06-15,PLN-049
FC-0000058,HRV-01,2026-08,North America,52,Baseline,v2,2026-06-15,PLN-049
FC-0000059,HRV-01,2026-08,North America,45,Downside,v1,2026-06-27,PLN-030
FC-0000060,HRV-01,2026-09,North America,40,Baseline,v1,2026-08-02,PLN-050
FC-0000061,HRV-01,2026-09,North America,29,Downside,v2,2026-08-21,PLN-048
FC-0000062,HRV-01,2026-10,North America,47,Baseline,v2,2026-08-30,PLN-010
FC-0000063,HRV-01,2026-11,North America,45,Baseline,v1,2026-09-18,PLN-046
FC-0000064,HRV-01,2026-11,North America,31,Downside,v3,2026-09-29,PLN-052
FC-0000065,HRV-01,2026-12,North America,40,Baseline,v2,2026-10-04,PLN-013
FC-0000066,HRV-01,2026-12,North America,24,Downside,v3,2026-10-31,PLN-039
FC-0000067,HRV-01,2024-01,South America,103,Baseline,v3,2023-11-15,PLN-043
FC-0000068,HRV-01,2024-01,South America,134,Uplift,v2,2023-12-18,PLN-037
FC-0000069,HRV-01,2024-02,South America,106,Baseline,v3,2023-12-25,PLN-001
FC-0000070,HRV-01,2024-02,South America,93,Downside,v3,2024-01-20,PLN-009
FC-0000071,HRV-01,2024-03,South America,102,Baseline,v2,2024-01-20,PLN-058
FC-0000072,HRV-01,2024-04,South America,137,Baseline,v2,2024-02-05,PLN-053
FC-0000073,HRV-01,2024-05,South America,108,Baseline,v2,2024-04-01,PLN-053
FC-0000074,HRV-01,2024-05,South America,119,Uplift,v1,2024-03-31,PLN-010
FC-0000075,HRV-01,2024-06,South America,124,Baseline,v1,2024-05-08,PLN-049
FC-0000076,HRV-01,2024-07,South America,125,Baseline,v2,2024-06-05,PLN-029
FC-0000077,HRV-01,2024-07,South America,172,Uplift,v1,2024-06-19,PLN-042
FC-0000078,HRV-01,2024-08,South America,113,Baseline,,2024-06-19,PLN-053
FC-0000079,HRV-01,2024-09,South America,107,Baseline,v2,2024-07-25,PLN-003
FC-0000080,HRV-01,2024-09,South America,73,Downside,v2,2024-07-29,PLN-032
FC-0000081,HRV-01,2024-10,South America,123,Baseline,v2,2024-08-06,PLN-016
FC-0000082,HRV-01,2024-10,South America,144,Uplift,v1,2024-09-05,PLN-030
FC-0000083,HRV-01,2024-11,South America,131,Baseline,v2,2024-09-10,PLN-030
FC-0000084,HRV-01,2024-11,South America,159,Uplift,v2,2024-09-27,PLN-030
FC-0000085,HRV-01,2024-11,South America,110,Downside,v3,2024-10-10,PLN-003
FC-0000086,HRV-01,2024-12,South America,132,Baseline,v1,2024-10-12,PLN-037
FC-0000087,HRV-01,2025-01,South America,135,Baseline,v2,2024-11-03,PLN-019
FC-0000088,HRV-01,2025-01,South America,183,Uplift,v2,2024-12-04,PLN-055
FC-0000089,HRV-01,2025-02,South America,113,Baseline,v3,2025-01-01,PLN-037
FC-0000090,HRV-01,2025-03,South America,126,Baseline,v2,2025-02-08,PLN-045
FC-0000091,HRV-01,2025-04,South America,118,Baseline,v2,2025-03-05,PLN-006
FC-0000092,HRV-01,2025-05,South America,109,Baseline,v3,2025-03-25,PLN-040
FC-0000093,HRV-01,2025-05,South America,128,Uplift,v3,2025-03-28,PLN-018
FC-0000094,HRV-01,2025-06,South America,135,Baseline,v3,2025-04-25,PLN-019
FC-0000095,HRV-01,2025-06,South America,159,Uplift,v3,2025-05-01,PLN-022
FC-0000096,HRV-01,2025-07,South America,133,Baseline,v1,2025-05-03,PLN-032
FC-0000097,HRV-01,2025-08,South America,104,Baseline,v3,2025-07-12,PLN-025
FC-0000098,HRV-01,2025-09,South America,129,Baseline,v1,2025-08-06,
FC-0000099,HRV-01,2025-09,South America,114,Downside,v1,2025-07-29,PLN-027
FC-0000100,HRV-01,2025-10,South America,123,Baseline,v1,2025-09-08,PLN-019
FC-0000101,HRV-01,2025-10,South America,162,Uplift,v2,2025-09-02,PLN-023
FC-0000102,HRV-01,2025-10,South America,79,Downside,v2,2025-09-11,PLN-012
FC-0000103,HRV-01,2025-11,South America,112,Baseline,v1,2025-09-17,PLN-054
FC-0000104,HRV-01,2025-12,South America,104,Baseline,v3,2025-10-17,PLN-038
FC-0000105,HRV-01,2026-01,South America,107,Baseline,v3,2025-12-11,PLN-051
FC-0000106,HRV-01,2026-02,South America,108,Baseline,v3,2026-01-06,PLN-038
FC-0000107,HRV-01,2026-03,South America,114,Baseline,v2,2026-01-16,PLN-020
FC-0000108,HRV-01,2026-03,South America,141,Uplift,v1,2026-02-05,PLN-043
FC-0000109,HRV-01,2026-04,South America,124,Baseline,v2,2026-02-17,PLN-016
FC-0000110,HRV-01,2026-04,South America,164,Uplift,v2,2026-03-19,PLN-002
FC-0000111,HRV-01,2026-05,South America,107,Baseline,v3,2026-03-17,PLN-014
FC-0000112,HRV-01,2026-06,South America,110,Baseline,v1,2026-04-19,PLN-002
FC-0000113,HRV-01,2026-07,South America,118,Baseline,v2,2026-05-24,PLN-028
FC-0000114,HRV-01,2026-08,South America,111,Baseline,v2,2026-07-05,PLN-058
FC-0000115,HRV-01,2026-09,South America,115,Baseline,v1,2026-08-11,PLN-053
FC-0000116,HRV-01,2026-09,South America,134,Uplift,v1,2026-08-02,PLN-004
FC-0000117,HRV-01,2026-10,South America,137,Baseline,v1,2026-08-03,PLN-055
FC-0000118,HRV-01,2026-11,South America,132,Baseline,v1,2026-10-05,PLN-022
FC-0000119,HRV-01,2026-11,South America,160,Uplift,v1,2026-10-11,PLN-059
FC-0000120,HRV-01,2026-12,South America,124,Baseline,v1,2026-10-13,PLN-037
FC-0000121,HRV-01,2024-01,Europe,119,Baseline,v3,2023-11-21,PLN-029
FC-0000122,HRV-01,2024-01,Europe,151,Uplift,v3,2023-12-21,PLN-010
FC-0000123,HRV-01,2024-02,Europe,132,Baseline,v2,2023-12-14,PLN-039
FC-0000124,HRV-01,2024-03,Europe,116,Baseline,v2,2024-01-13,PLN-023
FC-0000125,HRV-01,2024-04,Europe,126,Baseline,v2,2024-02-20,PLN-056
FC-0000126,HRV-01,2024-04,Europe,148,Uplift,v1,2024-03-02,PLN-002
FC-0000127,HRV-01,2024-05,Europe,115,Baseline,v1,2024-04-02,PLN-041
FC-0000128,HRV-01,2024-05,Europe,100,Downside,v1,2024-04-12,PLN-041
FC-0000129,HRV-01,2024-06,Europe,142,Baseline,v2,2024-04-05,PLN-049
FC-0000130,HRV-01,2024-06,Europe,162,Uplift,v1,2024-05-13,PLN-032
FC-0000131,HRV-01,2024-07,Europe,110,Baseline,v3,2024-05-06,PLN-051
FC-0000132,HRV-01,2024-07,Europe,67,Downside,v3,2024-05-31,PLN-031
FC-0000133,HRV-01,2024-08,Europe,124,Baseline,v2,2024-07-11,PLN-025
FC-0000134,HRV-01,2024-08,Europe,159,Uplift,v3,2024-07-03,PLN-013
FC-0000135,HRV-01,2024-09,Europe,118,Baseline,v2,2024-07-23,PLN-024
FC-0000136,HRV-01,2024-10,Europe,135,Baseline,v1,2024-08-27,PLN-048
FC-0000137,HRV-01,2024-11,Europe,113,Baseline,v2,2024-09-09,PLN-026
FC-0000138,HRV-01,2024-12,Europe,138,Baseline,v3,2024-10-24,PLN-008
FC-0000139,HRV-01,2025-01,Europe,137,Baseline,v3,2024-11-06,PLN-016
FC-0000140,HRV-01,2025-02,Europe,144,Baseline,v2,2024-12-09,PLN-044
FC-0000141,HRV-01,2025-02,Europe,161,Uplift,v1,2025-01-19,PLN-017
FC-0000142,HRV-01,2025-03,Europe,143,Baseline,v2,2025-01-01,PLN-048
FC-0000143,HRV-01,2025-03,Europe,197,Uplift,v1,2025-02-14,PLN-036
FC-0000144,HRV-01,2025-03,Europe,93,Downside,v3,2025-01-25,PLN-032
FC-0000145,HRV-01,2025-04,Europe,128,Baseline,v2,2025-02-03,PLN-053
FC-0000146,HRV-01,2025-04,Europe,109,Downside,v2,2025-03-06,PLN-023
FC-0000147,HRV-01,2025-05,Europe,132,Baseline,v3,2025-03-08,PLN-056
FC-0000148,HRV-01,2025-06,Europe,133,Baseline,v3,2025-05-02,PLN-016
FC-0000149,HRV-01,2025-06,Europe,172,Uplift,v3,2025-05-15,PLN-050
FC-0000150,HRV-01,2025-07,Europe,114,Baseline,v1,2025-05-16,PLN-028
FC-0000151,HRV-01,2025-08,Europe,117,Baseline,v1,2025-07-10,PLN-040
FC-0000152,HRV-01,2025-09,Europe,127,Baseline,v3,2025-07-10,PLN-051
FC-0000153,HRV-01,2025-10,Europe,129,Baseline,v3,2025-08-03,PLN-023
FC-0000154,HRV-01,2025-11,Europe,136,Baseline,v1,2025-09-20,PLN-048
FC-0000155,HRV-01,2025-11,Europe,82,Downside,v2,2025-10-02,PLN-021
FC-0000156,HRV-01,2025-12,Europe,109,Baseline,v3,2025-10-23,PLN-011
FC-0000157,HRV-01,2026-01,Europe,146,Baseline,v2,2025-11-11,PLN-012
FC-0000158,HRV-01,2026-01,Europe,99,Downside,v1,2025-12-14,PLN-036
FC-0000159,HRV-01,2026-02,Europe,119,Baseline,v3,2025-12-30,PLN-049
FC-0000160,HRV-01,2026-02,Europe,141,Uplift,v2,2026-01-07,PLN-042
FC-0000161,HRV-01,2026-03,Europe,143,Baseline,v1,2026-01-05,PLN-033
FC-0000162,HRV-01,2026-03,Europe,172,Uplift,v1,2026-01-25,PLN-018
FC-0000163,HRV-01,2026-04,Europe,115,Baseline,v2,2026-02-28,PLN-022
FC-0000164,HRV-01,2026-04,Europe,156,Uplift,v3,2026-03-14,
FC-0000165,HRV-01,2026-05,Europe,128,Baseline,v3,2026-03-10,
FC-0000166,HRV-01,2026-05,Europe,142,Uplift,v2,2026-04-15,PLN-027
FC-0000167,HRV-01,2026-06,Europe,133,Baseline,v2,2026-05-11,PLN-013
FC-0000168,HRV-01,2026-06,Europe,178,Uplift,v2,2026-04-26,PLN-054
FC-0000169,HRV-01,2026-07,Europe,114,Baseline,v1,2026-05-03,PLN-040
FC-0000170,HRV-01,2026-08,Europe,128,Baseline,v1,2026-07-04,PLN-051
FC-0000171,HRV-01,2026-08,Europe,142,Uplift,v2,2026-06-26,PLN-033
FC-0000172,HRV-01,2026-08,Europe,81,Downside,,2026-06-28,PLN-055
FC-0000173,HRV-01,2026-09,Europe,146,Baseline,v3,2026-08-12,PLN-031
FC-0000174,HRV-01,2026-10,Europe,127,Baseline,v1,2026-08-21,PLN-025
FC-0000175,HRV-01,2026-10,Europe,158,Uplift,v1,2026-09-13,PLN-009
FC-0000176,HRV-01,2026-10,Europe,78,Downside,v2,2026-09-07,PLN-002
FC-0000177,HRV-01,2026-11,Europe,122,Baseline,v1,2026-09-30,PLN-043
FC-0000178,HRV-01,2026-11,Europe,88,Downside,v2,2026-09-26,PLN-010
FC-0000179,HRV-01,2026-12,Europe,142,Baseline,,2026-10-31,PLN-046
FC-0000180,HRV-01,2026-12,Europe,195,Uplift,v3,2026-11-04,PLN-015
FC-0000181,HRV-01,2024-01,Asia-Pacific,93,Baseline,v2,2023-11-25,PLN-005
FC-0000182,HRV-01,2024-01,Asia-Pacific,69,Downside,v1,2023-12-05,PLN-010
FC-0000183,HRV-01,2024-02,Asia-Pacific,89,Baseline,v1,2023-12-06,PLN-039
FC-0000184,HRV-01,2024-03,Asia-Pacific,112,Baseline,v3,2024-01-12,PLN-032
FC-0000185,HRV-01,2024-04,Asia-Pacific,102,Baseline,v1,2024-02-13,PLN-030
FC-0000186,HRV-01,2024-04,Asia-Pacific,84,Downside,v2,2024-03-07,
FC-0000187,HRV-01,2024-05,Asia-Pacific,114,Baseline,v1,2024-04-05,PLN-011
FC-0000188,HRV-01,2024-05,Asia-Pacific,75,Downside,v1,2024-04-18,PLN-025
FC-0000189,HRV-01,2024-06,Asia-Pacific,102,Baseline,v2,2024-05-05,PLN-052
FC-0000190,HRV-01,2024-07,Asia-Pacific,94,Baseline,v3,2024-05-29,PLN-029
FC-0000191,HRV-01,2024-07,Asia-Pacific,126,Uplift,v2,2024-06-21,PLN-051
FC-0000192,HRV-01,2024-07,Asia-Pacific,77,Downside,v3,2024-06-06,PLN-027
FC-0000193,HRV-01,2024-08,Asia-Pacific,93,Baseline,v1,2024-07-09,PLN-052
FC-0000194,HRV-01,2024-08,Asia-Pacific,63,Downside,v3,2024-07-21,PLN-010
FC-0000195,HRV-01,2024-09,Asia-Pacific,94,Baseline,v2,2024-07-08,PLN-058
FC-0000196,HRV-01,2024-10,Asia-Pacific,102,Baseline,v3,2024-08-28,PLN-024
FC-0000197,HRV-01,2024-10,Asia-Pacific,139,Uplift,v2,2024-09-05,PLN-038
FC-0000198,HRV-01,2024-11,Asia-Pacific,114,Baseline,v3,2024-09-10,PLN-039
FC-0000199,HRV-01,2024-12,Asia-Pacific,105,Baseline,v1,2024-11-03,PLN-052
FC-0000200,HRV-01,2025-01,Asia-Pacific,92,Baseline,v3,2024-11-04,PLN-018
FC-0000201,HRV-01,2025-01,Asia-Pacific,111,Uplift,v3,2024-12-16,PLN-051
FC-0000202,HRV-01,2025-01,Asia-Pacific,78,Downside,v1,2024-11-24,PLN-059
FC-0000203,HRV-01,2025-02,Asia-Pacific,107,Baseline,v2,2024-12-19,PLN-022
FC-0000204,HRV-01,2025-02,Asia-Pacific,137,Uplift,v1,2024-12-29,PLN-013
FC-0000205,HRV-01,2025-02,Asia-Pacific,83,Downside,v3,2025-01-18,PLN-024
FC-0000206,HRV-01,2025-03,Asia-Pacific,114,Baseline,v3,2025-01-21,PLN-021
FC-0000207,HRV-01,2025-03,Asia-Pacific,94,Downside,v1,2025-01-28,PLN-034
FC-0000208,HRV-01,2025-04,Asia-Pacific,114,Baseline,v3,2025-03-08,PLN-011
FC-0000209,HRV-01,2025-04,Asia-Pacific,139,Uplift,v2,2025-03-15,PLN-023
FC-0000210,HRV-01,2025-05,Asia-Pacific,95,Baseline,v1,2025-03-25,PLN-043
FC-0000211,HRV-01,2025-05,Asia-Pacific,110,Uplift,v3,2025-04-18,PLN-050
FC-0000212,HRV-01,2025-06,Asia-Pacific,99,Baseline,v1,2025-04-18,PLN-049
FC-0000213,HRV-01,2025-06,Asia-Pacific,129,Uplift,v1,2025-05-02,PLN-020
FC-0000214,HRV-01,2025-07,Asia-Pacific,114,Baseline,v3,2025-05-05,PLN-050
FC-0000215,HRV-01,2025-07,Asia-Pacific,128,Uplift,v3,2025-06-19,
FC-0000216,HRV-01,2025-08,Asia-Pacific,109,Baseline,v2,2025-06-19,PLN-025
FC-0000217,HRV-01,2025-09,Asia-Pacific,98,Baseline,v3,2025-07-07,PLN-019
FC-0000218,HRV-01,2025-10,Asia-Pacific,107,Baseline,v1,2025-09-03,PLN-009
FC-0000219,HRV-01,2025-10,Asia-Pacific,149,Uplift,v2,2025-09-21,PLN-056
FC-0000220,HRV-01,2025-11,Asia-Pacific,89,Baseline,v2,2025-10-09,PLN-047
FC-0000221,HRV-01,2025-12,Asia-Pacific,110,Baseline,v1,2025-11-10,PLN-035
FC-0000222,HRV-01,2025-12,Asia-Pacific,132,Uplift,v1,2025-11-12,
FC-0000223,HRV-01,2026-01,Asia-Pacific,112,Baseline,v3,2025-11-09,PLN-047
FC-0000224,HRV-01,2026-01,Asia-Pacific,154,Uplift,v3,2025-12-22,PLN-006
FC-0000225,HRV-01,2026-01,Asia-Pacific,70,Downside,v1,2025-12-13,
FC-0000226,HRV-01,2026-02,Asia-Pacific,95,Baseline,v3,2025-12-25,PLN-037
FC-0000227,HRV-01,2026-02,Asia-Pacific,105,Uplift,v1,2026-01-15,PLN-051
FC-0000228,HRV-01,2026-03,Asia-Pacific,107,Baseline,v3,2026-01-22,PLN-057
FC-0000229,HRV-01,2026-03,Asia-Pacific,76,Downside,v1,2026-02-08,PLN-036
FC-0000230,HRV-01,2026-04,Asia-Pacific,109,Baseline,v3,2026-03-08,PLN-026
FC-0000231,HRV-01,2026-04,Asia-Pacific,75,Downside,v2,2026-02-26,PLN-008
FC-0000232,HRV-01,2026-05,Asia-Pacific,91,Baseline,v2,2026-03-13,PLN-038
FC-0000233,HRV-01,2026-05,Asia-Pacific,108,Uplift,v2,2026-04-04,PLN-039
FC-0000234,HRV-01,2026-05,Asia-Pacific,63,Downside,v2,2026-04-15,PLN-039
FC-0000235,HRV-01,2026-06,Asia-Pacific,92,Baseline,v2,2026-05-12,
FC-0000236,HRV-01,2026-07,Asia-Pacific,113,Baseline,v2,2026-05-26,PLN-025
FC-0000237,HRV-01,2026-07,Asia-Pacific,135,Uplift,v1,2026-06-18,PLN-031
FC-0000238,HRV-01,2026-07,Asia-Pacific,100,Downside,v2,2026-06-04,PLN-054
FC-0000239,HRV-01,2026-08,Asia-Pacific,86,Baseline,v2,2026-07-01,PLN-018
FC-0000240,HRV-01,2026-08,Asia-Pacific,96,Uplift,v1,2026-07-16,PLN-014
FC-0000241,HRV-01,2026-09,Asia-Pacific,88,Baseline,v2,2026-07-19,PLN-058
FC-0000242,HRV-01,2026-10,Asia-Pacific,107,Baseline,,2026-09-03,PLN-051
FC-0000243,HRV-01,2026-11,Asia-Pacific,100,Baseline,v3,2026-09-18,PLN-013
FC-0000244,HRV-01,2026-11,Asia-Pacific,132,Uplift,v3,2026-10-19,PLN-035
FC-0000245,HRV-01,2026-12,Asia-Pacific,105,Baseline,v2,2026-10-21,PLN-012
FC-0000246,HRV-01,2026-12,Asia-Pacific,78,Downside,v3,2026-10-31,PLN-053
FC-0000247,HRV-01,2024-01,Africa/Middle East,119,Baseline,v1,2023-11-09,PLN-007
FC-0000248,HRV-01,2024-02,Africa/Middle East,117,Baseline,v3,2024-01-08,PLN-015
FC-0000249,HRV-01,2024-03,Africa/Middle East,97,Baseline,v2,2024-02-01,PLN-005
FC-0000250,HRV-01,2024-03,Africa/Middle East,82,Downside,v2,2024-02-06,PLN-048
FC-0000251,HRV-01,2024-04,Africa/Middle East,125,Baseline,v2,2024-03-06,PLN-003
FC-0000252,HRV-01,2024-04,Africa/Middle East,158,Uplift,v1,2024-03-17,PLN-023
FC-0000253,HRV-01,2024-05,Africa/Middle East,105,Baseline,,2024-03-20,PLN-054
FC-0000254,HRV-01,2024-05,Africa/Middle East,138,Uplift,v1,2024-04-11,PLN-035
FC-0000255,HRV-01,2024-05,Africa/Middle East,85,Downside,v3,2024-04-18,PLN-048
FC-0000256,HRV-01,2024-06,Africa/Middle East,112,Baseline,v2,2024-04-09,PLN-027
FC-0000257,HRV-01,2024-06,Africa/Middle East,126,Uplift,v2,2024-05-14,PLN-030
FC-0000258,HRV-01,2024-07,Africa/Middle East,121,Baseline,v3,2024-05-17,PLN-048
FC-0000259,HRV-01,2024-07,Africa/Middle East,92,Downside,v3,2024-06-10,PLN-042
FC-0000260,HRV-01,2024-08,Africa/Middle East,119,Baseline,v2,2024-06-08,PLN-003
FC-0000261,HRV-01,2024-08,Africa/Middle East,135,Uplift,v1,2024-07-07,PLN-041
FC-0000262,HRV-01,2024-08,Africa/Middle East,73,Downside,v1,2024-07-13,PLN-002
FC-0000263,HRV-01,2024-09,Africa/Middle East,123,Baseline,v2,2024-08-12,PLN-011
FC-0000264,HRV-01,2024-10,Africa/Middle East,117,Baseline,v2,2024-08-23,PLN-037
FC-0000265,HRV-01,2024-11,Africa/Middle East,116,Baseline,v3,2024-09-29,PLN-002
FC-0000266,HRV-01,2024-12,Africa/Middle East,93,Baseline,v3,2024-10-15,PLN-021
FC-0000267,HRV-01,2025-01,Africa/Middle East,108,Baseline,v3,2024-12-06,PLN-042
FC-0000268,HRV-01,2025-01,Africa/Middle East,91,Downside,v1,2024-12-01,
FC-0000269,HRV-01,2025-02,Africa/Middle East,97,Baseline,v1,2024-12-18,PLN-034
FC-0000270,HRV-01,2025-02,Africa/Middle East,59,Downside,v2,2025-01-12,PLN-019
FC-0000271,HRV-01,2025-03,Africa/Middle East,110,Baseline,v3,2025-01-09,PLN-007
FC-0000272,HRV-01,2025-03,Africa/Middle East,93,Downside,,2025-02-18,PLN-022
FC-0000273,HRV-01,2025-04,Africa/Middle East,101,Baseline,v1,2025-02-15,PLN-024
FC-0000274,HRV-01,2025-05,Africa/Middle East,116,Baseline,,2025-03-20,PLN-030
FC-0000275,HRV-01,2025-05,Africa/Middle East,149,Uplift,v2,2025-04-03,
FC-0000276,HRV-01,2025-06,Africa/Middle East,123,Baseline,v1,2025-04-21,
FC-0000277,HRV-01,2025-07,Africa/Middle East,118,Baseline,v3,2025-05-27,PLN-021
FC-0000278,HRV-01,2025-07,Africa/Middle East,103,Downside,v1,2025-06-09,PLN-042
FC-0000279,HRV-01,2025-08,Africa/Middle East,121,Baseline,v2,2025-06-20,PLN-038
FC-0000280,HRV-01,2025-09,Africa/Middle East,112,Baseline,v1,2025-08-12,PLN-003
FC-0000281,HRV-01,2025-09,Africa/Middle East,85,Downside,v1,2025-08-12,PLN-037
FC-0000282,HRV-01,2025-10,Africa/Middle East,98,Baseline,v2,2025-09-05,PLN-009
FC-0000283,HRV-01,2025-10,Africa/Middle East,136,Uplift,v2,2025-09-16,
FC-0000284,HRV-01,2025-11,Africa/Middle East,101,Baseline,v1,2025-10-04,PLN-030
FC-0000285,HRV-01,2025-11,Africa/Middle East,140,Uplift,v1,2025-10-15,PLN-014
FC-0000286,HRV-01,2025-11,Africa/Middle East,66,Downside,v3,2025-09-30,PLN-032
FC-0000287,HRV-01,2025-12,Africa/Middle East,110,Baseline,v1,2025-11-09,PLN-013
FC-0000288,HRV-01,2026-01,Africa/Middle East,93,Baseline,v3,2025-11-16,PLN-026
FC-0000289,HRV-01,2026-01,Africa/Middle East,115,Uplift,v1,2025-11-25,PLN-058
FC-0000290,HRV-01,2026-02,Africa/Middle East,97,Baseline,v3,2025-12-12,PLN-018
FC-0000291,HRV-01,2026-03,Africa/Middle East,98,Baseline,v1,2026-01-05,PLN-045
FC-0000292,HRV-01,2026-03,Africa/Middle East,130,Uplift,v2,2026-01-22,PLN-048
FC-0000293,HRV-01,2026-04,Africa/Middle East,112,Baseline,v2,2026-03-03,PLN-019
FC-0000294,HRV-01,2026-05,Africa/Middle East,116,Baseline,v3,2026-03-10,PLN-028
FC-0000295,HRV-01,2026-05,Africa/Middle East,80,Downside,v2,2026-03-30,PLN-005
FC-0000296,HRV-01,2026-06,Africa/Middle East,125,Baseline,v3,2026-04-19,PLN-012
FC-0000297,HRV-01,2026-07,Africa/Middle East,122,Baseline,v2,2026-05-12,PLN-014
FC-0000298,HRV-01,2026-07,Africa/Middle East,134,Uplift,,2026-05-23,PLN-016
FC-0000299,HRV-01,2026-07,Africa/Middle East,82,Downside,,2026-06-21,PLN-008
FC-0000300,HRV-01,2026-08,Africa/Middle East,104,Baseline,v3,2026-06-28,PLN-013
FC-0000301,HRV-01,2026-09,Africa/Middle East,94,Baseline,v3,2026-08-02,PLN-046
