po_id,supplier_id,part_id,plant_id,po_date,promised_date,po_qty,unit_price,po_status,po_notes
PO-0000065,SUP-04642,FT-413,P8,2024-02-16,2024-03-08,300,,Closed,
PO-0000066,SUP-10112,FT-378,P4,2024-08-15,2024-10-14,1200,36.75,Closed,
PO-0000067,SUP-06951,EL-1100,P5,2025-04-02,2025-04-16,200,9.15,Open,
PO-0000068,SUP-12704,FT-1199,P3,2025-10-08,,500,27.33,Closed,
PO-0000069,SUP-01442,HY-752,P5,2025-02-07,2025-03-09,50,23.93,Closed,
PO-0000070,SUP-06481,HY-659,P10,2024-09-24,2024-11-23,800,715.37,Open,
PO-0000071,SUP-00411,BR-557,P4,2025-06-19,2025-07-19,200,31.27,Closed,
PO-0000072,SUP-09411,EC-430,P2,2024-04-10,2024-05-25,200,49.4,Closed,
PO-0000073,SUP-11153,BR-1155,P7,2026-05-14,2026-06-13,300,16.87,Partial,
PO-0000074,SUP-13873,EN-392,P9,2026-06-10,2026-08-09,100,6.48,Closed,
PO-0000075,SUP-00216,TR-889,P12,2025-01-31,2025-03-02,500,42.39,Closed,
PO-0000076,SUP-07044,SC-191,P12,2026-02-04,2026-02-25,1200,33.3,Closed,
PO-0000077,SUP-00303,EL-961,P5,2026-06-15,2026-07-15,50,34.95,Open,
PO-0000078,SUP-05267,FT-1008,P11,2024-05-05,2024-05-26,500,14.65,Open,
PO-0000079,SUP-02015,EN-346,P3,2026-02-25,2026-03-18,300,13.38,Open,
PO-0000080,SUP-05469,EL-281,P5,2024-11-08,2025-01-07,300,2.36,Closed,
PO-0000081,SUP-01260,EL-940,P5,2025-06-30,2025-07-21,1200,25.09,Closed,
PO-0000082,SUP-06081,FL-367,P10,2024-09-06,,50,59.61,Closed,
PO-0000083,SUP-04116,FL-725,P7,2025-09-02,2025-09-16,800,68.13,Late,
PO-0000084,SUP-13593,SC-433,P6,2024-01-27,2024-03-27,100,56.53,Closed,
PO-0000085,SUP-03279,HY-1019,P9,2025-03-13,2025-05-12,1200,123.38,Closed,
PO-0000086,SUP-13064,CB-343,P6,2026-08-19,2026-10-03,50,23.15,Open,
PO-0000087,SUP-03380,FT-1221,P4,2025-04-05,2025-04-26,300,12.26,Open,
PO-0000088,SUP-01125,FT-668,P10,2024-07-13,2024-08-27,1200,23.44,Late,
PO-0000089,SUP-03970,CB-203,P9,2024-10-02,2024-10-23,50,16.17,Closed,
PO-0000090,SUP-01601,CB-1244,P4,2026-08-23,2026-10-22,100,30.0,Partial,
PO-0000091,SUP-07085,EN-517,P10,2025-01-05,2025-01-26,1200,34.14,Closed,
PO-0000092,SUP-01384,FL-1154,P2,2025-06-14,2025-07-05,1200,109.07,Closed,
PO-0000093,SUP-07252,FL-1074,P4,2024-07-26,2024-08-09,800,45.14,Closed,
PO-0000094,SUP-09611,CB-1145,P2,2026-05-03,2026-05-17,1200,20.26,Partial,
PO-0000095,SUP-09657,SC-341,P2,2025-02-09,2025-04-10,800,116.05,Closed,
PO-0000096,SUP-09906,EL-1271,P5,2024-12-02,2025-01-16,50,12.89,Open,
PO-0000097,SUP-10768,EN-584,P4,2026-08-23,2026-09-22,50,8.77,Closed,
PO-0000098,SUP-06892,CH-1317,P5,2024-12-09,2025-01-23,1200,62.9,Closed,
PO-0000099,SUP-10112,FT-378,P6,2024-05-28,,50,38.53,Open,
PO-0000100,SUP-02713,FL-715,P8,2025-06-12,2025-07-03,800,22.73,Open,
PO-0000101,SUP-05703,EL-871,P12,2026-05-26,2026-06-16,200,11.64,Open,
PO-0000102,SUP-08756,EN-1181,P12,2026-05-08,2026-05-29,800,37.46,Late,
PO-0000103,SUP-11623,EC-1085,P1,2024-10-24,2024-11-07,100,20.91,Partial,
PO-0000104,SUP-13068,EN-253,P11,2025-01-24,2025-02-07,200,10.73,Closed,
PO-0000105,SUP-07915,SC-672,P8,2025-08-24,2025-10-23,100,30.29,Closed,
PO-0000106,SUP-08093,SC-729,P9,2026-01-01,,1200,63.45,Closed,
PO-0000107,SUP-05366,EC-911,P9,2026-07-19,2026-09-17,800,,Late,
PO-0000108,SUP-00038,FT-772,P6,2024-03-08,2024-03-29,1200,12.66,Closed,
PO-0000109,SUP-10591,BR-1298,P7,2024-08-17,2024-09-16,1200,7.68,Late,
PO-0000110,SUP-11948,FL-268,P4,2024-10-08,2024-12-07,100,25.8,Closed,
PO-0000111,SUP-09418,CH-621,P1,2026-05-16,2026-06-06,100,9.94,Cancelled,
PO-0000112,SUP-14831,TR-371,P3,2025-09-05,2025-11-04,50,13.49,Open,
PO-0000113,SUP-02911,TR-572,P1,2024-10-27,2024-11-26,300,42.93,Closed,
PO-0000114,SUP-02620,ST-166,P11,2026-03-24,2026-04-07,200,1.78,Closed,
PO-0000115,SUP-08882,FL-347,P9,2025-08-25,2025-09-08,300,97.42,Closed,
PO-0000116,SUP-01730,CH-752,P1,2024-08-31,2024-09-14,800,5.48,Partial,
PO-0000117,SUP-02553,FL-667,P12,2026-06-07,2026-06-28,1200,263.42,Late,
PO-0000118,SUP-06208,EN-790,P3,2026-01-14,2026-01-28,800,26.17,Closed,
PO-0000119,SUP-03787,EL-687,P1,2025-07-15,2025-09-13,300,64.72,Closed,
PO-0000120,SUP-00559,EL-592,P6,2026-04-21,2026-06-20,100,16.9,Closed,
PO-0000121,SUP-08859,EL-525,P9,2024-10-04,2024-10-25,100,25.53,Open,
PO-0000122,SUP-08262,EL-768,P10,2025-03-05,,1200,,Late,
PO-0000123,SUP-07234,HY-495,P2,2024-09-30,2024-10-30,300,7.46,Closed,
PO-0000124,SUP-01422,FL-1186,P1,2025-10-11,2025-12-10,1200,,Closed,
PO-0000125,SUP-13900,BR-1290,P2,2025-04-01,2025-05-31,50,24.99,Closed,
PO-0000126,SUP-07191,CH-1286,P2,2025-04-26,2025-05-26,200,98.84,Open,
PO-0000127,SUP-00158,SC-168,P8,2025-07-05,2025-09-03,300,85.38,Closed,
PO-0000128,SUP-06217,TR-142,P4,2026-06-11,,100,28.25,Open,
PO-0000129,SUP-06550,EC-225,P7,2024-10-06,2024-11-20,300,28.66,Closed,
PO-0000130,SUP-14475,ST-1104,P12,2024-09-27,2024-10-11,1200,10.97,Cancelled,
PO-0000131,SUP-12996,HY-798,P4,2024-03-31,2024-05-30,800,61.01,Closed,
PO-0000132,SUP-01820,ST-908,P5,2025-04-01,2025-05-01,500,94.48,Closed,
PO-0000133,SUP-12079,FT-258,P5,2024-07-17,2024-08-16,200,167.52,Partial,
PO-0000134,SUP-06992,EN-537,P5,2024-06-30,2024-08-14,200,34.5,Closed,
PO-0000135,SUP-03305,CH-298,P4,2025-08-28,2025-10-12,100,176.03,Closed,
PO-0000136,SUP-04467,FT-692,P9,2024-10-25,2024-12-24,200,18.57,Late,
PO-0000137,SUP-10413,TR-237,P6,2025-02-23,2025-03-09,300,34.41,Late,
PO-0000138,SUP-10465,CB-1063,P5,2024-04-06,2024-05-21,100,9.55,Closed,
PO-0000139,SUP-08484,BR-576,P9,2024-05-12,2024-06-26,200,36.8,Open,
PO-0000140,SUP-13660,FT-1341,P1,2025-11-28,2025-12-19,300,12.89,Closed,
PO-0000141,SUP-07953,FT-1303,P2,2024-05-11,2024-06-10,500,14.49,Open,
PO-0000142,SUP-06230,SC-100,P2,2024-05-02,,800,5.72,Open,
PO-0000143,SUP-01129,CH-1322,P2,2024-09-24,2024-11-23,800,11.35,Partial,
PO-0000144,SUP-10559,FT-201,P10,2024-10-09,2024-10-23,800,53.24,Open,
PO-0000145,SUP-09014,EC-946,P1,2026-05-15,2026-06-14,300,9.8,Open,
PO-0000146,SUP-10448,EN-473,P5,2024-12-23,2025-02-06,500,15.34,Partial,
PO-0000147,SUP-08379,CB-1218,P10,2025-12-02,2026-01-01,800,4.45,Late,
PO-0000148,SUP-14004,FT-539,P4,2024-06-24,2024-07-08,800,17.87,Open,
PO-0000149,SUP-03357,ST-1001,P3,2024-11-20,2024-12-11,200,10.07,Open,
PO-0000150,SUP-06098,TR-1069,P7,2025-09-17,2025-11-16,50,75.75,Closed,
PO-0000151,SUP-13579,SC-1009,P7,2025-02-19,2025-03-05,100,41.69,Closed,
PO-0000152,SUP-03647,TR-1191,P11,2024-03-19,2024-05-18,200,24.66,Closed,
PO-0000153,SUP-04162,HY-538,P4,2024-10-09,2024-12-08,50,4.02,Closed,
PO-0000154,SUP-07640,EC-619,P8,2025-02-11,2025-04-12,50,53.21,Closed,
PO-0000155,SUP-08080,SC-730,P11,2024-10-02,2024-10-23,100,17.58,Open,
PO-0000156,SUP-06153,EC-166,P1,2026-01-01,2026-01-22,50,11.77,Open,
PO-0000157,SUP-06758,CH-333,P7,2025-12-01,2025-12-31,300,11.03,Late,
PO-0000158,SUP-05427,CH-1335,P11,2025-03-11,2025-04-10,300,35.07,Partial,
PO-0000159,SUP-07710,SC-177,P6,2025-11-16,2026-01-15,800,9.81,Closed,
PO-0000160,SUP-05048,CH-695,P1,2024-05-03,2024-07-02,1200,7.5,Partial,
PO-0000161,SUP-03787,EL-687,P6,2024-12-14,2025-02-12,100,68.87,Closed,
PO-0000162,SUP-09357,CH-1156,P2,2024-01-18,2024-03-03,50,3.47,Late,
PO-0000163,SUP-04317,FT-1026,P6,2025-01-25,2025-02-24,300,296.85,Late,
PO-0000164,SUP-06733,ST-677,P11,2025-12-02,2025-12-16,100,109.28,Closed,
PO-0000165,SUP-12229,FT-1043,P8,2024-08-10,2024-08-31,300,18.73,Closed,
PO-0000166,SUP-05765,FL-848,P2,2025-12-01,2026-01-15,50,19.04,Open,
PO-0000167,SUP-04709,BR-631,P5,2026-08-27,2026-09-26,300,3.38,Cancelled,
PO-0000168,SUP-05600,CH-827,P10,2024-04-02,2024-05-17,1200,47.24,Closed,
PO-0000169,SUP-08158,BR-609,P4,2024-05-31,2024-06-21,200,61.68,Closed,
PO-0000170,SUP-12792,HY-1172,P5,2025-06-05,,300,6.13,Closed,
PO-0000171,SUP-06436,TR-527,P1,2024-09-12,2024-10-27,1200,9.3,Open,
PO-0000172,SUP-01440,FL-712,P1,2024-12-29,2025-01-19,50,27.32,Closed,
PO-0000173,SUP-02750,EL-663,P9,2026-04-29,2026-05-13,200,12.84,Closed,
PO-0000174,SUP-12629,CB-1169,P8,2025-11-15,2025-12-30,500,17.09,Closed,
PO-0000175,SUP-06074,FL-1072,P8,2026-07-08,2026-07-22,500,8.2,Closed,
PO-0000176,SUP-11273,CB-1070,P8,2024-01-12,2024-03-12,1200,24.49,Cancelled,
PO-0000177,SUP-13550,CH-1256,P5,2024-10-12,2024-11-02,200,35.38,Closed,
PO-0000178,SUP-11978,HY-744,P8,2025-03-25,2025-04-24,50,6.07,Cancelled,
PO-0000179,SUP-07558,EL-228,P6,2025-12-12,2026-02-10,100,18.54,Late,
PO-0000180,SUP-03776,TR-510,P5,2025-01-23,2025-02-06,800,175.45,Closed,
PO-0000181,SUP-06546,EN-843,P4,2024-05-05,2024-05-19,200,21.44,Closed,
PO-0000182,SUP-08093,SC-729,P9,2025-04-14,2025-04-28,500,70.95,Closed,
PO-0000183,SUP-08436,EL-1184,P9,2025-10-15,2025-11-05,200,16.97,Late,
PO-0000184,SUP-03392,FL-513,P12,2026-02-09,2026-03-26,100,61.8,Closed,
PO-0000185,SUP-04777,EN-1246,P9,2024-05-30,2024-07-14,1200,26.86,Closed,
PO-0000186,SUP-00223,EL-415,P11,2026-08-16,2026-09-15,50,105.02,Late,
PO-0000187,SUP-02067,EC-1070,P1,2024-03-26,2024-04-16,1200,17.57,Closed,
PO-0000188,SUP-02313,SC-937,P5,2024-09-12,2024-10-27,800,,Open,
PO-0000189,SUP-07592,ST-445,P8,2024-03-10,2024-04-09,500,88.51,Closed,
PO-0000190,SUP-06617,FT-476,P1,2026-04-18,2026-05-02,100,128.17,Closed,
PO-0000191,SUP-07050,CH-165,P9,2024-07-11,2024-07-25,300,75.08,Closed,
PO-0000192,SUP-11920,EC-122,P7,2024-07-23,2024-09-21,200,24.32,Closed,
PO-0000193,SUP-01691,EL-482,P4,2025-05-02,2025-07-01,50,60.75,Closed,
PO-0000194,SUP-04858,CH-138,P5,2026-07-30,2026-08-13,200,13.95,Closed,
PO-0000195,SUP-14973,EL-1061,P1,2026-02-04,2026-03-21,200,22.28,Closed,
PO-0000196,SUP-02395,FL-429,P2,2024-03-26,2024-04-25,100,15.81,Closed,
PO-0000197,SUP-12043,CB-478,P6,2024-05-28,2024-07-12,100,15.46,Late,
PO-0000198,SUP-13397,EL-1195,P5,2026-01-01,2026-02-15,50,10.33,Closed,
PO-0000199,SUP-13184,CB-313,P11,2025-01-08,2025-01-22,500,43.49,Closed,
PO-0000200,SUP-11518,TR-742,P11,2025-09-19,2025-10-19,100,33.21,Open,
PO-0000201,SUP-11931,FT-221,P8,2024-01-09,2024-01-23,800,19.94,Cancelled,
PO-0000202,SUP-11976,CH-820,P2,2026-03-24,2026-04-23,100,7.81,Open,
PO-0000203,SUP-10808,ST-908,P4,2024-10-01,2024-11-30,1200,97.02,Closed,
PO-0000204,SUP-12744,CB-1232,P11,2024-08-17,2024-10-16,800,12.55,Closed,
PO-0000205,SUP-08333,FT-462,P12,2024-01-09,2024-02-23,200,24.82,Closed,
PO-0000206,SUP-13111,FT-878,P1,2024-05-20,2024-06-10,300,15.06,Closed,
PO-0000207,SUP-08087,ST-121,P3,2026-08-05,2026-09-19,800,6.57,Open,
PO-0000208,SUP-13573,SC-560,P2,2026-01-22,2026-02-12,500,15.54,Closed,
PO-0000209,SUP-13797,EL-363,P11,2024-03-13,2024-04-12,300,10.36,Open,
PO-0000210,SUP-04366,CB-257,P7,2025-09-19,2025-11-18,200,57.88,Cancelled,
PO-0000211,SUP-07941,ST-679,P4,2026-01-25,2026-03-11,800,34.74,Open,
PO-0000212,SUP-09284,TR-416,P5,2024-12-14,2025-02-12,300,3.66,Closed,
PO-0000213,SUP-10651,EL-1344,P12,2024-01-06,2024-02-20,300,15.34,Cancelled,
PO-0000214,SUP-10705,HY-722,P8,2024-01-12,2024-03-12,300,63.65,Open,
PO-0000215,SUP-13104,CB-746,P5,2024-01-01,2024-01-15,100,15.88,Closed,
PO-0000216,SUP-11490,SC-754,P10,2025-03-20,2025-04-03,50,,Closed,
PO-0000217,SUP-11408,ST-976,P6,2024-05-19,2024-06-09,1200,95.55,Closed,
PO-0000218,SUP-14273,CH-460,P6,2024-05-04,2024-07-03,200,63.58,Late,
PO-0000219,SUP-05813,FT-257,P4,2024-01-12,2024-02-02,200,17.6,Closed,
PO-0000220,SUP-08128,TR-1077,P11,2024-11-26,2024-12-17,50,,Open,
PO-0000221,SUP-08898,SC-1060,P5,2025-07-18,2025-09-01,800,31.58,Closed,
PO-0000222,SUP-03808,SC-466,P10,2024-10-28,2024-11-27,100,,Closed,
PO-0000223,SUP-06340,BR-344,P6,2026-04-30,2026-05-21,500,46.47,Partial,
PO-0000224,SUP-12765,ST-1272,P11,2025-12-03,2025-12-17,50,65.55,Closed,
PO-0000225,SUP-06101,BR-869,P11,2025-07-30,2025-08-13,200,46.51,Late,
PO-0000226,SUP-09084,EL-503,P3,2026-07-21,2026-09-04,800,365.2,Partial,
PO-0000227,SUP-13584,FL-575,P1,2024-08-30,2024-09-29,100,28.89,Closed,
PO-0000228,SUP-12187,BR-714,P6,2024-03-29,2024-04-12,300,24.56,Closed,
PO-0000229,SUP-11935,BR-667,P12,2025-03-25,2025-04-08,1200,52.02,Partial,
PO-0000230,SUP-01557,BR-262,P12,2025-04-18,2025-05-02,100,145.38,Closed,
PO-0000231,SUP-10626,HY-879,P5,2025-05-30,2025-06-29,200,5.4,Open,
PO-0000232,SUP-05970,FT-1156,P5,2025-07-14,2025-07-28,50,54.08,Late,
PO-0000233,SUP-12218,TR-423,P5,2026-02-14,2026-04-15,200,44.73,Closed,
PO-0000234,SUP-12199,FL-580,P2,2025-08-17,2025-09-16,100,40.79,Open,
PO-0000235,SUP-07768,FT-180,P9,2024-07-19,2024-09-17,100,12.83,Open,
PO-0000236,SUP-14780,FT-1243,P7,2024-12-22,2025-02-05,100,21.15,Closed,
PO-0000237,SUP-06166,FT-641,P5,2024-08-16,2024-10-15,300,130.21,Closed,
PO-0000238,SUP-08721,EL-738,P4,2026-01-07,2026-02-21,200,77.47,Closed,
PO-0000239,SUP-04872,HY-820,P8,2026-04-21,2026-05-05,500,153.61,Closed,
PO-0000240,SUP-04243,TR-674,P5,2025-04-08,2025-04-22,1200,21.12,Closed,
PO-0000241,SUP-11635,EL-493,P3,2025-10-10,2025-10-24,200,1.3,Closed,
PO-0000242,SUP-02802,TR-1226,P11,2024-08-03,2024-09-02,50,91.44,Closed,
PO-0000243,SUP-10947,CH-681,P10,2025-11-02,2026-01-01,100,129.83,Closed,
PO-0000244,SUP-02279,CB-1155,P1,2024-10-10,2024-11-24,100,44.32,Closed,
PO-0000245,SUP-03622,EN-997,P9,2026-03-21,2026-04-20,500,103.96,Closed,
PO-0000246,SUP-13535,ST-918,P7,2025-03-17,2025-03-31,100,1.81,Closed,
PO-0000247,SUP-12489,TR-337,P6,2024-04-27,2024-06-11,50,48.24,Closed,
PO-0000248,SUP-02366,FL-403,P8,2025-04-10,2025-04-24,1200,27.1,Partial,
PO-0000249,SUP-07127,CB-956,P5,2025-04-23,,300,14.3,Closed,
PO-0000250,SUP-10703,EN-983,P6,2024-01-11,2024-03-11,800,160.56,Late,
PO-0000251,SUP-02359,CH-189,P6,2024-09-14,2024-10-14,500,15.25,Closed,
PO-0000252,SUP-05201,HY-877,P2,2025-04-03,2025-04-17,800,8.64,Open,
PO-0000253,SUP-05961,EN-1216,P12,2026-03-20,2026-04-03,50,57.81,Open,
PO-0000254,SUP-05120,BR-1177,P12,2024-02-27,2024-03-12,1200,25.18,Closed,
PO-0000255,SUP-04983,BR-344,P12,2025-03-30,2025-05-29,800,48.47,Open,
PO-0000256,SUP-08891,CB-634,P10,2024-08-18,,50,250.6,Closed,
PO-0000257,SUP-07596,SC-1273,P5,2025-01-11,,300,75.63,Open,
PO-0000258,SUP-02031,HY-1198,P1,2026-08-15,2026-09-29,300,8.38,Late,
PO-0000259,SUP-07276,HY-1092,P8,2025-03-16,2025-04-15,200,24.96,Closed,
PO-0000260,SUP-10030,BR-957,P9,2024-09-13,2024-10-28,500,11.83,Open,
PO-0000261,SUP-08247,CB-1089,P11,2025-11-29,2026-01-13,100,6.32,Closed,
PO-0000262,SUP-06854,CH-1000,P12,2026-01-25,2026-02-24,50,24.98,Closed,
PO-0000263,SUP-06366,ST-1305,P8,2026-03-28,2026-04-27,800,11.73,Closed,
PO-0000264,SUP-08452,BR-362,P3,2026-05-06,2026-05-27,1200,85.91,Closed,
PO-0000265,SUP-02858,HY-1112,P9,2025-02-08,2025-02-22,300,8.93,Open,
PO-0000266,SUP-12209,CB-846,P2,2026-03-03,2026-03-17,300,113.6,Closed,
PO-0000267,SUP-02770,ST-1335,P12,2024-03-26,2024-05-10,50,17.53,Closed,
PO-0000268,SUP-10412,ST-854,P7,2025-07-10,2025-08-09,100,5.73,Closed,
PO-0000269,SUP-06647,ST-432,P6,2025-05-03,2025-07-02,200,15.62,Closed,
PO-0000270,SUP-07830,EC-1122,P3,2025-02-10,2025-04-11,200,6.88,Closed,
PO-0000271,SUP-02785,CH-358,P2,2025-04-30,2025-06-14,100,95.5,Closed,
PO-0000272,SUP-05238,EN-1095,P5,2025-02-25,2025-03-18,800,130.74,Closed,
PO-0000273,SUP-05417,ST-417,P9,2025-05-20,2025-06-19,800,17.31,Late,
PO-0000274,SUP-11207,SC-1154,P6,2026-03-16,2026-04-15,300,19.12,Closed,
PO-0000275,SUP-12995,BR-508,P7,2025-04-07,2025-05-07,1200,40.84,Closed,
PO-0000276,SUP-12164,SC-1300,P3,2025-06-22,2025-07-06,200,14.38,Partial,
PO-0000277,SUP-04257,EL-888,P8,2024-03-22,2024-05-06,1200,1.31,Closed,
PO-0000278,SUP-13341,HY-673,P2,2025-07-07,2025-09-05,200,46.42,Closed,
PO-0000279,SUP-02479,ST-833,P7,2026-03-29,2026-05-13,300,31.34,Closed,
PO-0000280,SUP-10088,SC-1329,P4,2025-12-08,2025-12-22,50,12.81,Open,
PO-0000281,SUP-09355,FT-949,P12,2025-10-24,2025-12-23,200,34.67,Closed,
PO-0000282,SUP-07175,FT-1058,P12,2024-07-12,2024-09-10,300,2.29,Closed,
PO-0000283,SUP-01872,ST-712,P12,2024-07-20,2024-09-03,1200,10.02,Partial,
PO-0000284,SUP-06278,EL-1061,P7,2025-08-23,2025-10-22,300,20.41,Cancelled,
PO-0000285,SUP-01875,BR-701,P5,2026-03-12,2026-04-11,100,31.07,Closed,
PO-0000286,SUP-10636,BR-331,P8,2024-07-18,2024-08-01,800,4.64,Partial,
PO-0000287,SUP-05191,EC-803,P8,2025-08-26,2025-10-10,1200,,Closed,
PO-0000288,SUP-10632,HY-1091,P9,2024-04-09,2024-04-23,500,10.78,Late,
PO-0000289,SUP-09435,FT-1165,P9,2024-06-27,2024-07-18,200,29.65,Late,
PO-0000290,SUP-14055,CB-1013,P11,2025-08-18,2025-09-08,200,50.5,Cancelled,
PO-0000291,SUP-01033,CH-220,P11,2024-05-14,2024-06-04,100,,Partial,
PO-0000292,SUP-09494,SC-1001,P4,2024-05-25,2024-07-24,50,9.31,Closed,
PO-0000293,SUP-09742,EN-647,P6,2025-01-14,2025-02-13,200,10.43,Closed,
PO-0000294,SUP-01033,SC-1222,P11,2025-01-24,2025-03-10,200,70.31,Closed,
PO-0000295,SUP-05533,HY-1221,P12,2024-10-08,2024-11-22,500,27.6,Closed,
PO-0000296,SUP-03811,BR-189,P11,2024-11-20,2024-12-11,500,9.64,Open,
PO-0000297,SUP-13215,CH-1048,P9,2025-11-20,2026-01-19,500,31.44,Open,
