part_id,part_name,part_category,unit_of_measure,unit_cost,lead_time_days,safety_stock_qty,is_critical,min_order_qty,part_status,weight_kg,part_notes
EN-137,Engine Mount 137,Engine,EA,15.73,,75,False,,Active,5.02,
EN-138,Piston Assembly 138,Engine,EA,,14.0,200,False,100.0,Active,1.32,
EN-139,Camshaft 139,Engine,EA,56.13,45.0,200,False,50.0,Active,1.28,
EN-140,Camshaft 140,Engine,KG,19.06,35.0,75,False,25.0,Active,2.03,
EN-141,Exhaust Manifold 141,Engine,L,9.08,7.0,200,False,5.0,Active,11.14,
EN-142,Oil Pump 142,Engine,M,5.75,35.0,100,False,100.0,Active,0.88,
EN-143,Fuel Injector 143,Engine,KG,27.57,45.0,100,False,100.0,Active,6.47,
EN-144,Air Filter Housing 144,Engine,EA,6.82,,200,False,50.0,Active,2.09,
EN-145,Crankshaft Sensor Bracket 145,Engine,EA,,35.0,100,False,100.0,Active,20.06,
EN-146,Piston Assembly 146,Engine,EA,11.5,75.0,50,False,1.0,Active,48.79,
EN-147,Engine Mount 147,Engine,EA,7.92,35.0,75,False,1.0,Active,10.4,
EN-148,Piston Assembly 148,Engine,EA,16.15,,200,False,100.0,Active,12.01,
EN-149,Crankshaft Sensor Bracket 149,Engine,KG,12.09,60.0,300,False,25.0,Active,8.01,
EN-150,Oil Pump 150,Engine,KG,16.38,45.0,200,False,10.0,Active,0.87,
EN-151,Exhaust Manifold 151,Engine,KG,8.87,28.0,150,False,1.0,Active,2.46,
EN-152,Camshaft 152,Engine,EA,7.09,35.0,500,False,50.0,Active,6.71,
EN-153,Exhaust Manifold 153,Engine,EA,17.76,75.0,300,False,50.0,Active,17.71,
EN-154,Cylinder Head 154,Engine,EA,13.3,45.0,200,False,50.0,Active,3.98,
EN-155,Piston Assembly 155,Engine,KG,87.58,14.0,300,False,10.0,Active,4.96,
EN-156,Fuel Injector 156,Engine,EA,16.71,45.0,75,False,25.0,Active,0.45,
EN-157,Cylinder Head 157,Engine,EA,6.75,14.0,200,False,1.0,Active,8.42,
EN-158,Oil Pump 158,Engine,EA,59.01,14.0,50,False,10.0,Active,14.75,
EN-159,Piston Assembly 159,Engine,EA,82.11,75.0,25,False,1.0,Active,1.97,
EN-160,Cylinder Head 160,Engine,EA,25.87,7.0,100,False,25.0,Active,,
EN-161,Piston Assembly 161,Engine,EA,24.7,45.0,500,False,1.0,Active,0.08,
EN-162,Engine Mount 162,Engine,EA,4.92,14.0,25,False,50.0,Active,3.51,
EN-163,Oil Pump 163,Engine,EA,262.29,28.0,25,False,25.0,Active,4.9,
EN-164,Air Filter Housing 164,Engine,EA,,28.0,25,False,10.0,EOL,3.36,
EN-165,Camshaft 165,Engine,EA,227.08,14.0,100,False,5.0,NRND,1.6,
EN-166,Turbocharger Unit 166,Engine,EA,29.97,21.0,25,False,5.0,Active,0.79,
EN-167,Camshaft 167,Engine,EA,21.03,90.0,100,False,100.0,Active,,
EN-168,Camshaft 168,Engine,M,9.85,90.0,75,False,25.0,Active,35.81,
EN-169,Cylinder Head 169,Engine,EA,117.12,60.0,300,False,5.0,Active,5.42,
EN-170,Oil Pump 170,Engine,EA,4.37,,500,False,1.0,New,3.1,
EN-171,Piston Assembly 171,Engine,EA,9.42,21.0,150,False,100.0,Active,,
EN-172,Exhaust Manifold 172,Engine,EA,8.91,90.0,100,False,100.0,Active,1.46,
EN-173,Turbocharger Unit 173,Engine,EA,27.39,14.0,25,False,10.0,New,6.34,
EN-174,Crankshaft Sensor Bracket 174,Engine,EA,25.26,60.0,500,False,1.0,Active,5.69,
EN-175,Cylinder Head 175,Engine,EA,,14.0,150,False,1.0,Active,0.87,
EN-176,Turbocharger Unit 176,Engine,EA,13.91,14.0,100,False,10.0,Active,1.14,
EN-177,Air Filter Housing 177,Engine,EA,2.58,14.0,200,False,10.0,Active,11.02,
EN-178,Engine Mount 178,Engine,EA,55.5,14.0,50,False,50.0,Active,2.73,
EN-179,Oil Pump 179,Engine,KG,8.37,28.0,200,False,5.0,Active,0.69,
EN-180,Crankshaft Sensor Bracket 180,Engine,EA,1.54,14.0,500,False,100.0,Active,16.49,
EN-181,Cylinder Head 181,Engine,EA,15.38,90.0,300,False,50.0,Active,4.21,
EN-182,Camshaft 182,Engine,L,12.51,45.0,300,False,,Active,0.3,
EN-183,Fuel Injector 183,Engine,M,13.11,14.0,25,False,50.0,Active,0.64,
EN-184,Cylinder Head 184,Engine,EA,257.35,28.0,75,False,100.0,Active,2.15,
EN-185,Fuel Injector 185,Engine,L,38.51,35.0,100,False,100.0,EOL,1.45,
EN-186,Camshaft 186,Engine,EA,53.72,35.0,150,False,100.0,Active,1.28,
EN-187,Engine Mount 187,Engine,EA,9.64,45.0,300,False,25.0,New,4.34,
EN-188,Oil Pump 188,Engine,EA,7.5,21.0,500,False,100.0,Active,8.37,
EN-189,Piston Assembly 189,Engine,EA,374.69,45.0,50,False,100.0,Active,1.08,
EN-190,Cylinder Head 190,Engine,EA,48.08,7.0,150,False,50.0,Active,0.79,
EN-191,Exhaust Manifold 191,Engine,L,70.91,45.0,150,False,1.0,Active,56.16,
EN-192,Camshaft 192,Engine,EA,28.21,75.0,25,False,25.0,Active,4.86,
EN-193,Cylinder Head 193,Engine,EA,40.27,14.0,75,False,100.0,New,50.59,
EN-194,Air Filter Housing 194,Engine,EA,337.38,14.0,50,False,10.0,Active,1.91,
EN-195,Engine Mount 195,Engine,KG,10.8,45.0,150,False,100.0,Active,7.08,
EN-196,Air Filter Housing 196,Engine,L,24.59,60.0,100,False,100.0,Active,3.07,
EN-197,Turbocharger Unit 197,Engine,EA,36.6,7.0,200,False,5.0,Active,5.64,
EN-198,Oil Pump 198,Engine,EA,,21.0,100,False,100.0,Active,16.14,
EN-199,Turbocharger Unit 199,Engine,KG,43.93,28.0,50,False,1.0,Active,24.96,
EN-200,Cylinder Head 200,Engine,EA,41.99,,75,False,10.0,Active,1.83,
EN-201,Crankshaft Sensor Bracket 201,Engine,EA,43.02,45.0,100,False,1.0,Active,10.54,
EN-202,Crankshaft Sensor Bracket 202,Engine,KG,80.88,14.0,200,False,1.0,Active,3.15,
EN-203,Oil Pump 203,Engine,EA,34.34,21.0,200,False,5.0,Active,4.6,
EN-204,Exhaust Manifold 204,Engine,EA,92.98,21.0,500,False,5.0,Active,2.09,
EN-205,Engine Mount 205,Engine,EA,98.96,35.0,50,False,5.0,NRND,7.71,
EN-206,Exhaust Manifold 206,Engine,KG,7.53,14.0,300,True,50.0,Active,1.92,
EN-207,Engine Mount 207,Engine,EA,26.04,35.0,50,False,5.0,Active,0.15,
EN-208,Camshaft 208,Engine,EA,10.34,90.0,200,False,10.0,Active,5.86,
EN-209,Cylinder Head 209,Engine,M,4.91,90.0,200,False,50.0,Active,3.95,
EN-210,Turbocharger Unit 210,Engine,L,23.7,28.0,75,False,25.0,Active,8.24,
EN-211,Crankshaft Sensor Bracket 211,Engine,EA,9.86,35.0,100,False,100.0,Active,1.82,
EN-212,Air Filter Housing 212,Engine,EA,13.79,,150,False,50.0,Active,29.65,
EN-213,Piston Assembly 213,Engine,EA,10.35,28.0,300,False,5.0,Active,2.08,
EN-214,Fuel Injector 214,Engine,KG,13.2,45.0,150,False,1.0,EOL,1.86,
EN-215,Piston Assembly 215,Engine,EA,67.17,21.0,150,False,50.0,Active,2.98,
EN-216,Turbocharger Unit 216,Engine,EA,261.99,28.0,500,False,100.0,Active,7.13,
EN-217,Turbocharger Unit 217,Engine,EA,27.49,14.0,25,False,1.0,Active,,
EN-218,Engine Mount 218,Engine,EA,29.66,21.0,75,False,100.0,Active,0.44,
EN-219,Exhaust Manifold 219,Engine,EA,58.21,45.0,50,False,50.0,Active,3.91,
EN-220,Piston Assembly 220,Engine,EA,38.97,45.0,200,False,5.0,New,4.87,
EN-221,Engine Mount 221,Engine,L,9.65,21.0,200,False,50.0,Active,5.68,
EN-222,Engine Mount 222,Engine,EA,9.75,,75,False,10.0,Active,5.17,
EN-223,Exhaust Manifold 223,Engine,EA,47.83,28.0,150,False,10.0,Active,7.88,
EN-224,Air Filter Housing 224,Engine,EA,3.73,35.0,200,False,,Active,0.91,
EN-225,Crankshaft Sensor Bracket 225,Engine,M,48.56,7.0,50,False,50.0,EOL,23.13,
EN-226,Oil Pump 226,Engine,L,4.03,14.0,300,False,10.0,Active,20.34,
EN-227,Crankshaft Sensor Bracket 227,Engine,EA,14.26,21.0,25,False,1.0,Active,2.55,
EN-228,Fuel Injector 228,Engine,EA,59.69,,100,False,100.0,New,6.32,
EN-229,Piston Assembly 229,Engine,L,84.56,21.0,25,False,1.0,Active,1.82,
EN-230,Crankshaft Sensor Bracket 230,Engine,EA,23.13,14.0,25,False,1.0,Active,4.18,
EN-231,Oil Pump 231,Engine,L,6.53,90.0,500,False,100.0,Active,12.84,
EN-232,Camshaft 232,Engine,EA,94.25,14.0,300,False,1.0,Active,2.47,
EN-233,Piston Assembly 233,Engine,EA,10.07,45.0,75,False,100.0,Active,1.19,
EN-234,Oil Pump 234,Engine,EA,14.14,90.0,25,False,5.0,Active,3.63,
EN-235,Engine Mount 235,Engine,EA,56.42,45.0,500,True,25.0,Active,4.48,
EN-236,Turbocharger Unit 236,Engine,L,23.12,35.0,25,False,25.0,Active,1.19,
EN-237,Air Filter Housing 237,Engine,KG,11.61,45.0,200,False,5.0,EOL,2.61,
EN-238,Fuel Injector 238,Engine,EA,8.18,14.0,50,False,5.0,Active,8.73,
EN-239,Oil Pump 239,Engine,EA,313.54,28.0,50,False,50.0,Active,29.7,
EN-240,Crankshaft Sensor Bracket 240,Engine,EA,38.32,28.0,500,False,50.0,NRND,7.9,
EN-241,Turbocharger Unit 241,Engine,EA,5.12,60.0,50,False,5.0,Active,0.51,
EN-242,Crankshaft Sensor Bracket 242,Engine,EA,33.24,28.0,75,False,1.0,Active,0.32,
EN-243,Piston Assembly 243,Engine,KG,2.6,45.0,200,False,50.0,Active,1.12,
EN-244,Oil Pump 244,Engine,KG,47.81,21.0,25,False,100.0,NRND,4.76,
EN-245,Crankshaft Sensor Bracket 245,Engine,EA,72.61,14.0,500,False,1.0,Active,0.09,
EN-246,Exhaust Manifold 246,Engine,EA,9.49,,100,False,100.0,EOL,0.2,
EN-247,Cylinder Head 247,Engine,KG,53.11,7.0,75,False,10.0,Active,3.69,
EN-248,Turbocharger Unit 248,Engine,EA,74.36,75.0,75,False,10.0,New,3.06,
EN-249,Camshaft 249,Engine,EA,,75.0,200,False,50.0,Active,25.32,
EN-250,Turbocharger Unit 250,Engine,EA,17.7,28.0,75,False,100.0,Active,4.39,
EN-251,Crankshaft Sensor Bracket 251,Engine,EA,127.46,35.0,100,False,10.0,Active,,
EN-252,Crankshaft Sensor Bracket 252,Engine,EA,0.82,14.0,50,False,25.0,Active,0.57,
EN-253,Fuel Injector 253,Engine,EA,9.96,28.0,100,True,5.0,Active,1.86,
EN-254,Exhaust Manifold 254,Engine,EA,3.03,35.0,75,False,1.0,Active,17.07,
EN-255,Camshaft 255,Engine,EA,7.35,14.0,500,False,10.0,New,0.31,
EN-256,Air Filter Housing 256,Engine,KG,68.15,14.0,100,False,25.0,Active,2.44,
EN-257,Fuel Injector 257,Engine,KG,267.24,14.0,25,False,25.0,Active,0.97,
EN-258,Piston Assembly 258,Engine,EA,22.53,35.0,75,False,10.0,Active,3.54,
EN-259,Camshaft 259,Engine,EA,102.5,21.0,200,False,100.0,Active,1.46,
EN-260,Oil Pump 260,Engine,EA,24.21,14.0,300,False,1.0,Active,1.95,
EN-261,Cylinder Head 261,Engine,EA,13.23,7.0,100,False,50.0,EOL,8.52,
EN-262,Fuel Injector 262,Engine,KG,28.5,90.0,500,False,50.0,Active,10.21,
EN-263,Cylinder Head 263,Engine,EA,23.58,35.0,100,False,10.0,Active,1.3,
EN-264,Exhaust Manifold 264,Engine,KG,49.2,21.0,150,False,10.0,Active,1.42,
EN-265,Piston Assembly 265,Engine,EA,5.51,45.0,25,False,10.0,Active,3.41,
EN-266,Piston Assembly 266,Engine,EA,41.69,14.0,500,False,1.0,Active,0.75,
EN-267,Air Filter Housing 267,Engine,KG,35.27,35.0,200,False,25.0,Active,46.93,
EN-268,Piston Assembly 268,Engine,KG,63.4,7.0,50,False,25.0,Active,7.25,
EN-269,Crankshaft Sensor Bracket 269,Engine,KG,12.57,45.0,150,False,5.0,Active,8.45,
EN-270,Turbocharger Unit 270,Engine,EA,30.39,35.0,50,False,25.0,EOL,9.52,
EN-271,Turbocharger Unit 271,Engine,EA,5.28,45.0,50,False,25.0,Active,44.58,
EN-272,Air Filter Housing 272,Engine,EA,8.41,21.0,200,False,25.0,New,14.08,
EN-273,Crankshaft Sensor Bracket 273,Engine,EA,15.93,7.0,150,False,10.0,Active,3.1,
EN-274,Turbocharger Unit 274,Engine,EA,796.52,60.0,100,False,5.0,Active,9.3,
EN-275,Oil Pump 275,Engine,EA,5.84,21.0,300,False,50.0,Active,1.52,
EN-276,Crankshaft Sensor Bracket 276,Engine,KG,16.14,14.0,25,False,50.0,Active,2.82,
EN-277,Exhaust Manifold 277,Engine,EA,12.35,14.0,200,False,25.0,Active,1.58,
EN-278,Engine Mount 278,Engine,EA,33.19,60.0,50,False,10.0,Active,1.03,
EN-279,Cylinder Head 279,Engine,KG,295.84,60.0,200,False,1.0,Active,20.33,
EN-280,Crankshaft Sensor Bracket 280,Engine,EA,44.49,35.0,200,False,25.0,New,3.3,
EN-281,Cylinder Head 281,Engine,M,431.85,90.0,25,False,1.0,NRND,4.44,
EN-282,Oil Pump 282,Engine,EA,68.86,45.0,500,False,10.0,Active,6.2,
EN-283,Engine Mount 283,Engine,EA,26.74,75.0,300,False,25.0,New,,
EN-284,Camshaft 284,Engine,EA,24.39,21.0,200,False,25.0,Active,3.51,
EN-285,Air Filter Housing 285,Engine,EA,27.46,75.0,50,True,5.0,EOL,3.19,
EN-286,Crankshaft Sensor Bracket 286,Engine,M,43.51,75.0,300,False,25.0,Active,0.35,
EN-287,Air Filter Housing 287,Engine,KG,22.66,28.0,75,False,100.0,Active,2.78,
EN-288,Piston Assembly 288,Engine,EA,264.88,28.0,25,False,50.0,Active,0.36,
EN-289,Cylinder Head 289,Engine,EA,30.57,28.0,300,False,100.0,Active,0.34,
EN-290,Cylinder Head 290,Engine,EA,12.23,21.0,150,False,25.0,Active,25.25,
EN-291,Piston Assembly 291,Engine,EA,6.95,21.0,150,False,10.0,Active,54.58,
EN-292,Camshaft 292,Engine,KG,,21.0,500,False,10.0,Active,4.31,
EN-293,Fuel Injector 293,Engine,EA,16.32,28.0,300,False,1.0,Active,19.87,
EN-294,Exhaust Manifold 294,Engine,M,5.37,45.0,75,False,25.0,Active,3.21,
EN-295,Crankshaft Sensor Bracket 295,Engine,L,30.32,90.0,75,False,,Active,1.52,
EN-296,Cylinder Head 296,Engine,EA,6.26,7.0,150,False,,Active,6.97,
EN-297,Exhaust Manifold 297,Engine,EA,116.96,45.0,300,False,50.0,Active,2.76,
EN-298,Cylinder Head 298,Engine,EA,14.26,7.0,75,False,1.0,Active,9.25,
EN-299,Fuel Injector 299,Engine,EA,18.25,21.0,50,False,1.0,Active,1.05,
EN-300,Piston Assembly 300,Engine,EA,2.05,14.0,25,False,5.0,New,1.3,
EN-301,Fuel Injector 301,Engine,EA,71.12,75.0,200,False,25.0,Active,11.14,
EN-302,Cylinder Head 302,Engine,EA,17.85,14.0,150,False,25.0,Active,11.9,
EN-303,Piston Assembly 303,Engine,EA,11.5,,300,False,100.0,Active,4.81,
EN-304,Fuel Injector 304,Engine,EA,13.29,21.0,75,False,,Active,1.21,
EN-305,Camshaft 305,Engine,KG,7.45,21.0,25,False,25.0,Active,4.41,
EN-306,Piston Assembly 306,Engine,EA,11.56,90.0,200,False,50.0,Active,0.79,
EN-307,Crankshaft Sensor Bracket 307,Engine,EA,30.09,14.0,300,False,5.0,Active,3.77,
EN-308,Cylinder Head 308,Engine,KG,8.32,,75,False,100.0,Active,2.11,
EN-309,Oil Pump 309,Engine,EA,19.82,21.0,500,False,10.0,Active,1.23,
EN-310,Air Filter Housing 310,Engine,EA,8.34,21.0,150,False,25.0,Active,6.12,
EN-311,Cylinder Head 311,Engine,KG,10.7,21.0,75,False,1.0,Active,6.56,
EN-312,Crankshaft Sensor Bracket 312,Engine,EA,16.28,21.0,150,False,1.0,Active,25.77,
EN-313,Turbocharger Unit 313,Engine,EA,18.03,28.0,25,False,100.0,Active,3.06,
EN-314,Exhaust Manifold 314,Engine,EA,67.03,28.0,150,False,50.0,Active,5.58,
EN-315,Exhaust Manifold 315,Engine,M,13.95,35.0,50,False,10.0,Active,4.64,
EN-316,Air Filter Housing 316,Engine,L,10.3,60.0,100,False,50.0,Active,8.28,
EN-317,Cylinder Head 317,Engine,EA,35.98,90.0,500,False,1.0,Active,2.3,
EN-318,Air Filter Housing 318,Engine,EA,42.22,35.0,50,False,5.0,NRND,,
EN-319,Engine Mount 319,Engine,EA,36.09,14.0,500,False,5.0,Active,2.59,
EN-320,Cylinder Head 320,Engine,L,71.1,,100,False,1.0,Active,0.34,
EN-321,Piston Assembly 321,Engine,KG,11.12,35.0,75,False,5.0,Active,1.54,
EN-322,Piston Assembly 322,Engine,EA,69.66,60.0,25,False,100.0,Active,3.49,
EN-323,Engine Mount 323,Engine,EA,,14.0,50,False,1.0,Active,6.51,
EN-324,Camshaft 324,Engine,M,104.17,21.0,50,False,5.0,Active,0.53,
EN-325,Engine Mount 325,Engine,EA,90.84,35.0,200,False,10.0,Active,6.83,
EN-326,Engine Mount 326,Engine,EA,2.57,14.0,200,False,25.0,Active,0.48,
EN-327,Air Filter Housing 327,Engine,KG,16.93,60.0,75,False,50.0,Active,1.49,
EN-328,Fuel Injector 328,Engine,EA,14.33,21.0,500,False,50.0,Active,5.11,
EN-329,Piston Assembly 329,Engine,EA,39.9,7.0,100,False,,Active,4.54,
EN-330,Fuel Injector 330,Engine,EA,38.48,35.0,100,False,100.0,Active,1.37,
EN-331,Engine Mount 331,Engine,M,7.72,35.0,50,False,25.0,Active,6.59,
EN-332,Camshaft 332,Engine,EA,7.69,28.0,100,False,5.0,Active,7.81,
EN-333,Piston Assembly 333,Engine,EA,183.87,14.0,150,False,10.0,Active,1.58,
EN-334,Cylinder Head 334,Engine,EA,4.72,7.0,50,False,25.0,Active,1.12,
EN-335,Cylinder Head 335,Engine,EA,25.9,21.0,150,False,100.0,NRND,1.4,
EN-336,Cylinder Head 336,Engine,EA,71.7,14.0,100,False,10.0,Active,39.68,
EN-337,Crankshaft Sensor Bracket 337,Engine,KG,17.62,14.0,150,False,100.0,Active,0.67,
EN-338,Air Filter Housing 338,Engine,EA,32.98,28.0,75,False,100.0,Active,11.52,
EN-339,Turbocharger Unit 339,Engine,EA,,35.0,25,False,25.0,Active,5.91,
EN-340,Engine Mount 340,Engine,EA,62.77,7.0,150,False,10.0,Active,2.87,
EN-341,Turbocharger Unit 341,Engine,EA,3.23,,25,False,1.0,Active,0.68,
EN-342,Oil Pump 342,Engine,L,17.0,35.0,500,False,10.0,Active,0.37,
EN-343,Air Filter Housing 343,Engine,EA,10.51,35.0,50,False,10.0,Active,0.16,
EN-344,Cylinder Head 344,Engine,EA,38.15,7.0,50,False,50.0,Active,7.45,
EN-345,Piston Assembly 345,Engine,EA,16.01,,75,False,5.0,New,3.98,
EN-346,Air Filter Housing 346,Engine,EA,13.66,14.0,100,False,10.0,NRND,2.69,
EN-347,Crankshaft Sensor Bracket 347,Engine,EA,33.4,7.0,300,False,25.0,Active,5.53,
EN-348,Piston Assembly 348,Engine,KG,23.92,,50,False,50.0,Active,3.91,
EN-349,Fuel Injector 349,Engine,KG,31.57,75.0,50,False,25.0,Active,18.15,
EN-350,Crankshaft Sensor Bracket 350,Engine,EA,4.66,,200,False,1.0,Active,12.26,
EN-351,Fuel Injector 351,Engine,EA,21.58,90.0,200,False,100.0,Active,6.84,
EN-352,Piston Assembly 352,Engine,EA,99.42,45.0,300,False,5.0,Active,5.02,
EN-353,Cylinder Head 353,Engine,KG,89.69,35.0,75,False,1.0,Active,16.74,
EN-354,Turbocharger Unit 354,Engine,EA,13.61,7.0,100,False,5.0,Active,2.8,
EN-355,Engine Mount 355,Engine,EA,37.25,14.0,25,False,10.0,Active,0.05,
EN-356,Air Filter Housing 356,Engine,EA,60.41,45.0,100,False,100.0,Active,1.45,
EN-357,Air Filter Housing 357,Engine,EA,61.07,35.0,200,False,50.0,Active,0.58,
EN-358,Cylinder Head 358,Engine,EA,27.74,28.0,75,False,25.0,Active,9.5,
EN-359,Engine Mount 359,Engine,KG,78.84,21.0,500,False,5.0,Active,0.17,
EN-360,Fuel Injector 360,Engine,EA,154.84,14.0,200,False,5.0,Active,1.27,
EN-361,Turbocharger Unit 361,Engine,EA,339.47,75.0,200,False,25.0,Active,15.0,
EN-362,Engine Mount 362,Engine,EA,20.84,14.0,300,False,1.0,Active,0.21,
EN-363,Fuel Injector 363,Engine,EA,9.16,28.0,75,False,5.0,Active,26.05,
EN-364,Engine Mount 364,Engine,EA,51.83,60.0,150,False,5.0,Active,4.23,
EN-365,Oil Pump 365,Engine,EA,16.19,45.0,75,False,100.0,Active,1.06,
EN-366,Air Filter Housing 366,Engine,EA,23.01,60.0,200,False,100.0,EOL,0.42,
EN-367,Oil Pump 367,Engine,M,3.58,21.0,25,False,1.0,Active,2.19,
EN-368,Engine Mount 368,Engine,EA,43.6,35.0,25,False,10.0,Active,,
EN-369,Crankshaft Sensor Bracket 369,Engine,EA,8.0,28.0,200,False,5.0,Active,9.48,
EN-370,Air Filter Housing 370,Engine,M,17.53,45.0,50,False,5.0,Active,0.42,
EN-371,Turbocharger Unit 371,Engine,EA,,7.0,300,False,50.0,Active,0.29,
EN-372,Cylinder Head 372,Engine,EA,1.61,21.0,25,False,1.0,Active,0.3,
EN-373,Oil Pump 373,Engine,KG,22.2,28.0,25,False,50.0,Active,3.93,
EN-374,Cylinder Head 374,Engine,EA,11.07,28.0,150,False,10.0,Active,1.86,
EN-375,Fuel Injector 375,Engine,EA,22.77,28.0,100,False,100.0,Active,16.74,
EN-376,Exhaust Manifold 376,Engine,EA,17.02,75.0,75,False,25.0,Active,6.56,
EN-377,Crankshaft Sensor Bracket 377,Engine,EA,51.82,21.0,300,False,10.0,Active,7.09,
EN-378,Fuel Injector 378,Engine,EA,27.19,28.0,500,False,10.0,Active,23.8,
EN-379,Camshaft 379,Engine,EA,26.33,35.0,200,False,10.0,Active,3.04,
EN-380,Fuel Injector 380,Engine,EA,12.97,14.0,300,False,1.0,Active,1.92,
EN-381,Fuel Injector 381,Engine,EA,35.1,7.0,100,False,10.0,Active,5.53,
EN-382,Exhaust Manifold 382,Engine,L,2.74,14.0,75,False,100.0,Active,2.31,
EN-383,Air Filter Housing 383,Engine,EA,17.68,,300,False,1.0,Active,53.88,
EN-384,Crankshaft Sensor Bracket 384,Engine,EA,25.38,14.0,300,False,25.0,Active,1.31,
EN-385,Crankshaft Sensor Bracket 385,Engine,KG,18.68,21.0,500,False,1.0,Active,4.07,
EN-386,Turbocharger Unit 386,Engine,EA,28.28,28.0,200,False,1.0,Active,2.17,
EN-387,Fuel Injector 387,Engine,EA,11.95,35.0,150,False,100.0,Active,1.08,
EN-388,Crankshaft Sensor Bracket 388,Engine,EA,6.65,28.0,300,False,25.0,Active,2.62,
EN-389,Piston Assembly 389,Engine,EA,4.8,60.0,75,False,1.0,Active,2.8,
EN-390,Turbocharger Unit 390,Engine,EA,8.27,14.0,300,False,50.0,Active,3.13,
EN-391,Piston Assembly 391,Engine,EA,175.35,14.0,50,False,5.0,Active,10.44,
EN-392,Exhaust Manifold 392,Engine,EA,6.1,90.0,100,False,50.0,Active,0.69,
EN-393,Piston Assembly 393,Engine,EA,20.1,45.0,50,False,100.0,Active,0.56,
EN-394,Cylinder Head 394,Engine,M,37.25,75.0,75,False,10.0,Active,3.22,
EN-395,Engine Mount 395,Engine,EA,7.86,90.0,500,False,10.0,Active,5.21,
EN-396,Piston Assembly 396,Engine,EA,100.11,28.0,75,False,100.0,Active,17.12,
EN-397,Exhaust Manifold 397,Engine,EA,9.11,35.0,75,False,10.0,Active,1.76,
EN-398,Cylinder Head 398,Engine,EA,27.57,14.0,300,False,1.0,Active,0.88,
