supplier_id,supplier_name,supplier_country,supplier_region,supplier_tier,risk_rating,onboarding_date,certification_status,payment_terms,active_flag,supplier_notes
SUP-00082,Bluewater Industries,Czech Republic,Europe,Tier3,Low,2015-05-06,ISO9001,Net45,False,
SUP-00083,Keystone Electronics,United Kingdom,Europe,Tier3,Low,2024-09-15,Pending,Net60,True,
SUP-00084,Falcon Assemblies,China,Asia-Pacific,Tier2,Low,2016-07-14,ISO9001,Net30,True,
SUP-00085,Keystone Electronics,Spain,Europe,Tier1,Low,2018-09-02,ISO9001,,True,
SUP-00086,Union Electronics,South Korea,Asia-Pacific,Tier2,Medium,2015-08-19,Pending,Net45,False,
SUP-00087,Pioneer Sensor Systems,,Europe,Tier3,Low,2016-11-08,ISO9001,Net60,True,
SUP-00088,Crestline Castings,Canada,North America,Tier2,Low,2017-02-04,Pending,Net60,True,
SUP-00089,Crestline Components Group,Poland,Europe,Tier1,Low,2025-07-28,ISO9001,Net45,True,
SUP-00090,Bluewater Supply Co.,Poland,Europe,Tier1,Medium,2025-12-13,ISO9001,Net30,True,
SUP-00091,Harbor Sensor Systems,Poland,Europe,Tier3,Medium-High,2018-01-02,ISO9001,Net45,False,
SUP-00092,Titan Manufacturing,Germany,Europe,Tier2,Low,2025-07-18,ISO9001,Net30,True,
SUP-00093,Atlas Manufacturing,United Kingdom,Europe,Tier2,Low,2023-04-12,IATF16949,Net30,True,
SUP-00094,Pioneer Manufacturing,Czech Republic,Europe,Tier2,Low,2024-02-10,ISO9001,Net30,True,
SUP-00095,Compass Manufacturing,Thailand,Asia-Pacific,Tier2,Low,2015-06-11,ISO9001,Net30,True,
SUP-00096,Vertex Tooling,Mexico,North America,Tier2,Low,2023-11-02,Pending,Net60,False,
SUP-00097,Vertex Manufacturing,United States,North America,Tier2,Medium-High,2023-12-28,IATF16949,Net60,True,
SUP-00098,Meridian Machining,Germany,Europe,Tier1,Medium-High,2020-11-07,Not Certified,Net30,True,
SUP-00099,Delta Sensor Systems,Mexico,North America,Tier1,Low,2015-02-28,ISO9001,Net30,True,
SUP-00100,Ironclad Sensor Systems,United States,North America,Tier1,Low,2020-07-25,ISO9001,Net45,True,
SUP-00101,NorthStar Castings,Germany,Europe,Tier1,Medium,2018-10-21,IATF16949,Net30,False,
SUP-00102,Beacon Tooling,Germany,Europe,Tier1,Low,2022-03-03,IATF16949,Net30,True,
SUP-00103,Delta Forge Works,China,Asia-Pacific,Tier1,Low,2017-04-29,ISO9001,Net60,True,
SUP-00104,Delta Tooling,Mexico,North America,Tier3,Medium,2017-06-04,Pending,Net60,False,
SUP-00105,Delta Hydraulics,Mexico,North America,Tier2,Medium,2016-10-05,ISO9001,Net30,False,
SUP-00106,Keystone Metalworks,Thailand,Asia-Pacific,Tier1,High,2016-04-08,ISO9001,Net30,True,
SUP-00107,Falcon Manufacturing,France,Europe,Tier3,Low,2025-09-01,ISO9001,Net30,True,
SUP-00108,Summit Machining,Mexico,North America,Tier2,Medium,2017-05-20,ISO9001,Net60,True,
SUP-00109,Compass Electronics,Canada,North America,Tier1,Low,2025-04-06,ISO9001,Net30,True,
SUP-00110,Summit Manufacturing,Germany,Europe,Tier2,Low,2021-02-20,Pending,Net30,True,
SUP-00111,NorthStar Hydraulics,India,Asia-Pacific,Tier2,Low,2021-05-25,ISO9001,Net45,True,
SUP-00112,Windsor Manufacturing,United States,North America,Tier2,Low,2021-03-06,ISO9001,Net45,True,
SUP-00113,Ironclad Assemblies,Germany,Europe,Tier1,Medium-High,2023-07-06,ISO9001,Net30,True,
SUP-00114,Beacon Electronics,France,Europe,Tier2,Low,2020-03-23,IATF16949,Net30,True,
SUP-00115,Bluewater Electronics,Mexico,North America,Tier1,Medium,2017-07-09,Pending,Net30,True,
SUP-00116,Horizon Hydraulics,Japan,Asia-Pacific,Tier3,Low,2016-10-08,,Net60,True,
SUP-00117,NorthStar Fabrication,Italy,Europe,Tier2,Medium,2024-09-09,Pending,Net45,True,
SUP-00118,Vertex Hydraulics,China,Asia-Pacific,Tier2,Low,2022-03-14,ISO9001,Net45,True,
SUP-00119,Union Metalworks,United States,North America,Tier1,Medium-High,2015-04-06,IATF16949,,True,
SUP-00120,Falcon Castings,Italy,Europe,Tier2,Low,2022-06-04,Pending,Net45,True,
SUP-00121,Summit Castings,China,Asia-Pacific,Tier2,High,2016-08-31,,Net45,True,
SUP-00122,Keystone Fabrication,China,Asia-Pacific,Tier1,Medium,2016-06-01,,Net45,True,
SUP-00123,Windsor Manufacturing,China,Asia-Pacific,Tier1,Medium-High,2021-12-10,Not Certified,Net60,True,
SUP-00124,Bluewater Manufacturing,United States,North America,Tier1,Low,2025-05-24,Not Certified,Net45,True,
SUP-00125,Meridian Hydraulics,India,Asia-Pacific,Tier3,Medium-High,2025-05-05,ISO9001,,True,
SUP-00126,Falcon Machining,,North America,Tier1,Low,2022-03-29,IATF16949,Net45,True,
SUP-00127,Windsor Forge Works,Poland,Europe,Tier2,Low,2016-05-13,IATF16949,Net45,True,
SUP-00128,Falcon Tooling,United States,North America,Tier1,Medium-High,2024-02-19,Not Certified,Net30,True,
SUP-00129,Sterling Components Group,Germany,Europe,Tier1,High,2017-08-31,ISO9001,Net45,True,
SUP-00130,Vantage Machining,Thailand,Asia-Pacific,Tier3,Medium,2017-06-09,Pending,Net30,True,
SUP-00131,Windsor Metalworks,United States,North America,Tier1,Low,2018-03-08,ISO9001,Net30,False,
SUP-00132,Summit Metalworks,Mexico,North America,Tier1,Low,2018-10-03,ISO9001,Net45,False,
SUP-00133,Redwood Sensor Systems,Vietnam,Asia-Pacific,Tier2,Medium-High,2016-05-03,Pending,Net30,True,
SUP-00134,Harbor Manufacturing,Mexico,North America,Tier2,Low,2020-05-08,Not Certified,Net30,True,
SUP-00135,Cascade Industries,Mexico,North America,Tier2,Medium-High,2025-12-06,ISO9001,Net45,True,
SUP-00136,Summit Precision Components,Spain,Europe,Tier2,Medium,2022-04-04,ISO9001,Net45,True,
SUP-00137,Keystone Industries,China,Asia-Pacific,Tier2,Medium,2016-12-31,IATF16949,Net60,True,
SUP-00138,Anchor Precision Components,Germany,Europe,Tier1,Low,2021-12-22,ISO9001,Net30,True,
SUP-00139,Harbor Machining,United States,North America,Tier1,Medium,2021-07-22,Pending,Net45,True,
SUP-00140,Anchor Precision Components,United States,North America,Tier3,Low,2022-10-30,ISO9001,Net45,True,
SUP-00141,Compass Supply Co.,Italy,Europe,Tier2,Low,2019-03-25,IATF16949,Net30,False,
SUP-00142,Granite Machining,China,Asia-Pacific,Tier1,Medium,2015-06-11,IATF16949,Net45,True,
SUP-00143,Granite Assemblies,Germany,Europe,Tier2,Low,2024-09-19,,Net30,True,
SUP-00144,Horizon Supply Co.,Canada,North America,Tier1,Low,2018-05-06,ISO9001,Net45,False,
SUP-00145,Horizon Castings,United States,North America,Tier2,High,2024-04-01,IATF16949,Net45,True,
SUP-00146,Keystone Hydraulics,India,Asia-Pacific,Tier1,Medium-High,2017-08-23,ISO9001,Net30,True,
SUP-00147,Bluewater Assemblies,,Asia-Pacific,Tier1,Low,2025-02-23,Pending,Net45,True,
SUP-00148,Windsor Industries,United States,North America,Tier1,Low,2015-05-21,Not Certified,Net30,True,
SUP-00149,Harbor Tooling,United States,North America,Tier1,Low,2021-03-01,IATF16949,Net30,True,
SUP-00150,Summit Assemblies,Italy,Europe,Tier2,Low,2018-12-23,ISO9001,Net60,True,
SUP-00151,Harbor Sensor Systems,India,Asia-Pacific,Tier1,Medium,2019-09-03,ISO9001,Net30,False,
SUP-00152,Sterling Hydraulics,Thailand,Asia-Pacific,Tier2,Low,2016-11-17,ISO9001,Net60,True,
SUP-00153,Sterling Supply Co.,China,Asia-Pacific,Tier3,Low,2021-12-11,ISO9001,Net30,True,
SUP-00154,Vantage Forge Works,United States,North America,Tier3,Low,2025-04-20,IATF16949,,True,
SUP-00155,Compass Forge Works,India,Asia-Pacific,Tier2,High,2022-03-03,IATF16949,Net60,False,
SUP-00156,Sterling Manufacturing,China,Asia-Pacific,Tier2,Low,2025-09-16,IATF16949,,False,
SUP-00157,Bluewater Manufacturing,India,Asia-Pacific,Tier1,Low,2017-11-10,ISO9001,Net45,False,
SUP-00158,Beacon Components Group,United States,North America,Tier2,Medium-High,2025-12-06,,Net30,False,
SUP-00159,Harbor Components Group,Vietnam,Asia-Pacific,Tier2,Low,2021-10-19,Not Certified,Net30,True,
SUP-00160,Delta Sensor Systems,United States,North America,Tier2,Medium,2015-03-29,IATF16949,Net45,True,
SUP-00161,Falcon Fabrication,United States,North America,Tier1,Medium,2021-12-04,ISO9001,Net60,True,
SUP-00162,Cascade Machining,Brazil,South America,Tier2,Medium,2024-05-25,IATF16949,Net60,False,
SUP-00163,Horizon Precision Components,,Asia-Pacific,Tier2,Medium,2019-10-29,ISO9001,Net30,True,
SUP-00164,Vantage Metalworks,China,Asia-Pacific,Tier1,Low,2025-11-19,ISO9001,Net30,True,
SUP-00165,Anchor Machining,Brazil,South America,Tier2,Medium,2022-06-19,IATF16949,Net30,False,
SUP-00166,Windsor Precision Components,Thailand,Asia-Pacific,Tier2,Low,2024-04-10,ISO9001,Net60,True,
SUP-00167,Cascade Fabrication,Vietnam,Asia-Pacific,Tier1,Low,2025-09-10,Not Certified,Net30,True,
SUP-00168,Ironclad Components Group,Canada,North America,Tier1,Medium-High,2018-10-20,IATF16949,Net45,True,
SUP-00169,Union Metalworks,India,Asia-Pacific,Tier1,Medium-High,2016-10-18,ISO9001,Net30,True,
SUP-00170,Union Metalworks,Spain,Europe,Tier1,Low,2017-01-27,ISO9001,Net45,True,
SUP-00171,Ironclad Components Group,Mexico,North America,Tier1,Low,2017-03-22,IATF16949,Net60,False,
SUP-00172,Vertex Supply Co.,India,Asia-Pacific,Tier2,Medium,2015-03-27,IATF16949,Net30,True,
SUP-00173,Anchor Metalworks,Brazil,South America,Tier1,Low,2024-09-13,ISO9001,Net30,True,
SUP-00174,Atlas Tooling,France,Europe,Tier2,Low,2019-09-08,IATF16949,Net30,True,
SUP-00175,Bluewater Manufacturing,Vietnam,Asia-Pacific,Tier1,Low,2016-10-31,Pending,,True,
SUP-00176,Anchor Fabrication,,Europe,Tier1,High,2022-11-09,,Net30,True,
SUP-00177,Pioneer Precision Components,United States,North America,Tier2,Low,2020-05-17,ISO9001,Net30,True,
SUP-00178,Horizon Manufacturing,Germany,Europe,Tier2,Medium,2024-01-29,IATF16949,Net30,True,
SUP-00179,Keystone Precision Components,Japan,Asia-Pacific,Tier2,Low,2020-08-30,Pending,Net30,True,
SUP-00180,Delta Industries,Mexico,North America,Tier2,Medium-High,2015-11-20,,Net30,True,
SUP-00181,Meridian Fabrication,China,Asia-Pacific,Tier2,High,2019-08-04,Not Certified,Net45,True,
SUP-00182,Atlas Forge Works,Japan,Asia-Pacific,Tier2,Medium,2017-05-13,Pending,Net60,True,
SUP-00183,Summit Components Group,South Korea,Asia-Pacific,Tier2,,2018-03-27,IATF16949,Net30,False,
SUP-00184,Summit Manufacturing,Canada,North America,Tier2,Low,2016-11-25,ISO9001,Net45,True,
SUP-00185,Summit Fabrication,Czech Republic,Europe,Tier2,Low,2024-02-08,Pending,Net60,True,
SUP-00186,Windsor Industries,Czech Republic,Europe,Tier2,Medium,2019-09-20,ISO9001,Net30,True,
SUP-00187,Keystone Castings,United States,North America,Tier1,Low,2022-08-10,,Net30,False,
SUP-00188,Windsor Supply Co.,India,Asia-Pacific,Tier2,Low,2018-03-28,ISO9001,Net45,True,
SUP-00189,Bluewater Precision Components,Germany,Europe,Tier2,Low,2021-06-07,ISO9001,Net45,True,
SUP-00190,Cascade Electronics,United States,North America,Tier1,Low,2024-01-14,Not Certified,Net30,True,
SUP-00191,Delta Fabrication,Spain,Europe,Tier1,Medium,2016-05-30,ISO9001,Net30,True,
SUP-00192,Falcon Tooling,United States,North America,Tier3,Low,2015-09-16,IATF16949,Net60,True,
SUP-00193,Ironclad Tooling,Thailand,Asia-Pacific,Tier2,Medium,2025-08-10,ISO9001,Net45,True,
SUP-00194,Harbor Castings,United Kingdom,Europe,Tier1,Medium,2016-11-05,ISO9001,Net30,False,
SUP-00195,Pioneer Fabrication,Turkey,Europe,Tier2,Low,2025-09-29,ISO9001,Net60,True,
SUP-00196,Ironclad Tooling,Czech Republic,Europe,Tier2,Low,2018-08-31,Not Certified,Net30,True,
SUP-00197,Horizon Precision Components,China,Asia-Pacific,Tier1,Low,2019-03-30,IATF16949,Net45,True,
SUP-00198,Delta Components Group,Mexico,North America,Tier1,Medium-High,2024-11-15,ISO9001,Net30,True,
SUP-00199,Falcon Hydraulics,Turkey,Europe,Tier1,Medium,2018-12-04,ISO9001,Net30,True,
SUP-00200,Summit Assemblies,United States,North America,Tier3,Low,2021-12-09,Not Certified,Net30,True,
SUP-00201,Windsor Castings,Japan,Asia-Pacific,Tier1,Low,2017-07-12,ISO9001,Net30,False,
SUP-00202,Vertex Sensor Systems,Brazil,South America,Tier3,Low,2017-04-02,IATF16949,Net60,True,
SUP-00203,Vertex Assemblies,Poland,Europe,Tier1,Medium,2025-12-07,Pending,Net30,True,
SUP-00204,Anchor Industries,United States,North America,Tier3,Medium,2024-04-11,ISO9001,Net45,True,
SUP-00205,Anchor Castings,United States,North America,Tier2,Medium,2020-12-05,Not Certified,,True,
SUP-00206,Cascade Castings,United States,North America,Tier2,Low,2023-08-25,IATF16949,,False,
SUP-00207,Sterling Hydraulics,Mexico,North America,Tier1,Medium,2022-01-24,ISO9001,Net30,True,
SUP-00208,NorthStar Industries,United States,North America,Tier2,Low,2024-08-30,Not Certified,Net30,True,
SUP-00209,Windsor Machining,United States,North America,Tier2,Low,2015-01-07,IATF16949,Net30,True,
SUP-00210,Cascade Tooling,United States,North America,Tier2,,2021-05-21,Not Certified,Net30,True,
SUP-00211,Vantage Precision Components,,Europe,Tier2,Medium,2025-10-16,Not Certified,Net30,False,
SUP-00212,Ironclad Industries,China,Asia-Pacific,Tier3,Medium,2022-07-11,Pending,Net60,True,
SUP-00213,Harbor Manufacturing,Mexico,North America,Tier1,Low,2023-01-26,IATF16949,Net30,True,
SUP-00214,Anchor Supply Co.,Germany,Europe,Tier3,Medium-High,2017-10-15,Not Certified,Net30,True,
SUP-00215,Vantage Industries,Germany,Europe,Tier2,Low,2015-12-15,IATF16949,Net30,True,
SUP-00216,Titan Castings,Mexico,North America,Tier1,Medium-High,2025-11-19,ISO9001,Net45,True,
SUP-00217,Horizon Machining,Germany,Europe,Tier2,Medium,2015-10-13,ISO9001,,True,
SUP-00218,Summit Fabrication,United Kingdom,Europe,Tier1,Low,2025-01-20,Not Certified,Net45,True,
SUP-00219,Pioneer Sensor Systems,Germany,Europe,Tier1,Medium,2024-01-16,ISO9001,Net30,True,
SUP-00220,Vantage Precision Components,China,Asia-Pacific,Tier2,Low,2023-01-04,Not Certified,Net30,True,
SUP-00221,Union Forge Works,Japan,Asia-Pacific,Tier1,Medium,2016-12-13,Not Certified,Net30,False,
SUP-00222,Meridian Hydraulics,Thailand,Asia-Pacific,Tier2,Medium,2025-07-12,Not Certified,Net60,False,
SUP-00223,Granite Tooling,,North America,Tier2,Low,2021-08-21,ISO9001,Net30,True,
SUP-00224,Union Fabrication,Germany,Europe,Tier1,Low,2015-08-01,ISO9001,Net30,True,
SUP-00225,NorthStar Industries,India,Asia-Pacific,Tier3,High,2018-01-28,Not Certified,Net30,True,
SUP-00226,Pioneer Manufacturing,United States,North America,Tier3,Medium,2022-04-11,Pending,Net30,True,
SUP-00227,Union Tooling,China,Asia-Pacific,Tier2,Low,2017-08-24,Pending,Net45,True,
SUP-00228,Ironclad Electronics,United States,North America,Tier1,Low,2021-09-10,IATF16949,Net60,True,
SUP-00229,Anchor Sensor Systems,Germany,Europe,Tier1,Medium,2025-09-15,Pending,Net30,True,
SUP-00230,NorthStar Industries,Japan,Asia-Pacific,Tier1,Low,2021-10-03,ISO9001,Net60,False,
SUP-00231,Windsor Hydraulics,United Kingdom,Europe,Tier2,Low,2024-03-05,ISO9001,Net45,True,
SUP-00232,Redwood Forge Works,,Asia-Pacific,Tier3,Medium,2023-07-09,ISO9001,Net45,True,
SUP-00233,Ironclad Forge Works,United States,North America,Tier2,Medium,2023-03-29,Not Certified,Net45,True,
SUP-00234,Bluewater Assemblies,India,Asia-Pacific,Tier3,Medium-High,2016-02-10,Not Certified,Net30,False,
SUP-00235,Bluewater Manufacturing,China,Asia-Pacific,Tier1,Medium-High,2018-10-11,ISO9001,,False,
SUP-00236,Meridian Components Group,Canada,North America,Tier1,Low,2022-07-06,IATF16949,Net30,True,
SUP-00237,Vertex Sensor Systems,Brazil,South America,Tier1,Medium-High,2025-07-17,ISO9001,Net30,False,
SUP-00238,Ironclad Hydraulics,United Kingdom,Europe,Tier2,Low,2018-10-30,ISO9001,Net30,True,
SUP-00239,Atlas Sensor Systems,Vietnam,Asia-Pacific,Tier1,Medium-High,2018-04-03,ISO9001,Net30,True,
SUP-00240,Vantage Assemblies,United Kingdom,Europe,Tier1,,2020-08-19,ISO9001,Net60,True,
SUP-00241,Delta Industries,Mexico,North America,Tier3,Medium,2019-04-08,Pending,Net45,True,
SUP-00242,Titan Industries,United States,North America,Tier1,Low,2025-08-12,IATF16949,Net30,True,
SUP-00243,Redwood Precision Components,India,Asia-Pacific,Tier2,Medium-High,2021-04-20,ISO9001,Net60,True,
SUP-00244,Falcon Electronics,United States,North America,Tier3,,2022-02-24,ISO9001,Net45,False,
SUP-00245,Beacon Fabrication,Canada,North America,Tier1,Medium,2020-02-15,Not Certified,Net45,False,
SUP-00246,Crestline Industries,United States,North America,Tier1,Medium,2018-02-04,,Net30,True,
SUP-00247,Windsor Metalworks,United Kingdom,Europe,Tier1,Medium,2021-04-16,IATF16949,Net60,True,
SUP-00248,Cascade Components Group,South Korea,Asia-Pacific,Tier1,Medium-High,2020-11-01,IATF16949,Net30,False,
SUP-00249,Keystone Electronics,United Kingdom,Europe,Tier2,Low,2016-03-23,IATF16949,Net45,True,
SUP-00250,Sterling Supply Co.,Turkey,Europe,Tier1,Medium,2023-04-25,IATF16949,Net30,True,
SUP-00251,Horizon Industries,China,Asia-Pacific,Tier3,Medium,2016-07-15,ISO9001,Net45,True,
SUP-00252,Union Machining,Canada,North America,Tier2,Medium,2022-07-06,IATF16949,Net60,True,
SUP-00253,Pioneer Assemblies,India,Asia-Pacific,Tier2,Medium,2025-10-17,IATF16949,Net30,True,
SUP-00254,Harbor Manufacturing,Italy,Europe,Tier1,High,2015-07-22,Not Certified,Net45,True,
SUP-00255,Anchor Electronics,United States,North America,Tier1,Low,2025-02-13,IATF16949,Net30,True,
SUP-00256,Sterling Tooling,Thailand,Asia-Pacific,Tier2,Low,2018-08-23,,Net30,True,
SUP-00257,Cascade Tooling,Mexico,North America,Tier1,Medium,2017-11-13,Pending,Net30,False,
SUP-00258,NorthStar Castings,Vietnam,Asia-Pacific,Tier2,Low,2021-03-16,ISO9001,Net30,False,
