inventory_id,part_id,plant_id,period,on_hand_qty,reserved_qty,safety_stock_qty,available_qty,stock_status
INV-0000044,TR-1319,P1,2026-09,158,34.0,150,124,At Risk
INV-0000045,CB-873,P1,2026-06,152,48.0,75,104,Adequate
INV-0000046,CB-873,P1,2026-07,175,42.0,75,133,Adequate
INV-0000047,CB-873,P1,2026-08,158,53.0,75,105,Adequate
INV-0000048,CB-873,P1,2026-09,165,,75,143,Adequate
INV-0000049,TR-1156,P1,2026-06,880,228.0,500,652,Adequate
INV-0000050,TR-1156,P1,2026-07,859,94.0,500,765,Adequate
INV-0000051,TR-1156,P1,2026-08,961,392.0,500,569,Adequate
INV-0000052,TR-1156,P1,2026-09,1080,245.0,500,835,Adequate
INV-0000053,ST-829,P1,2026-06,771,235.0,500,536,Adequate
INV-0000054,ST-829,P1,2026-07,846,189.0,500,657,Adequate
INV-0000055,ST-829,P1,2026-08,937,162.0,500,775,Adequate
INV-0000056,ST-829,P1,2026-09,972,,500,776,Adequate
INV-0000057,SC-949,P1,2026-06,51,21.0,25,30,Adequate
INV-0000058,SC-949,P1,2026-07,50,23.0,25,27,Adequate
INV-0000059,SC-949,P1,2026-08,51,24.0,25,27,Adequate
INV-0000060,SC-949,P1,2026-09,46,14.0,25,32,Adequate
INV-0000061,HY-1122,P1,2026-06,58,23.0,25,35,Adequate
INV-0000062,HY-1122,P1,2026-07,59,27.0,25,32,Adequate
INV-0000063,HY-1122,P1,2026-08,60,24.0,25,36,Adequate
INV-0000064,HY-1122,P1,2026-09,58,,25,32,Adequate
INV-0000065,CH-1282,P1,2026-06,42,9.0,25,33,Adequate
INV-0000066,CH-1282,P1,2026-07,32,9.0,25,23,At Risk
INV-0000067,CH-1282,P1,2026-08,36,7.0,25,29,Adequate
INV-0000068,CH-1282,P1,2026-09,32,9.0,25,23,At Risk
INV-0000069,CH-1011,P1,2026-06,398,156.0,300,242,At Risk
INV-0000070,CH-1011,P1,2026-07,480,189.0,300,291,At Risk
INV-0000071,CH-1011,P1,2026-08,555,233.0,300,322,Adequate
INV-0000072,CH-1011,P1,2026-09,592,277.0,300,315,Adequate
INV-0000073,SC-242,P1,2026-06,242,98.0,150,144,At Risk
INV-0000074,SC-242,P1,2026-07,258,55.0,150,203,Adequate
INV-0000075,SC-242,P1,2026-08,268,119.0,150,149,At Risk
INV-0000076,SC-242,P1,2026-09,255,51.0,150,204,Adequate
INV-0000077,FT-1244,P1,2026-06,328,65.0,300,263,At Risk
INV-0000078,FT-1244,P1,2026-07,273,,300,152,At Risk
INV-0000079,FT-1244,P1,2026-08,293,88.0,300,205,At Risk
INV-0000080,FT-1244,P1,2026-09,307,127.0,300,180,At Risk
INV-0000081,HY-1179,P1,2026-06,49,17.0,50,32,At Risk
INV-0000082,HY-1179,P1,2026-07,41,15.0,50,26,At Risk
INV-0000083,HY-1179,P1,2026-08,56,23.0,50,33,At Risk
INV-0000084,HY-1179,P1,2026-09,53,18.0,50,35,At Risk
INV-0000085,BR-1308,P1,2026-06,119,46.0,150,73,Below Safety Stock
INV-0000086,BR-1308,P1,2026-07,153,20.0,150,133,At Risk
INV-0000087,BR-1308,P1,2026-08,159,49.0,150,110,At Risk
INV-0000088,BR-1308,P1,2026-09,180,76.0,150,104,At Risk
INV-0000089,EN-266,P1,2026-06,1029,232.0,500,797,Adequate
INV-0000090,EN-266,P1,2026-07,935,143.0,500,792,Adequate
INV-0000091,EN-266,P1,2026-08,1187,239.0,500,948,Adequate
INV-0000092,EN-266,P1,2026-09,1209,289.0,500,920,Adequate
INV-0000093,FL-543,P1,2026-06,68,21.0,75,47,At Risk
INV-0000094,FL-543,P1,2026-07,61,16.0,75,45,At Risk
INV-0000095,FL-543,P1,2026-08,68,11.0,75,57,At Risk
INV-0000096,FL-543,P1,2026-09,76,16.0,75,60,At Risk
INV-0000097,TR-195,P1,2026-06,432,198.0,300,234,At Risk
INV-0000098,TR-195,P1,2026-07,455,62.0,300,393,Adequate
INV-0000099,TR-195,P1,2026-08,435,61.0,300,374,Adequate
INV-0000100,TR-195,P1,2026-09,362,171.0,300,191,At Risk
INV-0000101,TR-623,P1,2026-06,648,231.0,500,417,At Risk
INV-0000102,TR-623,P1,2026-07,738,142.0,500,596,Adequate
INV-0000103,TR-623,P1,2026-08,814,246.0,500,568,Adequate
INV-0000104,TR-623,P1,2026-09,813,116.0,500,697,Adequate
INV-0000105,SC-1200,P1,2026-06,38,7.0,25,31,Adequate
INV-0000106,SC-1200,P1,2026-07,41,15.0,25,26,Adequate
INV-0000107,SC-1200,P1,2026-08,43,5.0,25,38,Adequate
INV-0000108,SC-1200,P1,2026-09,42,6.0,25,36,Adequate
INV-0000109,EL-1025,P1,2026-06,291,69.0,200,222,Adequate
INV-0000110,EL-1025,P1,2026-07,282,135.0,200,147,At Risk
INV-0000111,EL-1025,P1,2026-08,296,76.0,200,220,Adequate
INV-0000112,EL-1025,P1,2026-09,334,149.0,200,185,At Risk
INV-0000113,FL-118,P1,2026-06,234,77.0,200,157,At Risk
INV-0000114,FL-118,P1,2026-07,229,58.0,200,171,At Risk
INV-0000115,FL-118,P1,2026-08,252,,200,164,At Risk
INV-0000116,FL-118,P1,2026-09,340,86.0,200,254,Adequate
INV-0000117,CH-144,P1,2026-06,343,55.0,200,288,Adequate
INV-0000118,CH-144,P1,2026-07,250,30.0,200,220,Adequate
INV-0000119,CH-144,P1,2026-08,319,70.0,200,249,Adequate
INV-0000120,CH-144,P1,2026-09,278,44.0,200,234,Adequate
INV-0000121,BR-1146,P1,2026-06,117,,50,80,Adequate
INV-0000122,BR-1146,P1,2026-07,98,29.0,50,69,Adequate
INV-0000123,BR-1146,P1,2026-08,110,41.0,50,69,Adequate
INV-0000124,BR-1146,P1,2026-09,113,,50,59,Adequate
INV-0000125,HY-825,P1,2026-06,349,116.0,200,233,Adequate
INV-0000126,HY-825,P1,2026-07,281,96.0,200,185,At Risk
INV-0000127,HY-825,P1,2026-08,323,74.0,200,249,Adequate
INV-0000128,HY-825,P1,2026-09,240,65.0,200,175,At Risk
INV-0000129,EC-564,P1,2026-06,317,64.0,300,253,At Risk
INV-0000130,EC-564,P1,2026-07,404,123.0,300,281,At Risk
INV-0000131,EC-564,P1,2026-08,353,81.0,300,272,At Risk
INV-0000132,EC-564,P1,2026-09,317,152.0,300,165,At Risk
INV-0000133,EL-811,P1,2026-06,196,37.0,100,159,Adequate
INV-0000134,EL-811,P1,2026-07,218,77.0,100,141,Adequate
INV-0000135,EL-811,P1,2026-08,204,63.0,100,141,Adequate
INV-0000136,EL-811,P1,2026-09,186,78.0,100,108,Adequate
INV-0000137,FT-541,P1,2026-06,187,85.0,100,102,Adequate
INV-0000138,FT-541,P1,2026-07,204,53.0,100,151,Adequate
INV-0000139,FT-541,P1,2026-08,203,26.0,100,177,Adequate
INV-0000140,FT-541,P1,2026-09,221,47.0,100,174,Adequate
INV-0000141,BR-982,P1,2026-06,71,16.0,75,55,At Risk
INV-0000142,BR-982,P1,2026-07,82,30.0,75,52,At Risk
INV-0000143,BR-982,P1,2026-08,60,16.0,75,44,At Risk
INV-0000144,BR-982,P1,2026-09,70,16.0,75,54,At Risk
INV-0000145,CB-513,P1,2026-06,106,27.0,50,79,Adequate
INV-0000146,CB-513,P1,2026-07,98,46.0,50,52,Adequate
INV-0000147,CB-513,P1,2026-08,86,37.0,50,49,At Risk
INV-0000148,CB-513,P1,2026-09,106,40.0,50,66,Adequate
INV-0000149,EL-1027,P1,2026-06,115,22.0,50,93,Adequate
INV-0000150,EL-1027,P1,2026-07,84,25.0,50,59,Adequate
INV-0000151,EL-1027,P1,2026-08,97,26.0,50,71,Adequate
INV-0000152,EL-1027,P1,2026-09,104,30.0,50,74,Adequate
INV-0000153,EC-1033,P1,2026-06,347,,300,309,Adequate
INV-0000154,EC-1033,P1,2026-07,419,133.0,300,286,At Risk
INV-0000155,EC-1033,P1,2026-08,390,89.0,300,301,Adequate
INV-0000156,EC-1033,P1,2026-09,331,54.0,300,277,At Risk
INV-0000157,EC-904,P1,2026-06,117,,75,83,Adequate
INV-0000158,EC-904,P1,2026-07,145,67.0,75,78,Adequate
INV-0000159,EC-904,P1,2026-08,156,76.0,75,80,Adequate
INV-0000160,EC-904,P1,2026-09,159,45.0,75,114,Adequate
INV-0000161,SC-643,P1,2026-06,140,60.0,75,80,Adequate
INV-0000162,SC-643,P1,2026-07,145,64.0,75,81,Adequate
INV-0000163,SC-643,P1,2026-08,143,52.0,75,91,Adequate
INV-0000164,SC-643,P1,2026-09,131,42.0,75,89,Adequate
INV-0000165,EC-953,P1,2026-06,830,355.0,500,475,At Risk
INV-0000166,EC-953,P1,2026-07,898,301.0,500,597,Adequate
INV-0000167,EC-953,P1,2026-08,933,118.0,500,815,Adequate
INV-0000168,EC-953,P1,2026-09,742,281.0,500,461,At Risk
INV-0000169,EL-857,P1,2026-06,59,13.0,50,46,At Risk
INV-0000170,EL-857,P1,2026-07,60,20.0,50,40,At Risk
INV-0000171,EL-857,P1,2026-08,81,9.0,50,72,Adequate
INV-0000172,EL-857,P1,2026-09,78,,50,56,Adequate
INV-0000173,EN-177,P1,2026-06,293,105.0,200,188,At Risk
INV-0000174,EN-177,P1,2026-07,292,111.0,200,181,At Risk
INV-0000175,EN-177,P1,2026-08,286,141.0,200,145,At Risk
INV-0000176,EN-177,P1,2026-09,265,37.0,200,228,Adequate
INV-0000177,EN-1093,P1,2026-06,97,22.0,50,75,Adequate
INV-0000178,EN-1093,P1,2026-07,92,43.0,50,49,At Risk
INV-0000179,EN-1093,P1,2026-08,99,46.0,50,53,Adequate
INV-0000180,EN-1093,P1,2026-09,90,12.0,50,78,Adequate
INV-0000181,CH-1145,P1,2026-06,77,9.0,50,68,Adequate
INV-0000182,CH-1145,P1,2026-07,87,12.0,50,75,Adequate
INV-0000183,CH-1145,P1,2026-08,72,22.0,50,50,Adequate
INV-0000184,CH-1145,P1,2026-09,79,32.0,50,47,At Risk
INV-0000185,FL-1077,P1,2026-06,297,98.0,200,199,At Risk
INV-0000186,FL-1077,P1,2026-07,277,68.0,200,209,Adequate
INV-0000187,FL-1077,P1,2026-08,246,104.0,200,142,At Risk
INV-0000188,FL-1077,P1,2026-09,282,75.0,200,207,Adequate
INV-0000189,EL-343,P1,2026-06,107,20.0,100,87,At Risk
INV-0000190,EL-343,P1,2026-07,125,60.0,100,65,At Risk
INV-0000191,EL-343,P1,2026-08,108,12.0,100,96,At Risk
INV-0000192,EL-343,P1,2026-09,91,16.0,100,75,At Risk
INV-0000193,BR-1225,P1,2026-06,156,27.0,75,129,Adequate
INV-0000194,BR-1225,P1,2026-07,173,82.0,75,91,Adequate
INV-0000195,BR-1225,P1,2026-08,171,71.0,75,100,Adequate
INV-0000196,BR-1225,P1,2026-09,189,94.0,75,95,Adequate
INV-0000197,HY-551,P1,2026-06,919,436.0,500,483,At Risk
INV-0000198,HY-551,P1,2026-07,917,226.0,500,691,Adequate
INV-0000199,HY-551,P1,2026-08,874,394.0,500,480,At Risk
INV-0000200,HY-551,P1,2026-09,756,,500,506,Adequate
INV-0000201,EL-179,P1,2026-06,79,7.0,50,72,Adequate
INV-0000202,EL-179,P1,2026-07,74,34.0,50,40,At Risk
INV-0000203,EL-179,P1,2026-08,74,25.0,50,49,At Risk
INV-0000204,EL-179,P1,2026-09,79,32.0,50,47,At Risk
INV-0000205,SC-1214,P1,2026-06,122,58.0,50,64,Adequate
INV-0000206,SC-1214,P1,2026-07,116,15.0,50,101,Adequate
INV-0000207,SC-1214,P1,2026-08,112,32.0,50,80,Adequate
INV-0000208,SC-1214,P1,2026-09,128,21.0,50,107,Adequate
INV-0000209,EC-1308,P1,2026-06,232,50.0,200,182,At Risk
INV-0000210,EC-1308,P1,2026-07,234,55.0,200,179,At Risk
INV-0000211,EC-1308,P1,2026-08,301,74.0,200,227,Adequate
INV-0000212,EC-1308,P1,2026-09,203,56.0,200,147,At Risk
INV-0000213,ST-883,P1,2026-06,81,17.0,50,64,Adequate
INV-0000214,ST-883,P1,2026-07,105,31.0,50,74,Adequate
INV-0000215,ST-883,P1,2026-08,99,32.0,50,67,Adequate
INV-0000216,ST-883,P1,2026-09,97,34.0,50,63,Adequate
INV-0000217,SC-334,P1,2026-06,251,117.0,200,134,At Risk
INV-0000218,SC-334,P1,2026-07,270,105.0,200,165,At Risk
INV-0000219,SC-334,P1,2026-08,203,26.0,200,177,At Risk
INV-0000220,SC-334,P1,2026-09,303,95.0,200,208,Adequate
INV-0000221,SC-1315,P1,2026-06,175,46.0,100,129,Adequate
INV-0000222,SC-1315,P1,2026-07,173,43.0,100,130,Adequate
INV-0000223,SC-1315,P1,2026-08,166,51.0,100,115,Adequate
INV-0000224,SC-1315,P1,2026-09,146,54.0,100,92,At Risk
INV-0000225,ST-713,P1,2026-06,454,152.0,500,302,At Risk
INV-0000226,ST-713,P1,2026-07,551,244.0,500,307,At Risk
INV-0000227,ST-713,P1,2026-08,635,143.0,500,492,At Risk
INV-0000228,ST-713,P1,2026-09,608,173.0,500,435,At Risk
INV-0000229,EL-893,P1,2026-06,267,83.0,150,184,Adequate
INV-0000230,EL-893,P1,2026-07,283,103.0,150,180,Adequate
INV-0000231,EL-893,P1,2026-08,298,82.0,150,216,Adequate
INV-0000232,EL-893,P1,2026-09,318,93.0,150,225,Adequate
INV-0000233,SC-317,P1,2026-06,362,104.0,150,258,Adequate
INV-0000234,SC-317,P1,2026-07,356,,150,241,Adequate
INV-0000235,SC-317,P1,2026-08,436,140.0,150,296,Adequate
INV-0000236,SC-317,P1,2026-09,420,169.0,150,251,Adequate
INV-0000237,EL-242,P1,2026-06,403,153.0,300,250,At Risk
INV-0000238,EL-242,P1,2026-07,398,63.0,300,335,Adequate
INV-0000239,EL-242,P1,2026-08,338,70.0,300,268,At Risk
INV-0000240,EL-242,P1,2026-09,360,178.0,300,182,At Risk
INV-0000241,CB-159,P1,2026-06,656,300.0,300,356,Adequate
INV-0000242,CB-159,P1,2026-07,538,216.0,300,322,Adequate
INV-0000243,CB-159,P1,2026-08,558,255.0,300,303,Adequate
INV-0000244,CB-159,P1,2026-09,520,233.0,300,287,At Risk
INV-0000245,HY-1064,P1,2026-06,241,38.0,300,203,At Risk
INV-0000246,HY-1064,P1,2026-07,198,89.0,300,109,Below Safety Stock
INV-0000247,HY-1064,P1,2026-08,193,65.0,300,128,Below Safety Stock
INV-0000248,HY-1064,P1,2026-09,176,79.0,300,97,Below Safety Stock
INV-0000249,SC-514,P1,2026-06,275,74.0,150,201,Adequate
INV-0000250,SC-514,P1,2026-07,307,109.0,150,198,Adequate
INV-0000251,SC-514,P1,2026-08,324,89.0,150,235,Adequate
INV-0000252,SC-514,P1,2026-09,365,38.0,150,327,Adequate
INV-0000253,FL-290,P1,2026-06,552,112.0,500,440,At Risk
INV-0000254,FL-290,P1,2026-07,592,271.0,500,321,At Risk
INV-0000255,FL-290,P1,2026-08,563,220.0,500,343,At Risk
INV-0000256,FL-290,P1,2026-09,383,173.0,500,210,Below Safety Stock
INV-0000257,EL-833,P1,2026-06,136,27.0,75,109,Adequate
INV-0000258,EL-833,P1,2026-07,158,50.0,75,108,Adequate
INV-0000259,EL-833,P1,2026-08,140,27.0,75,113,Adequate
INV-0000260,EL-833,P1,2026-09,159,40.0,75,119,Adequate
INV-0000261,CB-100,P1,2026-06,252,121.0,150,131,At Risk
INV-0000262,CB-100,P1,2026-07,287,,150,191,Adequate
INV-0000263,CB-100,P1,2026-08,246,122.0,150,124,At Risk
INV-0000264,CB-100,P1,2026-09,234,,150,125,At Risk
INV-0000265,TR-127,P1,2026-06,298,36.0,500,262,At Risk
INV-0000266,TR-127,P1,2026-07,255,126.0,500,129,Below Safety Stock
INV-0000267,TR-127,P1,2026-08,593,107.0,500,486,At Risk
INV-0000268,TR-127,P1,2026-09,290,59.0,500,231,Below Safety Stock
INV-0000269,CB-809,P1,2026-06,105,15.0,75,90,Adequate
INV-0000270,CB-809,P1,2026-07,108,50.0,75,58,At Risk
INV-0000271,CB-809,P1,2026-08,123,61.0,75,62,At Risk
INV-0000272,CB-809,P1,2026-09,121,48.0,75,73,At Risk
INV-0000273,EC-905,P1,2026-06,408,110.0,300,298,At Risk
INV-0000274,EC-905,P1,2026-07,401,188.0,300,213,At Risk
INV-0000275,EC-905,P1,2026-08,366,156.0,300,210,At Risk
INV-0000276,EC-905,P1,2026-09,281,134.0,300,147,Below Safety Stock
INV-0000277,EN-1173,P1,2026-06,430,94.0,200,336,Adequate
INV-0000278,EN-1173,P1,2026-07,392,181.0,200,211,Adequate
INV-0000279,EN-1173,P1,2026-08,445,139.0,200,306,Adequate
INV-0000280,EN-1173,P1,2026-09,365,103.0,200,262,Adequate
INV-0000281,CH-258,P1,2026-06,253,30.0,150,223,Adequate
INV-0000282,CH-258,P1,2026-07,275,111.0,150,164,Adequate
INV-0000283,CH-258,P1,2026-08,283,87.0,150,196,Adequate
INV-0000284,CH-258,P1,2026-09,283,59.0,150,224,Adequate
INV-0000285,BR-314,P1,2026-06,648,216.0,300,432,Adequate
INV-0000286,BR-314,P1,2026-07,608,139.0,300,469,Adequate
INV-0000287,BR-314,P1,2026-08,743,259.0,300,484,Adequate
INV-0000288,BR-314,P1,2026-09,668,208.0,300,460,Adequate
INV-0000289,FT-733,P1,2026-06,448,181.0,200,267,Adequate
INV-0000290,FT-733,P1,2026-07,481,73.0,200,408,Adequate
INV-0000291,FT-733,P1,2026-08,446,46.0,200,400,Adequate
INV-0000292,FT-733,P1,2026-09,353,97.0,200,256,Adequate
INV-0000293,ST-686,P1,2026-06,128,44.0,100,84,At Risk
INV-0000294,ST-686,P1,2026-07,140,54.0,100,86,At Risk
INV-0000295,ST-686,P1,2026-08,129,26.0,100,103,Adequate
INV-0000296,ST-686,P1,2026-09,153,42.0,100,111,Adequate
INV-0000297,BR-1147,P1,2026-06,406,94.0,150,312,Adequate
INV-0000298,BR-1147,P1,2026-07,399,101.0,150,298,Adequate
INV-0000299,BR-1147,P1,2026-08,397,150.0,150,247,Adequate
INV-0000300,BR-1147,P1,2026-09,431,83.0,150,348,Surplus
INV-0000301,ST-776,P1,2026-06,135,17.0,75,118,Adequate
INV-0000302,ST-776,P1,2026-07,116,46.0,75,70,At Risk
INV-0000303,ST-776,P1,2026-08,104,19.0,75,85,Adequate
INV-0000304,ST-776,P1,2026-09,114,25.0,75,89,Adequate
INV-0000305,FL-115,P1,2026-06,135,59.0,50,76,Adequate
INV-0000306,FL-115,P1,2026-07,112,46.0,50,66,Adequate
INV-0000307,FL-115,P1,2026-08,101,47.0,50,54,Adequate
INV-0000308,FL-115,P1,2026-09,94,,50,81,Adequate
INV-0000309,EL-1017,P1,2026-06,67,11.0,50,56,Adequate
INV-0000310,EL-1017,P1,2026-07,61,30.0,50,31,At Risk
INV-0000311,EL-1017,P1,2026-08,83,40.0,50,43,At Risk
INV-0000312,EL-1017,P1,2026-09,69,19.0,50,50,Adequate
INV-0000313,FL-498,P1,2026-06,100,24.0,50,76,Adequate
INV-0000314,FL-498,P1,2026-07,108,39.0,50,69,Adequate
INV-0000315,FL-498,P1,2026-08,85,15.0,50,70,Adequate
INV-0000316,FL-498,P1,2026-09,89,12.0,50,77,Adequate
INV-0000317,HY-226,P1,2026-06,961,409.0,500,552,Adequate
INV-0000318,HY-226,P1,2026-07,839,303.0,500,536,Adequate
INV-0000319,HY-226,P1,2026-08,923,315.0,500,608,Adequate
INV-0000320,HY-226,P1,2026-09,898,115.0,500,783,Adequate
INV-0000321,EC-420,P1,2026-06,364,49.0,200,315,Adequate
INV-0000322,EC-420,P1,2026-07,362,143.0,200,219,Adequate
INV-0000323,EC-420,P1,2026-08,329,,200,252,Adequate
INV-0000324,EC-420,P1,2026-09,376,88.0,200,288,Adequate
INV-0000325,ST-468,P1,2026-06,123,52.0,150,71,Below Safety Stock
INV-0000326,ST-468,P1,2026-07,176,53.0,150,123,At Risk
INV-0000327,ST-468,P1,2026-08,189,76.0,150,113,At Risk
INV-0000328,ST-468,P1,2026-09,196,61.0,150,135,At Risk
INV-0000329,BR-1109,P1,2026-06,364,,150,327,Adequate
INV-0000330,BR-1109,P1,2026-07,318,114.0,150,204,Adequate
INV-0000331,BR-1109,P1,2026-08,276,105.0,150,171,Adequate
INV-0000332,BR-1109,P1,2026-09,251,25.0,150,226,Adequate
INV-0000333,ST-771,P1,2026-06,88,21.0,100,67,At Risk
INV-0000334,ST-771,P1,2026-07,105,41.0,100,64,At Risk
INV-0000335,ST-771,P1,2026-08,96,47.0,100,49,Below Safety Stock
INV-0000336,ST-771,P1,2026-09,133,44.0,100,89,At Risk
INV-0000337,EL-313,P1,2026-06,90,33.0,50,57,Adequate
INV-0000338,EL-313,P1,2026-07,74,15.0,50,59,Adequate
INV-0000339,EL-313,P1,2026-08,94,20.0,50,74,Adequate
INV-0000340,EL-313,P1,2026-09,76,15.0,50,61,Adequate
INV-0000341,EN-1213,P1,2026-06,114,15.0,150,99,At Risk
INV-0000342,EN-1213,P1,2026-07,125,57.0,150,68,Below Safety Stock
INV-0000343,EN-1213,P1,2026-08,85,14.0,150,71,Below Safety Stock
INV-0000344,EN-1213,P1,2026-09,108,47.0,150,61,Below Safety Stock
INV-0000345,CH-1190,P1,2026-06,460,191.0,500,269,At Risk
INV-0000346,CH-1190,P1,2026-07,616,207.0,500,409,At Risk
INV-0000347,CH-1190,P1,2026-08,486,169.0,500,317,At Risk
INV-0000348,CH-1190,P1,2026-09,536,117.0,500,419,At Risk
INV-0000349,SC-253,P1,2026-06,146,68.0,100,78,At Risk
INV-0000350,SC-253,P1,2026-07,136,36.0,100,100,Adequate
INV-0000351,SC-253,P1,2026-08,125,21.0,100,104,Adequate
INV-0000352,SC-253,P1,2026-09,151,39.0,100,112,Adequate
INV-0000353,FT-287,P1,2026-06,371,163.0,150,208,Adequate
INV-0000354,FT-287,P1,2026-07,343,87.0,150,256,Adequate
INV-0000355,FT-287,P1,2026-08,327,59.0,150,268,Adequate
INV-0000356,FT-287,P1,2026-09,285,60.0,150,225,Adequate
INV-0000357,FL-323,P1,2026-06,85,8.0,100,77,At Risk
INV-0000358,FL-323,P1,2026-07,114,52.0,100,62,At Risk
INV-0000359,FL-323,P1,2026-08,92,32.0,100,60,At Risk
INV-0000360,FL-323,P1,2026-09,61,12.0,100,49,Below Safety Stock
INV-0000361,HY-1061,P1,2026-06,707,250.0,500,457,At Risk
INV-0000362,HY-1061,P1,2026-07,457,76.0,500,381,At Risk
INV-0000363,HY-1061,P1,2026-08,479,202.0,500,277,At Risk
INV-0000364,HY-1061,P1,2026-09,398,184.0,500,214,Below Safety Stock
INV-0000365,FL-366,P1,2026-06,33,9.0,25,24,At Risk
INV-0000366,FL-366,P1,2026-07,27,9.0,25,18,At Risk
INV-0000367,FL-366,P1,2026-08,29,9.0,25,20,At Risk
INV-0000368,FL-366,P1,2026-09,24,10.0,25,14,At Risk
INV-0000369,SC-1248,P1,2026-06,229,65.0,150,164,Adequate
INV-0000370,SC-1248,P1,2026-07,222,42.0,150,180,Adequate
INV-0000371,SC-1248,P1,2026-08,229,56.0,150,173,Adequate
INV-0000372,SC-1248,P1,2026-09,190,52.0,150,138,At Risk
INV-0000373,SC-674,P1,2026-06,866,247.0,500,619,Adequate
INV-0000374,SC-674,P1,2026-07,818,349.0,500,469,At Risk
INV-0000375,SC-674,P1,2026-08,622,284.0,500,338,At Risk
INV-0000376,SC-674,P1,2026-09,776,148.0,500,628,Adequate
INV-0000377,HY-1009,P1,2026-06,895,421.0,500,474,At Risk
INV-0000378,HY-1009,P1,2026-07,925,460.0,500,465,At Risk
INV-0000379,HY-1009,P1,2026-08,854,295.0,500,559,Adequate
INV-0000380,HY-1009,P1,2026-09,1061,529.0,500,532,Adequate
INV-0000381,EC-561,P1,2026-06,260,85.0,300,175,At Risk
INV-0000382,EC-561,P1,2026-07,321,94.0,300,227,At Risk
INV-0000383,EC-561,P1,2026-08,184,88.0,300,96,Below Safety Stock
INV-0000384,EC-561,P1,2026-09,288,114.0,300,174,At Risk
INV-0000385,ST-223,P1,2026-06,315,50.0,150,265,Adequate
INV-0000386,ST-223,P1,2026-07,354,158.0,150,196,Adequate
INV-0000387,ST-223,P1,2026-08,307,131.0,150,176,Adequate
INV-0000388,ST-223,P1,2026-09,328,123.0,150,205,Adequate
INV-0000389,BR-668,P1,2026-06,50,,25,43,Adequate
INV-0000390,BR-668,P1,2026-07,48,11.0,25,37,Adequate
INV-0000391,BR-668,P1,2026-08,50,17.0,25,33,Adequate
INV-0000392,BR-668,P1,2026-09,42,9.0,25,33,Adequate
INV-0000393,FL-1160,P1,2026-06,24,4.0,25,20,At Risk
